Term,Topic,Correlation,Pvalue
mal au dos,,-0.0033630940118945865,0.9675301373845143
diarrhee,,-0.019662290327690447,0.8118729203504814
perte appetit,,0.03135901387787907,0.7042013820962114
rhinite,,0.039459744118136776,0.6327945509196294
mal au ventre,,-0.04069572191185817,0.6221714109761455
vomissements,,0.04463706018086008,0.5888208595286861
nez qui coule,,0.05455727300239063,0.508714768139118
cephalees,,0.10283910473055285,0.21201233647536594
douleur abdominale,,0.12005604882839455,0.14472776237724463
courbatures,,0.15631588409377425,0.05694550906117226
mal de gorge,,0.16373586901356715,0.046009555146344826
fatigue,,-0.17268074398718256,0.03521026343249701
difficulté respiratoire,,0.17528887359688133,0.03249747980361059
essoufflement,,0.18245322898397012,0.025940766593307057
/m/0b76bty,Mal de gorge,0.2019310796821056,0.013525662360316873
maux de tete,,0.27543523038626583,0.0006743352477247636
agueusie,,0.28710361340480495,0.0003851263584980612
/m/01cdt5,Dyspnée,0.34872522965422253,1.3095469428971302e-05
fievre,,0.37551508951067375,2.369935200954395e-06
perte gout,,0.41742858776958963,1.1819347513673443e-07
/m/0m7pl,Anosmie,0.47210654192266477,1.2149387927815157e-09
anosmie,,0.47951884673775197,6.124771557869284e-10
/m/05sfr2,Agueusie,0.48519269610694193,3.585459589045158e-10
/m/0cjf0,Fièvre,0.5291160069695976,4.002541951118291e-12
toux,,0.5453850086106998,6.385840858495432e-13
perte odorat,,0.6024079413175617,4.387009940084194e-16
