date,/m/07gr_
2020-02-01,40
2020-02-02,41
2020-02-03,47
2020-02-04,47
2020-02-05,44
2020-02-06,29
2020-02-07,37
2020-02-08,41
2020-02-09,55
2020-02-10,41
2020-02-11,36
2020-02-12,36
2020-02-13,52
2020-02-14,43
2020-02-15,51
2020-02-16,61
2020-02-17,42
2020-02-18,27
2020-02-19,50
2020-02-20,43
2020-02-21,59
2020-02-22,58
2020-02-23,46
2020-02-24,33
2020-02-25,42
2020-02-26,39
2020-02-27,40
2020-02-28,24
2020-02-29,57
2020-03-01,65
2020-03-02,45
2020-03-03,48
2020-03-04,35
2020-03-05,77
2020-03-06,53
2020-03-07,34
2020-03-08,64
2020-03-09,50
2020-03-10,56
2020-03-11,36
2020-03-12,64
2020-03-13,73
2020-03-14,92
2020-03-15,72
2020-03-16,55
2020-03-17,68
2020-03-18,71
2020-03-19,100
2020-03-20,72
2020-03-21,43
2020-03-22,84
2020-03-23,70
2020-03-24,75
2020-03-25,69
2020-03-26,51
2020-03-27,35
2020-03-28,55
2020-03-29,62
2020-03-30,67
2020-03-31,63
2020-04-01,67
2020-04-02,49
2020-04-03,41
2020-04-04,42
2020-04-05,60
2020-04-06,51
2020-04-07,37
2020-04-08,44
2020-04-09,52
2020-04-10,60
2020-04-11,47
2020-04-12,63
2020-04-13,60
2020-04-14,32
2020-04-15,41
2020-04-16,44
2020-04-17,34
2020-04-18,41
2020-04-19,48
2020-04-20,32
2020-04-21,45
2020-04-22,28
2020-04-23,49
2020-04-24,36
2020-04-25,35
2020-04-26,37
2020-04-27,35
2020-04-28,34
2020-04-29,37
2020-04-30,35
2020-05-01,23
2020-05-02,51
2020-05-03,35
2020-05-04,42
2020-05-05,27
2020-05-06,40
2020-05-07,30
2020-05-08,31
2020-05-09,50
2020-05-10,44
2020-05-11,49
2020-05-12,47
2020-05-13,45
2020-05-14,35
2020-05-15,40
2020-05-16,42
2020-05-17,48
2020-05-18,26
2020-05-19,30
2020-05-20,44
2020-05-21,47
2020-05-22,32
2020-05-23,34
2020-05-24,46
2020-05-25,32
2020-05-26,43
2020-05-27,35
2020-05-28,26
2020-05-29,31
2020-05-30,57
2020-05-31,48
