<<<<<<< HEAD
date,/g/1213j0cz
2020-03-01,0
2020-03-02,37
2020-03-03,0
2020-03-04,40
2020-03-05,37
2020-03-06,39
2020-03-07,0
2020-03-08,40
2020-03-09,37
2020-03-10,37
2020-03-11,38
2020-03-12,0
2020-03-13,40
2020-03-14,0
2020-03-15,74
2020-03-16,100
2020-03-17,49
2020-03-18,0
2020-03-19,53
2020-03-20,33
2020-03-21,0
2020-03-22,36
2020-03-23,29
2020-03-24,0
2020-03-25,0
2020-03-26,33
2020-03-27,0
2020-03-28,36
2020-03-29,34
2020-03-30,31
2020-03-31,31
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,30
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,33
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,35
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,30
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,35
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,33
2020-05-08,34
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,35
2020-05-16,0
2020-05-17,42
2020-05-18,0
2020-05-19,36
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,37
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,35
2020-06-03,32
2020-06-04,31
2020-06-05,0
2020-06-06,0
2020-06-07,39
2020-06-08,32
2020-06-09,0
2020-06-10,34
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,35
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,45
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
