date,/m/01ppsd
2020-02-01,22
2020-02-02,32
2020-02-03,39
2020-02-04,21
2020-02-05,42
2020-02-06,31
2020-02-07,38
2020-02-08,48
2020-02-09,59
2020-02-10,31
2020-02-11,50
2020-02-12,49
2020-02-13,45
2020-02-14,15
2020-02-15,35
2020-02-16,50
2020-02-17,29
2020-02-18,55
2020-02-19,37
2020-02-20,42
2020-02-21,25
2020-02-22,42
2020-02-23,39
2020-02-24,34
2020-02-25,20
2020-02-26,27
2020-02-27,25
2020-02-28,41
2020-02-29,58
2020-03-01,32
2020-03-02,55
2020-03-03,78
2020-03-04,49
2020-03-05,49
2020-03-06,64
2020-03-07,57
2020-03-08,73
2020-03-09,81
2020-03-10,59
2020-03-11,55
2020-03-12,78
2020-03-13,71
2020-03-14,84
2020-03-15,72
2020-03-16,100
2020-03-17,64
2020-03-18,62
2020-03-19,54
2020-03-20,61
2020-03-21,57
2020-03-22,84
2020-03-23,50
2020-03-24,49
2020-03-25,53
2020-03-26,65
2020-03-27,72
2020-03-28,56
2020-03-29,41
2020-03-30,53
2020-03-31,51
2020-04-01,42
2020-04-02,51
2020-04-03,44
2020-04-04,40
2020-04-05,64
2020-04-06,45
2020-04-07,46
2020-04-08,48
2020-04-09,53
2020-04-10,51
2020-04-11,32
2020-04-12,29
2020-04-13,35
2020-04-14,52
2020-04-15,49
2020-04-16,34
2020-04-17,44
2020-04-18,47
2020-04-19,37
2020-04-20,44
2020-04-21,68
2020-04-22,49
2020-04-23,30
2020-04-24,33
2020-04-25,37
2020-04-26,56
2020-04-27,61
2020-04-28,38
2020-04-29,51
2020-04-30,42
2020-05-01,52
2020-05-02,56
2020-05-03,88
2020-05-04,67
2020-05-05,36
2020-05-06,43
2020-05-07,29
2020-05-08,42
2020-05-09,51
2020-05-10,49
2020-05-11,39
2020-05-12,15
2020-05-13,52
2020-05-14,68
2020-05-15,18
2020-05-16,41
2020-05-17,33
2020-05-18,36
2020-05-19,26
2020-05-20,50
2020-05-21,38
2020-05-22,40
2020-05-23,53
2020-05-24,34
2020-05-25,44
2020-05-26,21
2020-05-27,59
2020-05-28,38
2020-05-29,8
2020-05-30,35
2020-05-31,54
