date,/g/1213j0cz
2020-03-01,0
2020-03-02,0
2020-03-03,66
2020-03-04,65
2020-03-05,0
2020-03-06,0
2020-03-07,53
2020-03-08,32
2020-03-09,62
2020-03-10,47
2020-03-11,46
2020-03-12,32
2020-03-13,68
2020-03-14,100
2020-03-15,45
2020-03-16,28
2020-03-17,29
2020-03-18,73
2020-03-19,30
2020-03-20,56
2020-03-21,47
2020-03-22,32
2020-03-23,0
2020-03-24,29
2020-03-25,28
2020-03-26,28
2020-03-27,27
2020-03-28,31
2020-03-29,30
2020-03-30,40
2020-03-31,54
2020-04-01,27
2020-04-02,27
2020-04-03,42
2020-04-04,0
2020-04-05,0
2020-04-06,25
2020-04-07,27
2020-04-08,28
2020-04-09,28
2020-04-10,58
2020-04-11,0
2020-04-12,64
2020-04-13,29
2020-04-14,0
2020-04-15,0
2020-04-16,58
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,29
2020-04-24,0
2020-04-25,32
2020-04-26,31
2020-04-27,0
2020-04-28,25
2020-04-29,0
2020-04-30,0
2020-05-01,27
2020-05-02,0
2020-05-03,29
2020-05-04,25
2020-05-05,0
2020-05-06,28
2020-05-07,0
2020-05-08,30
2020-05-09,0
2020-05-10,28
2020-05-11,0
2020-05-12,29
2020-05-13,29
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,29
2020-05-20,0
2020-05-21,33
2020-05-22,0
2020-05-23,0
2020-05-24,33
2020-05-25,0
2020-05-26,29
2020-05-27,29
2020-05-28,0
2020-05-29,31
2020-05-30,0
2020-05-31,0
2020-06-01,30
2020-06-02,0
2020-06-03,27
2020-06-04,26
2020-06-05,27
2020-06-06,0
2020-06-07,33
2020-06-08,0
2020-06-09,27
2020-06-10,30
2020-06-11,0
2020-06-12,29
2020-06-13,35
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,32
2020-06-23,33
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,32
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,35
2020-07-11,0
2020-07-12,0
2020-07-13,36
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,35
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,40
2020-08-09,0
2020-08-10,0
2020-08-11,36
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,37
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,33
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,34
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,34
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,33
2020-09-21,0
2020-09-22,0
2020-09-23,32
2020-09-24,67
2020-09-25,35
2020-09-26,35
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,34
2020-10-03,0
2020-10-04,33
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,34
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
