date,/m/0hn9s,isPartial
2020-03-01,33,False
2020-03-02,31,False
2020-03-03,26,False
2020-03-04,25,False
2020-03-05,19,False
2020-03-06,47,False
2020-03-07,14,False
2020-03-08,26,False
2020-03-09,31,False
2020-03-10,49,False
2020-03-11,60,False
2020-03-12,62,False
2020-03-13,100,False
2020-03-14,99,False
2020-03-15,88,False
2020-03-16,49,False
2020-03-17,54,False
2020-03-18,39,False
2020-03-19,40,False
2020-03-20,37,False
2020-03-21,24,False
2020-03-22,36,False
2020-03-23,50,False
2020-03-24,28,False
2020-03-25,32,False
2020-03-26,21,False
2020-03-27,42,False
2020-03-28,64,False
2020-03-29,23,False
2020-03-30,26,False
2020-03-31,25,False
2020-04-01,48,False
2020-04-02,41,False
2020-04-03,32,False
2020-04-04,19,False
2020-04-05,32,False
2020-04-06,29,False
2020-04-07,16,False
2020-04-08,22,False
2020-04-09,0,False
2020-04-10,28,False
2020-04-11,19,False
2020-04-12,25,False
2020-04-13,39,False
2020-04-14,27,False
2020-04-15,22,False
2020-04-16,27,False
2020-04-17,11,False
2020-04-18,24,False
2020-04-19,30,False
2020-04-20,21,False
2020-04-21,44,False
2020-04-22,12,False
2020-04-23,17,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,18,False
2020-04-27,26,False
2020-04-28,10,False
2020-04-29,29,False
2020-04-30,0,False
2020-05-01,11,False
2020-05-02,17,False
2020-05-03,22,False
2020-05-04,0,False
2020-05-05,9,False
2020-05-06,10,False
2020-05-07,0,False
2020-05-08,11,False
2020-05-09,17,False
2020-05-10,11,False
2020-05-11,0,False
2020-05-12,11,False
2020-05-13,22,False
2020-05-14,11,False
2020-05-15,0,False
2020-05-16,14,False
2020-05-17,36,False
2020-05-18,34,False
2020-05-19,18,False
2020-05-20,0,False
2020-05-21,13,False
2020-05-22,0,False
2020-05-23,13,False
2020-05-24,0,False
2020-05-25,11,False
2020-05-26,47,False
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,14,False
2020-05-31,14,False
2020-06-01,0,False
2020-06-02,11,False
2020-06-03,10,False
2020-06-04,0,False
2020-06-05,11,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,10,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,11,False
2020-06-12,12,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,11,False
2020-06-16,22,False
2020-06-17,11,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,26,False
2020-06-22,25,False
2020-06-23,13,False
2020-06-24,0,False
2020-06-25,26,False
2020-06-26,0,False
2020-06-27,13,False
2020-06-28,12,False
2020-06-29,11,False
2020-06-30,24,False
2020-07-01,11,False
2020-07-02,0,False
2020-07-03,12,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,12,False
2020-07-07,12,False
2020-07-08,13,False
2020-07-09,26,False
2020-07-10,0,False
2020-07-11,0,False
2020-07-12,0,False
2020-07-13,25,False
2020-07-14,12,False
2020-07-15,12,False
2020-07-16,0,False
2020-07-17,20,False
2020-07-18,30,False
2020-07-19,0,False
2020-07-20,0,False
2020-07-21,0,False
2020-07-22,13,False
2020-07-23,12,False
2020-07-24,13,False
2020-07-25,13,False
2020-07-26,0,False
2020-07-27,0,False
2020-07-28,13,False
2020-07-29,0,False
2020-07-30,0,False
2020-07-31,0,False
2020-08-01,0,False
2020-08-02,0,False
2020-08-03,0,False
2020-08-04,12,False
2020-08-05,0,False
2020-08-06,0,False
2020-08-07,13,False
2020-08-08,14,False
2020-08-09,0,False
2020-08-10,12,False
2020-08-11,0,False
2020-08-12,0,False
2020-08-13,12,False
2020-08-14,0,False
2020-08-15,0,False
2020-08-16,0,False
2020-08-17,0,False
2020-08-18,12,False
2020-08-19,11,False
2020-08-20,0,False
2020-08-21,0,False
2020-08-22,0,False
2020-08-23,0,False
2020-08-24,0,False
2020-08-25,12,False
2020-08-26,0,False
2020-08-27,12,False
2020-08-28,0,False
2020-08-29,0,False
2020-08-30,14,False
2020-08-31,13,False
2020-09-01,0,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,0,False
2020-09-05,14,False
2020-09-06,0,False
2020-09-07,13,False
2020-09-08,0,False
2020-09-09,0,False
2020-09-10,0,False
2020-09-11,14,False
2020-09-12,14,False
2020-09-13,14,False
2020-09-14,0,False
2020-09-15,13,False
2020-09-16,13,False
2020-09-17,0,False
2020-09-18,14,False
2020-09-19,0,False
2020-09-20,0,False
2020-09-21,0,False
2020-09-22,0,False
2020-09-23,0,False
2020-09-24,13,False
2020-09-25,0,False
2020-09-26,0,False
2020-09-27,0,False
2020-09-28,14,False
2020-09-29,0,False
2020-09-30,0,False
2020-10-01,0,False
2020-10-02,0,False
2020-10-03,0,False
2020-10-04,0,False
2020-10-05,25,False
2020-10-06,0,False
2020-10-07,0,False
2020-10-08,14,False
2020-10-09,15,False
2020-10-10,0,False
2020-10-11,0,False
2020-10-12,0,False
2020-10-13,14,False
2020-10-14,0,False
