date,/m/01ppsd
2020-02-01,40
2020-02-02,44
2020-02-03,47
2020-02-04,28
2020-02-05,54
2020-02-06,42
2020-02-07,37
2020-02-08,61
2020-02-09,51
2020-02-10,45
2020-02-11,34
2020-02-12,40
2020-02-13,54
2020-02-14,43
2020-02-15,41
2020-02-16,37
2020-02-17,40
2020-02-18,70
2020-02-19,46
2020-02-20,38
2020-02-21,33
2020-02-22,68
2020-02-23,52
2020-02-24,24
2020-02-25,63
2020-02-26,41
2020-02-27,44
2020-02-28,48
2020-02-29,42
2020-03-01,49
2020-03-02,44
2020-03-03,64
2020-03-04,61
2020-03-05,55
2020-03-06,68
2020-03-07,63
2020-03-08,71
2020-03-09,68
2020-03-10,53
2020-03-11,50
2020-03-12,72
2020-03-13,100
2020-03-14,93
2020-03-15,70
2020-03-16,92
2020-03-17,71
2020-03-18,78
2020-03-19,66
2020-03-20,62
2020-03-21,48
2020-03-22,86
2020-03-23,66
2020-03-24,72
2020-03-25,71
2020-03-26,78
2020-03-27,75
2020-03-28,69
2020-03-29,42
2020-03-30,62
2020-03-31,64
2020-04-01,61
2020-04-02,67
2020-04-03,50
2020-04-04,43
2020-04-05,68
2020-04-06,48
2020-04-07,52
2020-04-08,25
2020-04-09,62
2020-04-10,40
2020-04-11,53
2020-04-12,61
2020-04-13,51
2020-04-14,37
2020-04-15,33
2020-04-16,48
2020-04-17,42
2020-04-18,66
2020-04-19,59
2020-04-20,39
2020-04-21,57
2020-04-22,47
2020-04-23,43
2020-04-24,35
2020-04-25,42
2020-04-26,60
2020-04-27,54
2020-04-28,55
2020-04-29,53
2020-04-30,47
2020-05-01,29
2020-05-02,41
2020-05-03,86
2020-05-04,61
2020-05-05,32
2020-05-06,46
2020-05-07,59
2020-05-08,61
2020-05-09,46
2020-05-10,23
2020-05-11,35
2020-05-12,37
2020-05-13,50
2020-05-14,48
2020-05-15,28
2020-05-16,37
2020-05-17,55
2020-05-18,49
2020-05-19,58
2020-05-20,34
2020-05-21,53
2020-05-22,37
2020-05-23,57
2020-05-24,43
2020-05-25,37
2020-05-26,30
2020-05-27,68
2020-05-28,54
2020-05-29,40
2020-05-30,50
2020-05-31,64
2020-06-01,55
2020-06-02,31
2020-06-03,36
2020-06-04,37
2020-06-05,33
2020-06-06,27
2020-06-07,36
2020-06-08,37
2020-06-09,33
2020-06-10,51
2020-06-11,61
2020-06-12,19
2020-06-13,37
2020-06-14,39
2020-06-15,31
2020-06-16,35
2020-06-17,35
2020-06-18,35
2020-06-19,39
2020-06-20,36
2020-06-21,40
2020-06-22,57
2020-06-23,49
2020-06-24,62
2020-06-25,30
2020-06-26,32
2020-06-27,62
2020-06-28,43
2020-06-29,43
2020-06-30,46
2020-07-01,29
2020-07-02,28
2020-07-03,39
2020-07-04,28
2020-07-05,62
2020-07-06,39
2020-07-07,41
2020-07-08,53
2020-07-09,45
2020-07-10,39
2020-07-11,25
2020-07-12,46
2020-07-13,48
2020-07-14,46
2020-07-15,38
2020-07-16,38
2020-07-17,35
2020-07-18,37
2020-07-19,54
2020-07-20,41
2020-07-21,28
2020-07-22,35
2020-07-23,25
2020-07-24,52
2020-07-25,80
2020-07-26,55
2020-07-27,47
2020-07-28,27
2020-07-29,34
2020-07-30,38
2020-07-31,48
2020-08-01,29
2020-08-02,25
2020-08-03,52
2020-08-04,26
2020-08-05,54
2020-08-06,51
2020-08-07,46
2020-08-08,49
2020-08-09,44
2020-08-10,37
2020-08-11,39
2020-08-12,49
2020-08-13,48
2020-08-14,64
2020-08-15,50
2020-08-16,27
2020-08-17,33
2020-08-18,30
2020-08-19,36
2020-08-20,37
2020-08-21,49
2020-08-22,48
2020-08-23,44
2020-08-24,41
2020-08-25,31
2020-08-26,31
2020-08-27,50
2020-08-28,56
2020-08-29,44
2020-08-30,36
2020-08-31,63
2020-09-01,20
2020-09-02,44
2020-09-03,30
2020-09-04,39
2020-09-05,34
2020-09-06,55
2020-09-07,36
2020-09-08,30
2020-09-09,44
2020-09-10,45
2020-09-11,52
2020-09-12,37
2020-09-13,42
2020-09-14,32
2020-09-15,38
2020-09-16,49
2020-09-17,60
2020-09-18,31
2020-09-19,49
2020-09-20,41
2020-09-21,28
2020-09-22,40
2020-09-23,34
2020-09-24,46
2020-09-25,40
2020-09-26,44
2020-09-27,39
2020-09-28,26
2020-09-29,51
