date,/m/07gr_
2020-02-01,60
2020-02-02,46
2020-02-03,54
2020-02-04,50
2020-02-05,38
2020-02-06,33
2020-02-07,41
2020-02-08,41
2020-02-09,42
2020-02-10,48
2020-02-11,33
2020-02-12,25
2020-02-13,64
2020-02-14,37
2020-02-15,46
2020-02-16,60
2020-02-17,35
2020-02-18,41
2020-02-19,35
2020-02-20,40
2020-02-21,38
2020-02-22,48
2020-02-23,47
2020-02-24,28
2020-02-25,36
2020-02-26,44
2020-02-27,41
2020-02-28,46
2020-02-29,43
2020-03-01,37
2020-03-02,41
2020-03-03,47
2020-03-04,47
2020-03-05,67
2020-03-06,33
2020-03-07,45
2020-03-08,52
2020-03-09,28
2020-03-10,59
2020-03-11,62
2020-03-12,70
2020-03-13,88
2020-03-14,73
2020-03-15,100
2020-03-16,70
2020-03-17,73
2020-03-18,67
2020-03-19,74
2020-03-20,72
2020-03-21,72
2020-03-22,74
2020-03-23,70
2020-03-24,51
2020-03-25,64
2020-03-26,50
2020-03-27,50
2020-03-28,48
2020-03-29,57
2020-03-30,63
2020-03-31,67
2020-04-01,44
2020-04-02,62
2020-04-03,45
2020-04-04,53
2020-04-05,50
2020-04-06,45
2020-04-07,37
2020-04-08,49
2020-04-09,36
2020-04-10,44
2020-04-11,44
2020-04-12,57
2020-04-13,54
2020-04-14,26
2020-04-15,48
2020-04-16,45
2020-04-17,37
2020-04-18,50
2020-04-19,45
2020-04-20,35
2020-04-21,43
2020-04-22,35
2020-04-23,38
2020-04-24,27
2020-04-25,38
2020-04-26,30
2020-04-27,27
2020-04-28,35
2020-04-29,46
2020-04-30,33
2020-05-01,38
2020-05-02,52
2020-05-03,34
2020-05-04,49
2020-05-05,39
2020-05-06,34
2020-05-07,35
2020-05-08,21
2020-05-09,43
2020-05-10,34
2020-05-11,33
2020-05-12,26
2020-05-13,35
2020-05-14,37
2020-05-15,24
2020-05-16,35
2020-05-17,50
2020-05-18,31
2020-05-19,26
2020-05-20,37
2020-05-21,62
2020-05-22,45
2020-05-23,45
2020-05-24,57
2020-05-25,21
2020-05-26,29
2020-05-27,26
2020-05-28,46
2020-05-29,40
2020-05-30,35
2020-05-31,53
