date,/g/1213j0cz,isPartial
2020-03-01,0,False
2020-03-02,0,False
2020-03-03,0,False
2020-03-04,0,False
2020-03-05,0,False
2020-03-06,0,False
2020-03-07,0,False
2020-03-08,0,False
2020-03-09,43,False
2020-03-10,43,False
2020-03-11,41,False
2020-03-12,0,False
2020-03-13,45,False
2020-03-14,92,False
2020-03-15,43,False
2020-03-16,36,False
2020-03-17,35,False
2020-03-18,39,False
2020-03-19,79,False
2020-03-20,39,False
2020-03-21,44,False
2020-03-22,42,False
2020-03-23,36,False
2020-03-24,37,False
2020-03-25,55,False
2020-03-26,0,False
2020-03-27,0,False
2020-03-28,85,False
2020-03-29,100,False
2020-03-30,35,False
2020-03-31,35,False
2020-04-01,74,False
2020-04-02,37,False
2020-04-03,37,False
2020-04-04,0,False
2020-04-05,0,False
2020-04-06,0,False
2020-04-07,36,False
2020-04-08,37,False
2020-04-09,37,False
2020-04-10,0,False
2020-04-11,42,False
2020-04-12,0,False
2020-04-13,40,False
2020-04-14,35,False
2020-04-15,38,False
2020-04-16,0,False
2020-04-17,0,False
2020-04-18,41,False
2020-04-19,0,False
2020-04-20,72,False
2020-04-21,37,False
2020-04-22,0,False
2020-04-23,0,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,42,False
2020-04-27,36,False
2020-04-28,0,False
2020-04-29,0,False
2020-04-30,0,False
2020-05-01,36,False
2020-05-02,0,False
2020-05-03,40,False
2020-05-04,0,False
2020-05-05,0,False
2020-05-06,0,False
2020-05-07,75,False
2020-05-08,0,False
2020-05-09,40,False
2020-05-10,0,False
2020-05-11,0,False
2020-05-12,0,False
2020-05-13,0,False
2020-05-14,39,False
2020-05-15,0,False
2020-05-16,0,False
2020-05-17,0,False
2020-05-18,0,False
2020-05-19,61,False
2020-05-20,0,False
2020-05-21,0,False
2020-05-22,43,False
2020-05-23,0,False
2020-05-24,48,False
2020-05-25,0,False
2020-05-26,0,False
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,49,False
2020-06-01,0,False
2020-06-02,38,False
2020-06-03,0,False
2020-06-04,35,False
2020-06-05,0,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,40,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,0,False
2020-06-22,0,False
2020-06-23,43,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,40,False
2020-06-30,0,False
2020-07-01,0,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,48,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,0,False
2020-07-12,0,False
2020-07-13,44,False
2020-07-14,0,False
2020-07-15,0,False
2020-07-16,0,False
2020-07-17,0,False
2020-07-18,0,False
2020-07-19,0,False
2020-07-20,0,False
2020-07-21,0,False
2020-07-22,0,False
2020-07-23,42,False
2020-07-24,0,False
2020-07-25,0,False
2020-07-26,0,False
2020-07-27,0,False
2020-07-28,0,False
2020-07-29,42,False
2020-07-30,0,False
2020-07-31,0,False
2020-08-01,46,False
2020-08-02,0,False
2020-08-03,0,False
2020-08-04,0,False
2020-08-05,0,False
2020-08-06,43,False
2020-08-07,0,False
2020-08-08,44,False
2020-08-09,44,False
2020-08-10,38,False
2020-08-11,0,False
2020-08-12,0,False
2020-08-13,0,False
2020-08-14,0,False
2020-08-15,0,False
2020-08-16,0,False
2020-08-17,0,False
2020-08-18,0,False
2020-08-19,39,False
2020-08-20,0,False
2020-08-21,0,False
2020-08-22,0,False
2020-08-23,0,False
2020-08-24,0,False
2020-08-25,0,False
2020-08-26,0,False
2020-08-27,0,False
2020-08-28,0,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,0,False
2020-09-01,0,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,0,False
2020-09-05,46,False
2020-09-06,0,False
2020-09-07,85,False
2020-09-08,43,False
2020-09-09,0,False
2020-09-10,0,False
2020-09-11,0,False
2020-09-12,0,False
2020-09-13,0,False
2020-09-14,0,False
2020-09-15,43,False
2020-09-16,0,False
2020-09-17,0,False
2020-09-18,0,False
2020-09-19,47,False
2020-09-20,45,False
2020-09-21,0,False
2020-09-22,0,False
2020-09-23,42,False
2020-09-24,0,False
2020-09-25,0,False
2020-09-26,0,False
2020-09-27,48,False
2020-09-28,0,False
2020-09-29,0,False
2020-09-30,45,False
2020-10-01,44,False
2020-10-02,0,False
2020-10-03,0,False
2020-10-04,46,False
2020-10-05,0,False
2020-10-06,44,False
2020-10-07,0,False
2020-10-08,0,False
2020-10-09,0,False
2020-10-10,0,False
2020-10-11,0,False
2020-10-12,0,False
2020-10-13,0,False
2020-10-14,0,False
