date,/g/1213j0cz
2020-03-01,26
2020-03-02,15
2020-03-03,37
2020-03-04,20
2020-03-05,33
2020-03-06,21
2020-03-07,12
2020-03-08,37
2020-03-09,26
2020-03-10,29
2020-03-11,32
2020-03-12,63
2020-03-13,84
2020-03-14,100
2020-03-15,64
2020-03-16,95
2020-03-17,76
2020-03-18,34
2020-03-19,76
2020-03-20,51
2020-03-21,52
2020-03-22,41
2020-03-23,60
2020-03-24,30
2020-03-25,30
2020-03-26,43
2020-03-27,30
2020-03-28,33
2020-03-29,38
2020-03-30,48
2020-03-31,43
2020-04-01,16
2020-04-02,40
2020-04-03,38
2020-04-04,46
2020-04-05,39
2020-04-06,22
2020-04-07,33
2020-04-08,17
2020-04-09,20
2020-04-10,31
2020-04-11,30
2020-04-12,22
2020-04-13,25
2020-04-14,9
2020-04-15,19
2020-04-16,23
2020-04-17,10
2020-04-18,20
2020-04-19,17
2020-04-20,18
2020-04-21,9
2020-04-22,28
2020-04-23,12
2020-04-24,9
2020-04-25,21
2020-04-26,22
2020-04-27,14
2020-04-28,23
2020-04-29,18
2020-04-30,9
2020-05-01,14
2020-05-02,13
2020-05-03,14
2020-05-04,9
2020-05-05,14
2020-05-06,9
2020-05-07,10
2020-05-08,10
2020-05-09,11
2020-05-10,15
2020-05-11,9
2020-05-12,18
2020-05-13,27
2020-05-14,9
2020-05-15,10
2020-05-16,11
2020-05-17,11
2020-05-18,9
2020-05-19,9
2020-05-20,29
2020-05-21,33
2020-05-22,14
2020-05-23,30
2020-05-24,0
2020-05-25,9
2020-05-26,0
2020-05-27,9
2020-05-28,19
2020-05-29,38
2020-05-30,22
2020-05-31,0
2020-06-01,15
2020-06-02,13
2020-06-03,8
2020-06-04,16
2020-06-05,13
2020-06-06,10
2020-06-07,10
2020-06-08,8
2020-06-09,17
2020-06-10,0
2020-06-11,0
2020-06-12,12
2020-06-13,15
2020-06-14,11
2020-06-15,27
2020-06-16,26
2020-06-17,9
2020-06-18,9
2020-06-19,10
2020-06-20,0
2020-06-21,0
2020-06-22,9
2020-06-23,0
2020-06-24,0
2020-06-25,10
2020-06-26,10
2020-06-27,22
2020-06-28,0
2020-06-29,9
2020-06-30,38
2020-07-01,14
2020-07-02,10
2020-07-03,0
2020-07-04,0
2020-07-05,11
2020-07-06,10
2020-07-07,30
2020-07-08,19
2020-07-09,21
2020-07-10,11
2020-07-11,0
2020-07-12,13
2020-07-13,10
2020-07-14,10
2020-07-15,10
2020-07-16,0
2020-07-17,11
2020-07-18,20
2020-07-19,0
2020-07-20,11
2020-07-21,25
2020-07-22,0
2020-07-23,11
2020-07-24,11
2020-07-25,12
2020-07-26,24
2020-07-27,10
2020-07-28,18
2020-07-29,33
2020-07-30,11
2020-07-31,22
2020-08-01,23
2020-08-02,0
2020-08-03,15
2020-08-04,20
2020-08-05,21
2020-08-06,11
2020-08-07,11
2020-08-08,15
2020-08-09,15
2020-08-10,10
2020-08-11,20
2020-08-12,13
2020-08-13,10
2020-08-14,0
2020-08-15,11
2020-08-16,11
2020-08-17,10
2020-08-18,0
2020-08-19,20
2020-08-20,10
2020-08-21,31
2020-08-22,15
2020-08-23,10
2020-08-24,19
2020-08-25,10
2020-08-26,0
2020-08-27,31
2020-08-28,20
2020-08-29,11
2020-08-30,21
2020-08-31,10
2020-09-01,15
2020-09-02,10
2020-09-03,10
2020-09-04,15
2020-09-05,0
2020-09-06,12
2020-09-07,23
2020-09-08,15
2020-09-09,0
2020-09-10,10
2020-09-11,16
2020-09-12,12
2020-09-13,0
2020-09-14,25
2020-09-15,20
2020-09-16,10
2020-09-17,30
2020-09-18,10
2020-09-19,12
2020-09-20,11
2020-09-21,29
2020-09-22,0
2020-09-23,10
2020-09-24,15
2020-09-25,10
2020-09-26,11
2020-09-27,11
2020-09-28,29
2020-09-29,20
2020-09-30,10
2020-10-01,0
2020-10-02,15
2020-10-03,15
2020-10-04,22
2020-10-05,15
2020-10-06,15
2020-10-07,13
2020-10-08,25
2020-10-09,11
2020-10-10,18
2020-10-11,11
2020-10-12,11
2020-10-13,21
2020-10-14,21
2020-10-15,14
2020-10-16,22
2020-10-17,12
2020-10-18,24
2020-10-19,32
2020-10-20,17
2020-10-21,26
2020-10-22,21
2020-10-23,43
