date,/m/01cpyy
2020-03-01,27
2020-03-02,20
2020-03-03,30
2020-03-04,24
2020-03-05,43
2020-03-06,38
2020-03-07,39
2020-03-08,48
2020-03-09,46
2020-03-10,51
2020-03-11,54
2020-03-12,62
2020-03-13,73
2020-03-14,90
2020-03-15,82
2020-03-16,89
2020-03-17,69
2020-03-18,100
2020-03-19,71
2020-03-20,69
2020-03-21,80
2020-03-22,35
2020-03-23,53
2020-03-24,43
2020-03-25,42
2020-03-26,50
2020-03-27,40
2020-03-28,42
2020-03-29,52
2020-03-30,45
2020-03-31,23
2020-04-01,18
2020-04-02,31
2020-04-03,28
2020-04-04,44
2020-04-05,46
2020-04-06,25
2020-04-07,24
2020-04-08,24
2020-04-09,23
2020-04-10,13
2020-04-11,25
2020-04-12,26
2020-04-13,14
2020-04-14,13
2020-04-15,22
2020-04-16,20
2020-04-17,24
2020-04-18,13
2020-04-19,14
2020-04-20,14
2020-04-21,11
2020-04-22,12
2020-04-23,36
2020-04-24,18
2020-04-25,12
2020-04-26,10
2020-04-27,7
2020-04-28,14
2020-04-29,11
2020-04-30,8
2020-05-01,14
2020-05-02,8
2020-05-03,21
2020-05-04,9
2020-05-05,6
2020-05-06,14
2020-05-07,6
2020-05-08,6
2020-05-09,11
2020-05-10,6
2020-05-11,12
2020-05-12,5
2020-05-13,8
2020-05-14,7
2020-05-15,7
2020-05-16,14
2020-05-17,7
2020-05-18,6
2020-05-19,5
2020-05-20,7
2020-05-21,21
2020-05-22,9
2020-05-23,10
2020-05-24,5
2020-05-25,7
2020-05-26,6
2020-05-27,2
2020-05-28,5
2020-05-29,6
2020-05-30,2
2020-05-31,3
2020-06-01,4
2020-06-02,4
2020-06-03,5
2020-06-04,3
2020-06-05,3
2020-06-06,5
2020-06-07,2
2020-06-08,7
2020-06-09,13
2020-06-10,3
2020-06-11,5
2020-06-12,2
2020-06-13,4
2020-06-14,8
2020-06-15,9
2020-06-16,6
2020-06-17,3
2020-06-18,3
2020-06-19,8
2020-06-20,3
2020-06-21,8
2020-06-22,6
2020-06-23,3
2020-06-24,5
2020-06-25,2
2020-06-26,7
2020-06-27,5
2020-06-28,4
2020-06-29,2
2020-06-30,2
2020-07-01,7
2020-07-02,6
2020-07-03,3
2020-07-04,4
2020-07-05,4
2020-07-06,5
2020-07-07,4
2020-07-08,5
2020-07-09,4
2020-07-10,4
2020-07-11,4
2020-07-12,5
2020-07-13,4
2020-07-14,5
2020-07-15,3
2020-07-16,8
2020-07-17,7
2020-07-18,3
2020-07-19,2
2020-07-20,4
2020-07-21,4
2020-07-22,3
2020-07-23,5
2020-07-24,7
2020-07-25,5
2020-07-26,9
2020-07-27,4
2020-07-28,6
2020-07-29,6
2020-07-30,4
2020-07-31,9
2020-08-01,4
2020-08-02,6
2020-08-03,6
2020-08-04,5
2020-08-05,4
2020-08-06,7
2020-08-07,6
2020-08-08,5
2020-08-09,4
2020-08-10,6
2020-08-11,7
2020-08-12,8
2020-08-13,7
2020-08-14,6
2020-08-15,8
2020-08-16,12
2020-08-17,6
2020-08-18,5
2020-08-19,7
2020-08-20,5
2020-08-21,7
2020-08-22,8
2020-08-23,7
2020-08-24,7
2020-08-25,10
2020-08-26,8
2020-08-27,7
2020-08-28,7
2020-08-29,8
2020-08-30,7
2020-08-31,6
2020-09-01,7
2020-09-02,4
2020-09-03,7
2020-09-04,6
2020-09-05,8
2020-09-06,9
2020-09-07,8
2020-09-08,9
2020-09-09,12
2020-09-10,9
2020-09-11,7
2020-09-12,6
2020-09-13,5
2020-09-14,6
2020-09-15,6
2020-09-16,4
2020-09-17,3
2020-09-18,7
2020-09-19,5
2020-09-20,4
2020-09-21,4
2020-09-22,4
2020-09-23,5
2020-09-24,3
2020-09-25,4
2020-09-26,6
2020-09-27,2
2020-09-28,4
2020-09-29,3
2020-09-30,6
2020-10-01,4
2020-10-02,6
2020-10-03,2
2020-10-04,6
2020-10-05,3
2020-10-06,5
2020-10-07,2
2020-10-08,2
2020-10-09,6
2020-10-10,5
2020-10-11,12
2020-10-12,4
2020-10-13,5
2020-10-14,3
2020-10-15,6
2020-10-16,2
2020-10-17,5
2020-10-18,3
2020-10-19,5
2020-10-20,2
2020-10-21,7
2020-10-22,6
2020-10-23,3
