date,/m/03ttfc
2020-02-01,55
2020-02-02,59
2020-02-03,50
2020-02-04,59
2020-02-05,60
2020-02-06,53
2020-02-07,45
2020-02-08,42
2020-02-09,47
2020-02-10,45
2020-02-11,49
2020-02-12,45
2020-02-13,55
2020-02-14,51
2020-02-15,54
2020-02-16,64
2020-02-17,55
2020-02-18,23
2020-02-19,45
2020-02-20,58
2020-02-21,36
2020-02-22,34
2020-02-23,66
2020-02-24,22
2020-02-25,37
2020-02-26,41
2020-02-27,55
2020-02-28,58
2020-02-29,56
2020-03-01,68
2020-03-02,70
2020-03-03,38
2020-03-04,73
2020-03-05,45
2020-03-06,44
2020-03-07,55
2020-03-08,46
2020-03-09,58
2020-03-10,51
2020-03-11,56
2020-03-12,69
2020-03-13,64
2020-03-14,70
2020-03-15,97
2020-03-16,59
2020-03-17,79
2020-03-18,57
2020-03-19,66
2020-03-20,92
2020-03-21,82
2020-03-22,86
2020-03-23,88
2020-03-24,54
2020-03-25,67
2020-03-26,61
2020-03-27,100
2020-03-28,76
2020-03-29,72
2020-03-30,79
2020-03-31,55
2020-04-01,55
2020-04-02,91
2020-04-03,58
2020-04-04,48
2020-04-05,64
2020-04-06,80
2020-04-07,65
2020-04-08,62
2020-04-09,56
2020-04-10,59
2020-04-11,71
2020-04-12,83
2020-04-13,70
2020-04-14,43
2020-04-15,45
2020-04-16,78
2020-04-17,79
2020-04-18,49
2020-04-19,60
2020-04-20,55
2020-04-21,60
2020-04-22,54
2020-04-23,46
2020-04-24,24
2020-04-25,49
2020-04-26,59
2020-04-27,58
2020-04-28,58
2020-04-29,42
2020-04-30,47
2020-05-01,60
2020-05-02,64
2020-05-03,45
2020-05-04,38
2020-05-05,48
2020-05-06,57
2020-05-07,49
2020-05-08,57
2020-05-09,55
2020-05-10,47
2020-05-11,45
2020-05-12,48
2020-05-13,37
2020-05-14,57
2020-05-15,53
2020-05-16,43
2020-05-17,63
2020-05-18,70
2020-05-19,52
2020-05-20,56
2020-05-21,64
2020-05-22,50
2020-05-23,51
2020-05-24,52
2020-05-25,67
2020-05-26,50
2020-05-27,22
2020-05-28,45
2020-05-29,39
2020-05-30,64
2020-05-31,60
2020-06-01,57
2020-06-02,55
2020-06-03,69
2020-06-04,45
2020-06-05,46
2020-06-06,65
2020-06-07,53
2020-06-08,48
2020-06-09,53
2020-06-10,40
2020-06-11,41
2020-06-12,31
2020-06-13,56
2020-06-14,37
2020-06-15,67
2020-06-16,64
2020-06-17,37
2020-06-18,46
2020-06-19,39
2020-06-20,35
2020-06-21,64
2020-06-22,33
2020-06-23,45
2020-06-24,48
2020-06-25,29
2020-06-26,40
2020-06-27,36
2020-06-28,52
2020-06-29,42
2020-06-30,34
2020-07-01,42
2020-07-02,64
2020-07-03,37
2020-07-04,39
2020-07-05,47
2020-07-06,35
2020-07-07,43
2020-07-08,57
2020-07-09,39
2020-07-10,45
2020-07-11,47
2020-07-12,64
2020-07-13,59
2020-07-14,31
2020-07-15,51
2020-07-16,67
2020-07-17,52
2020-07-18,30
2020-07-19,71
2020-07-20,41
2020-07-21,57
2020-07-22,51
2020-07-23,57
2020-07-24,51
2020-07-25,55
2020-07-26,59
2020-07-27,41
2020-07-28,41
2020-07-29,51
2020-07-30,47
2020-07-31,45
2020-08-01,27
2020-08-02,65
2020-08-03,63
2020-08-04,38
2020-08-05,46
2020-08-06,47
2020-08-07,53
2020-08-08,45
2020-08-09,52
2020-08-10,54
2020-08-11,48
2020-08-12,29
2020-08-13,37
2020-08-14,40
2020-08-15,39
2020-08-16,58
2020-08-17,45
2020-08-18,48
2020-08-19,55
2020-08-20,38
2020-08-21,40
2020-08-22,52
2020-08-23,60
2020-08-24,36
2020-08-25,37
2020-08-26,42
2020-08-27,43
2020-08-28,53
2020-08-29,47
2020-08-30,49
2020-08-31,49
2020-09-01,45
2020-09-02,73
2020-09-03,39
2020-09-04,37
2020-09-05,36
2020-09-06,45
2020-09-07,39
2020-09-08,33
2020-09-09,52
2020-09-10,42
2020-09-11,39
2020-09-12,49
2020-09-13,51
2020-09-14,41
2020-09-15,65
2020-09-16,48
2020-09-17,54
2020-09-18,48
2020-09-19,45
2020-09-20,54
2020-09-21,37
2020-09-22,57
2020-09-23,51
2020-09-24,41
2020-09-25,43
2020-09-26,60
2020-09-27,37
2020-09-28,59
2020-09-29,44
