date,/m/04hgtk
2020-02-01,42
2020-02-02,66
2020-02-03,41
2020-02-04,26
2020-02-05,34
2020-02-06,42
2020-02-07,28
2020-02-08,71
2020-02-09,38
2020-02-10,44
2020-02-11,32
2020-02-12,45
2020-02-13,27
2020-02-14,35
2020-02-15,50
2020-02-16,58
2020-02-17,58
2020-02-18,26
2020-02-19,51
2020-02-20,46
2020-02-21,21
2020-02-22,29
2020-02-23,41
2020-02-24,51
2020-02-25,45
2020-02-26,48
2020-02-27,31
2020-02-28,33
2020-02-29,48
2020-03-01,52
2020-03-02,44
2020-03-03,45
2020-03-04,51
2020-03-05,19
2020-03-06,52
2020-03-07,42
2020-03-08,65
2020-03-09,62
2020-03-10,62
2020-03-11,37
2020-03-12,66
2020-03-13,33
2020-03-14,40
2020-03-15,54
2020-03-16,52
2020-03-17,60
2020-03-18,97
2020-03-19,41
2020-03-20,63
2020-03-21,75
2020-03-22,71
2020-03-23,48
2020-03-24,40
2020-03-25,30
2020-03-26,75
2020-03-27,54
2020-03-28,69
2020-03-29,66
2020-03-30,38
2020-03-31,32
2020-04-01,45
2020-04-02,43
2020-04-03,60
2020-04-04,65
2020-04-05,61
2020-04-06,23
2020-04-07,46
2020-04-08,53
2020-04-09,65
2020-04-10,36
2020-04-11,39
2020-04-12,51
2020-04-13,39
2020-04-14,65
2020-04-15,34
2020-04-16,35
2020-04-17,23
2020-04-18,23
2020-04-19,53
2020-04-20,60
2020-04-21,57
2020-04-22,58
2020-04-23,56
2020-04-24,34
2020-04-25,56
2020-04-26,80
2020-04-27,17
2020-04-28,74
2020-04-29,27
2020-04-30,52
2020-05-01,33
2020-05-02,45
2020-05-03,42
2020-05-04,26
2020-05-05,31
2020-05-06,28
2020-05-07,64
2020-05-08,41
2020-05-09,52
2020-05-10,24
2020-05-11,52
2020-05-12,50
2020-05-13,28
2020-05-14,56
2020-05-15,59
2020-05-16,26
2020-05-17,47
2020-05-18,23
2020-05-19,52
2020-05-20,41
2020-05-21,52
2020-05-22,28
2020-05-23,24
2020-05-24,65
2020-05-25,22
2020-05-26,40
2020-05-27,40
2020-05-28,23
2020-05-29,48
2020-05-30,26
2020-05-31,100
