date,/g/1213j0cz
2020-03-01,19
2020-03-02,18
2020-03-03,15
2020-03-04,20
2020-03-05,25
2020-03-06,18
2020-03-07,20
2020-03-08,15
2020-03-09,28
2020-03-10,38
2020-03-11,41
2020-03-12,66
2020-03-13,69
2020-03-14,92
2020-03-15,100
2020-03-16,93
2020-03-17,73
2020-03-18,50
2020-03-19,57
2020-03-20,37
2020-03-21,67
2020-03-22,51
2020-03-23,41
2020-03-24,47
2020-03-25,24
2020-03-26,37
2020-03-27,49
2020-03-28,75
2020-03-29,43
2020-03-30,47
2020-03-31,30
2020-04-01,41
2020-04-02,41
2020-04-03,48
2020-04-04,41
2020-04-05,31
2020-04-06,24
2020-04-07,26
2020-04-08,24
2020-04-09,23
2020-04-10,24
2020-04-11,16
2020-04-12,31
2020-04-13,18
2020-04-14,8
2020-04-15,11
2020-04-16,22
2020-04-17,14
2020-04-18,18
2020-04-19,12
2020-04-20,10
2020-04-21,14
2020-04-22,14
2020-04-23,9
2020-04-24,13
2020-04-25,10
2020-04-26,9
2020-04-27,21
2020-04-28,8
2020-04-29,5
2020-04-30,15
2020-05-01,13
2020-05-02,14
2020-05-03,18
2020-05-04,10
2020-05-05,9
2020-05-06,7
2020-05-07,6
2020-05-08,17
2020-05-09,6
2020-05-10,15
2020-05-11,12
2020-05-12,21
2020-05-13,13
2020-05-14,18
2020-05-15,11
2020-05-16,17
2020-05-17,13
2020-05-18,14
2020-05-19,7
2020-05-20,12
2020-05-21,12
2020-05-22,14
2020-05-23,10
2020-05-24,9
2020-05-25,8
2020-05-26,10
2020-05-27,8
2020-05-28,10
2020-05-29,8
2020-05-30,16
2020-05-31,6
2020-06-01,6
2020-06-02,9
2020-06-03,9
2020-06-04,9
2020-06-05,7
2020-06-06,6
2020-06-07,12
2020-06-08,5
2020-06-09,9
2020-06-10,5
2020-06-11,8
2020-06-12,10
2020-06-13,10
2020-06-14,8
2020-06-15,8
2020-06-16,5
2020-06-17,5
2020-06-18,5
2020-06-19,9
2020-06-20,6
2020-06-21,6
2020-06-22,19
2020-06-23,9
2020-06-24,8
2020-06-25,12
2020-06-26,9
2020-06-27,13
2020-06-28,9
2020-06-29,7
2020-06-30,15
2020-07-01,7
2020-07-02,7
2020-07-03,13
2020-07-04,11
2020-07-05,6
2020-07-06,10
2020-07-07,10
2020-07-08,8
2020-07-09,8
2020-07-10,6
2020-07-11,17
2020-07-12,15
2020-07-13,19
2020-07-14,13
2020-07-15,17
2020-07-16,11
2020-07-17,6
2020-07-18,7
2020-07-19,10
2020-07-20,9
2020-07-21,8
2020-07-22,12
2020-07-23,10
2020-07-24,0
2020-07-25,7
2020-07-26,10
2020-07-27,6
2020-07-28,6
2020-07-29,12
2020-07-30,8
2020-07-31,10
2020-08-01,15
2020-08-02,8
2020-08-03,6
2020-08-04,0
2020-08-05,10
2020-08-06,13
2020-08-07,9
2020-08-08,8
2020-08-09,24
2020-08-10,7
2020-08-11,11
2020-08-12,6
2020-08-13,13
2020-08-14,18
2020-08-15,8
2020-08-16,11
2020-08-17,10
2020-08-18,11
2020-08-19,19
2020-08-20,13
2020-08-21,11
2020-08-22,13
2020-08-23,7
2020-08-24,9
2020-08-25,15
2020-08-26,9
2020-08-27,6
2020-08-28,14
2020-08-29,10
2020-08-30,11
2020-08-31,20
2020-09-01,9
2020-09-02,8
2020-09-03,11
2020-09-04,9
2020-09-05,13
2020-09-06,6
2020-09-07,17
2020-09-08,18
2020-09-09,9
2020-09-10,17
2020-09-11,11
2020-09-12,19
2020-09-13,9
2020-09-14,13
2020-09-15,17
2020-09-16,13
2020-09-17,15
2020-09-18,14
2020-09-19,22
2020-09-20,12
2020-09-21,8
2020-09-22,12
2020-09-23,8
2020-09-24,25
2020-09-25,8
2020-09-26,17
2020-09-27,15
2020-09-28,11
2020-09-29,11
2020-09-30,16
2020-10-01,16
2020-10-02,7
2020-10-03,13
2020-10-04,8
2020-10-05,16
2020-10-06,5
2020-10-07,14
2020-10-08,14
2020-10-09,8
2020-10-10,18
2020-10-11,7
2020-10-12,11
2020-10-13,17
2020-10-14,17
2020-10-15,14
2020-10-16,12
2020-10-17,16
2020-10-18,11
2020-10-19,18
2020-10-20,10
2020-10-21,20
2020-10-22,8
2020-10-23,10
