date,/m/04hgtk
2020-02-01,42
2020-02-02,79
2020-02-03,44
2020-02-04,44
2020-02-05,45
2020-02-06,47
2020-02-07,32
2020-02-08,69
2020-02-09,33
2020-02-10,38
2020-02-11,49
2020-02-12,54
2020-02-13,40
2020-02-14,31
2020-02-15,53
2020-02-16,63
2020-02-17,58
2020-02-18,58
2020-02-19,44
2020-02-20,59
2020-02-21,26
2020-02-22,32
2020-02-23,61
2020-02-24,43
2020-02-25,43
2020-02-26,45
2020-02-27,37
2020-02-28,35
2020-02-29,46
2020-03-01,48
2020-03-02,56
2020-03-03,53
2020-03-04,43
2020-03-05,19
2020-03-06,59
2020-03-07,63
2020-03-08,68
2020-03-09,60
2020-03-10,65
2020-03-11,50
2020-03-12,63
2020-03-13,44
2020-03-14,50
2020-03-15,60
2020-03-16,52
2020-03-17,63
2020-03-18,68
2020-03-19,40
2020-03-20,55
2020-03-21,75
2020-03-22,83
2020-03-23,44
2020-03-24,52
2020-03-25,40
2020-03-26,78
2020-03-27,57
2020-03-28,75
2020-03-29,80
2020-03-30,43
2020-03-31,32
2020-04-01,46
2020-04-02,57
2020-04-03,62
2020-04-04,73
2020-04-05,61
2020-04-06,29
2020-04-07,56
2020-04-08,48
2020-04-09,58
2020-04-10,53
2020-04-11,59
2020-04-12,58
2020-04-13,46
2020-04-14,74
2020-04-15,39
2020-04-16,57
2020-04-17,39
2020-04-18,35
2020-04-19,79
2020-04-20,58
2020-04-21,60
2020-04-22,61
2020-04-23,76
2020-04-24,38
2020-04-25,47
2020-04-26,60
2020-04-27,34
2020-04-28,76
2020-04-29,24
2020-04-30,47
2020-05-01,49
2020-05-02,55
2020-05-03,40
2020-05-04,31
2020-05-05,31
2020-05-06,38
2020-05-07,70
2020-05-08,44
2020-05-09,63
2020-05-10,31
2020-05-11,47
2020-05-12,50
2020-05-13,50
2020-05-14,51
2020-05-15,66
2020-05-16,29
2020-05-17,45
2020-05-18,39
2020-05-19,48
2020-05-20,47
2020-05-21,59
2020-05-22,25
2020-05-23,40
2020-05-24,67
2020-05-25,33
2020-05-26,35
2020-05-27,47
2020-05-28,34
2020-05-29,58
2020-05-30,44
2020-05-31,100
