date,/m/018l35
2020-02-01,41
2020-02-02,39
2020-02-03,38
2020-02-04,51
2020-02-05,49
2020-02-06,40
2020-02-07,31
2020-02-08,37
2020-02-09,19
2020-02-10,47
2020-02-11,32
2020-02-12,38
2020-02-13,31
2020-02-14,45
2020-02-15,26
2020-02-16,26
2020-02-17,30
2020-02-18,39
2020-02-19,52
2020-02-20,46
2020-02-21,41
2020-02-22,35
2020-02-23,38
2020-02-24,47
2020-02-25,55
2020-02-26,42
2020-02-27,32
2020-02-28,68
2020-02-29,21
2020-03-01,36
2020-03-02,38
2020-03-03,49
2020-03-04,44
2020-03-05,46
2020-03-06,44
2020-03-07,45
2020-03-08,30
2020-03-09,31
2020-03-10,36
2020-03-11,32
2020-03-12,37
2020-03-13,36
2020-03-14,52
2020-03-15,45
2020-03-16,61
2020-03-17,42
2020-03-18,58
2020-03-19,100
2020-03-20,53
2020-03-21,57
2020-03-22,90
2020-03-23,74
2020-03-24,50
2020-03-25,42
2020-03-26,56
2020-03-27,52
2020-03-28,41
2020-03-29,37
2020-03-30,42
2020-03-31,35
2020-04-01,42
2020-04-02,35
2020-04-03,34
2020-04-04,44
2020-04-05,23
2020-04-06,45
2020-04-07,36
2020-04-08,22
2020-04-09,49
2020-04-10,42
2020-04-11,24
2020-04-12,38
2020-04-13,38
2020-04-14,36
2020-04-15,34
2020-04-16,33
2020-04-17,53
2020-04-18,27
2020-04-19,22
2020-04-20,37
2020-04-21,33
2020-04-22,40
2020-04-23,56
2020-04-24,31
2020-04-25,17
2020-04-26,35
2020-04-27,41
2020-04-28,36
2020-04-29,43
2020-04-30,49
2020-05-01,17
2020-05-02,35
2020-05-03,30
2020-05-04,27
2020-05-05,25
2020-05-06,36
2020-05-07,24
2020-05-08,38
2020-05-09,24
2020-05-10,29
2020-05-11,27
2020-05-12,34
2020-05-13,34
2020-05-14,36
2020-05-15,32
2020-05-16,46
2020-05-17,40
2020-05-18,25
2020-05-19,37
2020-05-20,40
2020-05-21,36
2020-05-22,22
2020-05-23,29
2020-05-24,41
2020-05-25,32
2020-05-26,45
2020-05-27,25
2020-05-28,26
2020-05-29,37
2020-05-30,36
2020-05-31,23
2020-06-01,32
2020-06-02,44
2020-06-03,23
2020-06-04,28
2020-06-05,36
2020-06-06,19
2020-06-07,40
2020-06-08,33
2020-06-09,26
2020-06-10,28
2020-06-11,27
2020-06-12,38
2020-06-13,32
2020-06-14,33
2020-06-15,18
2020-06-16,32
2020-06-17,59
2020-06-18,26
2020-06-19,38
2020-06-20,30
2020-06-21,28
2020-06-22,28
2020-06-23,32
2020-06-24,36
2020-06-25,21
2020-06-26,36
2020-06-27,8
2020-06-28,37
2020-06-29,23
2020-06-30,38
2020-07-01,41
2020-07-02,23
2020-07-03,43
2020-07-04,43
2020-07-05,29
2020-07-06,20
2020-07-07,28
2020-07-08,29
2020-07-09,35
2020-07-10,37
2020-07-11,39
2020-07-12,30
2020-07-13,39
2020-07-14,28
2020-07-15,42
2020-07-16,28
2020-07-17,43
2020-07-18,29
2020-07-19,14
2020-07-20,30
2020-07-21,25
2020-07-22,39
2020-07-23,47
2020-07-24,44
2020-07-25,26
2020-07-26,27
2020-07-27,36
2020-07-28,27
2020-07-29,30
2020-07-30,47
2020-07-31,31
2020-08-01,28
2020-08-02,26
2020-08-03,48
2020-08-04,32
2020-08-05,27
2020-08-06,19
2020-08-07,54
2020-08-08,30
2020-08-09,18
2020-08-10,33
2020-08-11,31
2020-08-12,24
2020-08-13,42
2020-08-14,29
2020-08-15,32
2020-08-16,37
2020-08-17,34
2020-08-18,34
2020-08-19,27
2020-08-20,34
2020-08-21,28
2020-08-22,27
2020-08-23,41
2020-08-24,33
2020-08-25,29
2020-08-26,33
2020-08-27,31
2020-08-28,21
2020-08-29,31
2020-08-30,31
2020-08-31,23
2020-09-01,32
2020-09-02,30
2020-09-03,27
2020-09-04,35
2020-09-05,22
2020-09-06,25
2020-09-07,15
2020-09-08,37
2020-09-09,43
2020-09-10,27
2020-09-11,43
2020-09-12,15
2020-09-13,31
2020-09-14,23
2020-09-15,30
2020-09-16,38
2020-09-17,44
2020-09-18,20
2020-09-19,38
2020-09-20,28
2020-09-21,33
2020-09-22,30
2020-09-23,38
2020-09-24,26
2020-09-25,24
2020-09-26,22
2020-09-27,20
2020-09-28,40
2020-09-29,42
