date,/g/11j4xt9hdf
2020-02-01,56.0
2020-02-02,36.0
2020-02-03,37.0
2020-02-04,45.0
2020-02-05,38.0
2020-02-06,33.0
2020-02-07,45.0
2020-02-08,33.0
2020-02-09,35.0
2020-02-10,48.0
2020-02-11,32.0
2020-02-12,37.0
2020-02-13,31.0
2020-02-14,21.0
2020-02-15,16.0
2020-02-16,18.0
2020-02-17,16.0
2020-02-18,18.0
2020-02-19,11.0
2020-02-20,7.0
2020-02-21,18.0
2020-02-22,15.0
2020-02-23,15.0
2020-02-24,23.0
2020-02-25,31.0
2020-02-26,46.0
2020-02-27,29.0
2020-02-28,45.0
2020-02-29,33.0
2020-03-01,42.0
2020-03-02,41.0
2020-03-03,34.0
2020-03-04,47.0
2020-03-05,29.0
2020-03-06,42.0
2020-03-07,25.0
2020-03-08,45.0
2020-03-09,47.0
2020-03-10,69.0
2020-03-11,55.0
2020-03-12,79.0
2020-03-13,93.0
2020-03-14,99.0
2020-03-15,100.0
2020-03-16,96.0
2020-03-17,82.0
2020-03-18,86.0
2020-03-19,69.0
2020-03-20,58.0
2020-03-21,70.0
2020-03-22,75.0
2020-03-23,73.0
2020-03-24,65.0
2020-03-25,71.0
2020-03-26,59.0
2020-03-27,43.0
2020-03-28,55.0
2020-03-29,46.0
2020-03-30,45.0
2020-03-31,30.0
2020-04-01,35.0
2020-04-02,50.0
2020-04-03,38.0
2020-04-04,38.0
2020-04-05,49.0
2020-04-06,32.0
2020-04-07,37.0
2020-04-08,37.0
2020-04-09,43.0
2020-04-10,42.0
2020-04-11,32.0
2020-04-12,37.0
2020-04-13,31.0
2020-04-14,37.0
2020-04-15,25.0
2020-04-16,35.0
2020-04-17,35.0
2020-04-18,31.0
2020-04-19,20.0
2020-04-20,32.0
2020-04-21,28.0
2020-04-22,25.0
2020-04-23,20.0
2020-04-24,30.0
2020-04-25,21.0
2020-04-26,15.0
2020-04-27,33.0
2020-04-28,27.0
2020-04-29,18.0
2020-04-30,29.0
2020-05-01,20.0
2020-05-02,24.0
2020-05-03,21.0
2020-05-04,23.0
2020-05-05,23.0
2020-05-06,17.0
2020-05-07,26.0
2020-05-08,15.0
2020-05-09,11.0
2020-05-10,21.0
2020-05-11,46.0
2020-05-12,32.0
2020-05-13,22.0
2020-05-14,21.0
2020-05-15,22.0
2020-05-16,23.0
2020-05-17,14.0
2020-05-18,22.0
2020-05-19,28.0
2020-05-20,27.0
2020-05-21,23.0
2020-05-22,13.0
2020-05-23,17.0
2020-05-24,19.0
2020-05-25,10.0
2020-05-26,29.0
2020-05-27,17.0
2020-05-28,25.0
2020-05-29,15.0
2020-05-30,17.0
2020-05-31,9.0
2020-06-01,19.0
2020-06-02,24.0
2020-06-03,8.0
2020-06-04,19.0
2020-06-05,10.0
2020-06-06,12.0
2020-06-07,9.0
2020-06-08,7.0
2020-06-09,21.0
2020-06-10,20.0
2020-06-11,14.0
2020-06-12,10.0
2020-06-13,12.0
2020-06-14,18.0
2020-06-15,18.0
2020-06-16,21.0
2020-06-17,26.0
2020-06-18,20.0
2020-06-19,14.0
2020-06-20,14.0
2020-06-21,9.0
2020-06-22,17.0
2020-06-23,19.0
2020-06-24,14.0
2020-06-25,19.0
2020-06-26,8.0
2020-06-27,19.0
2020-06-28,13.0
2020-06-29,17.0
2020-06-30,20.0
2020-07-01,17.0
2020-07-02,19.0
2020-07-03,14.0
2020-07-04,9.0
2020-07-05,12.0
2020-07-06,10.0
2020-07-07,7.0
2020-07-08,9.0
2020-07-09,13.0
2020-07-10,12.0
2020-07-11,13.0
2020-07-12,11.0
2020-07-13,13.0
2020-07-14,22.0
2020-07-15,10.0
2020-07-16,21.0
2020-07-17,14.0
2020-07-18,10.0
2020-07-19,12.0
2020-07-20,5.0
2020-07-21,9.0
2020-07-22,7.0
