date,/m/01c751,isPartial
2020-03-01,30,False
2020-03-02,15,False
2020-03-03,15,False
2020-03-04,29,False
2020-03-05,15,False
2020-03-06,31,False
2020-03-07,16,False
2020-03-08,30,False
2020-03-09,15,False
2020-03-10,22,False
2020-03-11,28,False
2020-03-12,44,False
2020-03-13,86,False
2020-03-14,77,False
2020-03-15,75,False
2020-03-16,56,False
2020-03-17,51,False
2020-03-18,47,False
2020-03-19,41,False
2020-03-20,12,False
2020-03-21,49,False
2020-03-22,100,False
2020-03-23,17,False
2020-03-24,39,False
2020-03-25,58,False
2020-03-26,26,False
2020-03-27,49,False
2020-03-28,49,False
2020-03-29,14,False
2020-03-30,18,False
2020-03-31,12,False
2020-04-01,38,False
2020-04-02,42,False
2020-04-03,25,False
2020-04-04,45,False
2020-04-05,15,False
2020-04-06,11,False
2020-04-07,12,False
2020-04-08,19,False
2020-04-09,25,False
2020-04-10,26,False
2020-04-11,36,False
2020-04-12,29,False
2020-04-13,26,False
2020-04-14,12,False
2020-04-15,0,False
2020-04-16,0,False
2020-04-17,0,False
2020-04-18,27,False
2020-04-19,14,False
2020-04-20,52,False
2020-04-21,13,False
2020-04-22,27,False
2020-04-23,13,False
2020-04-24,13,False
2020-04-25,21,False
2020-04-26,0,False
2020-04-27,12,False
2020-04-28,11,False
2020-04-29,58,False
2020-04-30,11,False
2020-05-01,25,False
2020-05-02,0,False
2020-05-03,33,False
2020-05-04,12,False
2020-05-05,10,False
2020-05-06,0,False
2020-05-07,0,False
2020-05-08,0,False
2020-05-09,26,False
2020-05-10,13,False
2020-05-11,12,False
2020-05-12,26,False
2020-05-13,13,False
2020-05-14,13,False
2020-05-15,28,False
2020-05-16,16,False
2020-05-17,48,False
2020-05-18,0,False
2020-05-19,13,False
2020-05-20,14,False
2020-05-21,0,False
2020-05-22,13,False
2020-05-23,0,False
2020-05-24,15,False
2020-05-25,0,False
2020-05-26,13,False
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,16,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,0,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,15,False
2020-06-07,16,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,13,False
2020-06-13,16,False
2020-06-14,30,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,14,False
2020-06-20,17,False
2020-06-21,15,False
2020-06-22,0,False
2020-06-23,15,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,0,False
2020-07-01,0,False
2020-07-02,15,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,15,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,15,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,19,False
2020-07-12,19,False
2020-07-13,0,False
2020-07-14,16,False
2020-07-15,0,False
2020-07-16,0,False
2020-07-17,17,False
2020-07-18,0,False
2020-07-19,18,False
2020-07-20,0,False
2020-07-21,0,False
2020-07-22,0,False
2020-07-23,0,False
2020-07-24,17,False
2020-07-25,0,False
2020-07-26,0,False
2020-07-27,0,False
2020-07-28,0,False
2020-07-29,0,False
2020-07-30,0,False
2020-07-31,0,False
2020-08-01,19,False
2020-08-02,0,False
2020-08-03,0,False
2020-08-04,17,False
2020-08-05,0,False
2020-08-06,0,False
2020-08-07,18,False
2020-08-08,0,False
2020-08-09,19,False
2020-08-10,0,False
2020-08-11,16,False
2020-08-12,16,False
2020-08-13,16,False
2020-08-14,0,False
2020-08-15,0,False
2020-08-16,17,False
2020-08-17,16,False
2020-08-18,16,False
2020-08-19,0,False
2020-08-20,17,False
2020-08-21,17,False
2020-08-22,0,False
2020-08-23,17,False
2020-08-24,0,False
2020-08-25,0,False
2020-08-26,0,False
2020-08-27,0,False
2020-08-28,16,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,0,False
2020-09-01,0,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,0,False
2020-09-05,17,False
2020-09-06,0,False
2020-09-07,16,False
2020-09-08,15,False
2020-09-09,0,False
2020-09-10,0,False
2020-09-11,16,False
2020-09-12,0,False
2020-09-13,0,False
2020-09-14,0,False
2020-09-15,0,False
2020-09-16,16,False
2020-09-17,0,False
2020-09-18,0,False
2020-09-19,16,False
2020-09-20,0,False
2020-09-21,0,False
2020-09-22,0,False
2020-09-23,0,False
2020-09-24,15,False
2020-09-25,0,False
2020-09-26,17,False
2020-09-27,0,False
2020-09-28,0,False
2020-09-29,0,False
2020-09-30,0,False
2020-10-01,0,False
2020-10-02,0,False
2020-10-03,16,False
2020-10-04,0,False
2020-10-05,0,False
2020-10-06,0,False
2020-10-07,0,False
2020-10-08,0,False
2020-10-09,0,False
2020-10-10,17,False
2020-10-11,0,False
2020-10-12,0,False
2020-10-13,0,False
2020-10-14,16,False
2020-10-15,16,False
2020-10-16,0,False
2020-10-17,17,False
