date,/m/07gr_
2020-02-01,53
2020-02-02,46
2020-02-03,52
2020-02-04,52
2020-02-05,47
2020-02-06,35
2020-02-07,44
2020-02-08,54
2020-02-09,57
2020-02-10,47
2020-02-11,42
2020-02-12,42
2020-02-13,53
2020-02-14,58
2020-02-15,58
2020-02-16,62
2020-02-17,45
2020-02-18,40
2020-02-19,56
2020-02-20,52
2020-02-21,56
2020-02-22,60
2020-02-23,63
2020-02-24,38
2020-02-25,44
2020-02-26,41
2020-02-27,46
2020-02-28,30
2020-02-29,53
2020-03-01,65
2020-03-02,51
2020-03-03,57
2020-03-04,41
2020-03-05,68
2020-03-06,52
2020-03-07,42
2020-03-08,72
2020-03-09,58
2020-03-10,65
2020-03-11,41
2020-03-12,65
2020-03-13,87
2020-03-14,92
2020-03-15,88
2020-03-16,72
2020-03-17,79
2020-03-18,68
2020-03-19,100
2020-03-20,83
2020-03-21,60
2020-03-22,95
2020-03-23,72
2020-03-24,78
2020-03-25,71
2020-03-26,56
2020-03-27,53
2020-03-28,66
2020-03-29,60
2020-03-30,68
2020-03-31,70
2020-04-01,62
2020-04-02,61
2020-04-03,42
2020-04-04,47
2020-04-05,68
2020-04-06,51
2020-04-07,50
2020-04-08,51
2020-04-09,57
2020-04-10,60
2020-04-11,56
2020-04-12,62
2020-04-13,65
2020-04-14,39
2020-04-15,43
2020-04-16,52
2020-04-17,40
2020-04-18,43
2020-04-19,49
2020-04-20,42
2020-04-21,42
2020-04-22,31
2020-04-23,53
2020-04-24,36
2020-04-25,39
2020-04-26,37
2020-04-27,41
2020-04-28,38
2020-04-29,40
2020-04-30,37
2020-05-01,30
2020-05-02,64
2020-05-03,39
2020-05-04,41
2020-05-05,33
2020-05-06,37
2020-05-07,35
2020-05-08,38
2020-05-09,52
2020-05-10,44
2020-05-11,53
2020-05-12,45
2020-05-13,45
2020-05-14,34
2020-05-15,42
2020-05-16,53
2020-05-17,46
2020-05-18,43
2020-05-19,36
2020-05-20,41
2020-05-21,56
2020-05-22,36
2020-05-23,37
2020-05-24,56
2020-05-25,36
2020-05-26,47
2020-05-27,41
2020-05-28,34
2020-05-29,33
2020-05-30,61
2020-05-31,50
