date,/m/0hn9s,isPartial
2020-03-01,43,False
2020-03-02,41,False
2020-03-03,21,False
2020-03-04,14,False
2020-03-05,35,False
2020-03-06,44,False
2020-03-07,24,False
2020-03-08,57,False
2020-03-09,14,False
2020-03-10,14,False
2020-03-11,78,False
2020-03-12,64,False
2020-03-13,61,False
2020-03-14,68,False
2020-03-15,85,False
2020-03-16,62,False
2020-03-17,44,False
2020-03-18,32,False
2020-03-19,47,False
2020-03-20,39,False
2020-03-21,48,False
2020-03-22,56,False
2020-03-23,35,False
2020-03-24,25,False
2020-03-25,37,False
2020-03-26,62,False
2020-03-27,73,False
2020-03-28,63,False
2020-03-29,60,False
2020-03-30,18,False
2020-03-31,42,False
2020-04-01,100,False
2020-04-02,24,False
2020-04-03,31,False
2020-04-04,57,False
2020-04-05,22,False
2020-04-06,23,False
2020-04-07,0,False
2020-04-08,25,False
2020-04-09,37,False
2020-04-10,32,False
2020-04-11,14,False
2020-04-12,15,False
2020-04-13,27,False
2020-04-14,25,False
2020-04-15,13,False
2020-04-16,39,False
2020-04-17,0,False
2020-04-18,27,False
2020-04-19,28,False
2020-04-20,0,False
2020-04-21,13,False
2020-04-22,20,False
2020-04-23,13,False
2020-04-24,0,False
2020-04-25,43,False
2020-04-26,14,False
2020-04-27,0,False
2020-04-28,34,False
2020-04-29,12,False
2020-04-30,17,False
2020-05-01,25,False
2020-05-02,13,False
2020-05-03,53,False
2020-05-04,12,False
2020-05-05,21,False
2020-05-06,0,False
2020-05-07,12,False
2020-05-08,13,False
2020-05-09,13,False
2020-05-10,13,False
2020-05-11,12,False
2020-05-12,0,False
2020-05-13,20,False
2020-05-14,13,False
2020-05-15,27,False
2020-05-16,32,False
2020-05-17,16,False
2020-05-18,13,False
2020-05-19,0,False
2020-05-20,14,False
2020-05-21,15,False
2020-05-22,14,False
2020-05-23,14,False
2020-05-24,16,False
2020-05-25,0,False
2020-05-26,39,False
2020-05-27,13,False
2020-05-28,25,False
2020-05-29,14,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,14,False
2020-06-02,13,False
2020-06-03,12,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,14,False
2020-06-07,0,False
2020-06-08,12,False
2020-06-09,0,False
2020-06-10,38,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,13,False
2020-06-16,0,False
2020-06-17,13,False
2020-06-18,0,False
2020-06-19,14,False
2020-06-20,16,False
2020-06-21,0,False
2020-06-22,14,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,14,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,26,False
2020-06-30,14,False
2020-07-01,0,False
2020-07-02,14,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,14,False
2020-07-07,0,False
2020-07-08,15,False
2020-07-09,15,False
2020-07-10,16,False
2020-07-11,18,False
2020-07-12,0,False
2020-07-13,0,False
2020-07-14,0,False
2020-07-15,14,False
2020-07-16,0,False
2020-07-17,16,False
2020-07-18,36,False
2020-07-19,0,False
2020-07-20,15,False
2020-07-21,0,False
2020-07-22,16,False
2020-07-23,0,False
2020-07-24,16,False
2020-07-25,18,False
2020-07-26,0,False
2020-07-27,15,False
2020-07-28,0,False
2020-07-29,0,False
2020-07-30,16,False
2020-07-31,0,False
2020-08-01,18,False
2020-08-02,0,False
2020-08-03,0,False
2020-08-04,0,False
2020-08-05,0,False
2020-08-06,0,False
2020-08-07,0,False
2020-08-08,19,False
2020-08-09,0,False
2020-08-10,0,False
2020-08-11,0,False
2020-08-12,15,False
2020-08-13,16,False
2020-08-14,17,False
2020-08-15,17,False
2020-08-16,0,False
2020-08-17,0,False
2020-08-18,16,False
2020-08-19,16,False
2020-08-20,16,False
2020-08-21,0,False
2020-08-22,0,False
2020-08-23,0,False
2020-08-24,0,False
2020-08-25,0,False
2020-08-26,16,False
2020-08-27,16,False
2020-08-28,0,False
2020-08-29,0,False
2020-08-30,15,False
2020-08-31,0,False
2020-09-01,15,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,0,False
2020-09-05,0,False
2020-09-06,0,False
2020-09-07,15,False
2020-09-08,0,False
2020-09-09,0,False
2020-09-10,0,False
2020-09-11,16,False
2020-09-12,16,False
2020-09-13,0,False
2020-09-14,15,False
2020-09-15,0,False
2020-09-16,0,False
2020-09-17,15,False
2020-09-18,0,False
2020-09-19,16,False
2020-09-20,0,False
2020-09-21,0,False
2020-09-22,15,False
2020-09-23,0,False
2020-09-24,0,False
2020-09-25,0,False
2020-09-26,0,False
2020-09-27,0,False
2020-09-28,0,False
2020-09-29,0,False
2020-09-30,0,False
2020-10-01,0,False
2020-10-02,0,False
2020-10-03,0,False
2020-10-04,14,False
2020-10-05,14,False
2020-10-06,0,False
2020-10-07,0,False
2020-10-08,15,False
2020-10-09,0,False
2020-10-10,0,False
2020-10-11,0,False
2020-10-12,15,False
2020-10-13,0,False
2020-10-14,0,False
