date,/m/0j5fv
2020-02-01,31
2020-02-02,43
2020-02-03,41
2020-02-04,17
2020-02-05,47
2020-02-06,42
2020-02-07,19
2020-02-08,44
2020-02-09,41
2020-02-10,28
2020-02-11,43
2020-02-12,45
2020-02-13,26
2020-02-14,27
2020-02-15,38
2020-02-16,68
2020-02-17,40
2020-02-18,45
2020-02-19,62
2020-02-20,35
2020-02-21,43
2020-02-22,38
2020-02-23,36
2020-02-24,56
2020-02-25,39
2020-02-26,38
2020-02-27,27
2020-02-28,53
2020-02-29,30
2020-03-01,43
2020-03-02,38
2020-03-03,45
2020-03-04,34
2020-03-05,28
2020-03-06,34
2020-03-07,37
2020-03-08,40
2020-03-09,98
2020-03-10,27
2020-03-11,70
2020-03-12,69
2020-03-13,58
2020-03-14,65
2020-03-15,59
2020-03-16,67
2020-03-17,100
2020-03-18,58
2020-03-19,58
2020-03-20,50
2020-03-21,39
2020-03-22,62
2020-03-23,56
2020-03-24,66
2020-03-25,63
2020-03-26,56
2020-03-27,52
2020-03-28,50
2020-03-29,62
2020-03-30,38
2020-03-31,21
2020-04-01,44
2020-04-02,38
2020-04-03,63
2020-04-04,57
2020-04-05,54
2020-04-06,73
2020-04-07,30
2020-04-08,41
2020-04-09,52
2020-04-10,47
2020-04-11,40
2020-04-12,57
2020-04-13,25
2020-04-14,36
2020-04-15,25
2020-04-16,31
2020-04-17,26
2020-04-18,45
2020-04-19,39
2020-04-20,29
2020-04-21,60
2020-04-22,61
2020-04-23,45
2020-04-24,40
2020-04-25,39
2020-04-26,35
2020-04-27,23
2020-04-28,37
2020-04-29,42
2020-04-30,41
2020-05-01,34
2020-05-02,50
2020-05-03,53
2020-05-04,50
2020-05-05,18
2020-05-06,40
2020-05-07,31
2020-05-08,36
2020-05-09,23
2020-05-10,70
2020-05-11,28
2020-05-12,43
2020-05-13,39
2020-05-14,49
2020-05-15,46
2020-05-16,23
2020-05-17,45
2020-05-18,40
2020-05-19,30
2020-05-20,31
2020-05-21,40
2020-05-22,15
2020-05-23,31
2020-05-24,31
2020-05-25,36
2020-05-26,46
2020-05-27,25
2020-05-28,45
2020-05-29,37
2020-05-30,57
2020-05-31,53
2020-06-01,43
2020-06-02,48
2020-06-03,13
2020-06-04,55
2020-06-05,22
2020-06-06,40
2020-06-07,31
2020-06-08,30
2020-06-09,22
2020-06-10,14
2020-06-11,24
2020-06-12,44
2020-06-13,23
2020-06-14,22
2020-06-15,24
2020-06-16,18
2020-06-17,56
2020-06-18,37
2020-06-19,36
2020-06-20,18
2020-06-21,68
2020-06-22,20
2020-06-23,32
2020-06-24,22
2020-06-25,44
2020-06-26,16
2020-06-27,51
2020-06-28,39
2020-06-29,30
2020-06-30,36
2020-07-01,44
2020-07-02,26
2020-07-03,44
2020-07-04,70
2020-07-05,49
2020-07-06,23
2020-07-07,40
2020-07-08,31
2020-07-09,33
2020-07-10,62
2020-07-11,39
2020-07-12,39
2020-07-13,28
2020-07-14,16
2020-07-15,33
2020-07-16,32
2020-07-17,18
2020-07-18,27
2020-07-19,27
2020-07-20,46
2020-07-21,39
2020-07-22,17
2020-07-23,35
2020-07-24,34
2020-07-25,31
2020-07-26,18
2020-07-27,33
2020-07-28,33
2020-07-29,34
2020-07-30,23
2020-07-31,36
2020-08-01,27
2020-08-02,41
2020-08-03,25
2020-08-04,48
2020-08-05,33
2020-08-06,44
2020-08-07,26
2020-08-08,24
2020-08-09,18
2020-08-10,16
2020-08-11,31
2020-08-12,38
2020-08-13,31
2020-08-14,32
2020-08-15,27
2020-08-16,33
2020-08-17,38
2020-08-18,46
2020-08-19,52
2020-08-20,37
2020-08-21,32
2020-08-22,59
2020-08-23,32
2020-08-24,40
2020-08-25,57
2020-08-26,42
2020-08-27,33
2020-08-28,49
2020-08-29,29
2020-08-30,50
2020-08-31,71
2020-09-01,32
2020-09-02,16
2020-09-03,16
2020-09-04,22
2020-09-05,26
2020-09-06,42
2020-09-07,33
2020-09-08,59
2020-09-09,37
2020-09-10,51
2020-09-11,35
2020-09-12,37
2020-09-13,63
2020-09-14,38
2020-09-15,60
2020-09-16,16
2020-09-17,49
2020-09-18,25
2020-09-19,24
2020-09-20,23
2020-09-21,37
2020-09-22,24
2020-09-23,31
2020-09-24,27
2020-09-25,28
2020-09-26,51
2020-09-27,25
2020-09-28,63
2020-09-29,38
