date,/g/11j4xt9hdf
2020-02-01,34.0
2020-02-02,41.0
2020-02-03,62.0
2020-02-04,37.0
2020-02-05,31.0
2020-02-06,44.0
2020-02-07,38.0
2020-02-08,21.0
2020-02-09,13.0
2020-02-10,77.0
2020-02-11,24.0
2020-02-12,12.0
2020-02-13,63.0
2020-02-14,32.0
2020-02-15,34.0
2020-02-16,0.0
2020-02-17,12.0
2020-02-18,12.0
2020-02-19,19.0
2020-02-20,6.0
2020-02-21,19.0
2020-02-22,20.0
2020-02-23,13.0
2020-02-24,24.0
2020-02-25,6.0
2020-02-26,41.0
2020-02-27,42.0
2020-02-28,25.0
2020-02-29,20.0
2020-03-01,33.0
2020-03-02,35.0
2020-03-03,76.0
2020-03-04,65.0
2020-03-05,35.0
2020-03-06,19.0
2020-03-07,20.0
2020-03-08,39.0
2020-03-09,40.0
2020-03-10,29.0
2020-03-11,83.0
2020-03-12,88.0
2020-03-13,100.0
2020-03-14,33.0
2020-03-15,63.0
2020-03-16,45.0
2020-03-17,73.0
2020-03-18,34.0
2020-03-19,70.0
2020-03-20,45.0
2020-03-21,53.0
2020-03-22,25.0
2020-03-23,63.0
2020-03-24,56.0
2020-03-25,44.0
2020-03-26,17.0
2020-03-27,11.0
2020-03-28,25.0
2020-03-29,38.0
2020-03-30,16.0
2020-03-31,27.0
2020-04-01,33.0
2020-04-02,11.0
2020-04-03,39.0
2020-04-04,58.0
2020-04-05,32.0
2020-04-06,28.0
2020-04-07,52.0
2020-04-08,12.0
2020-04-09,36.0
2020-04-10,47.0
2020-04-11,27.0
2020-04-12,37.0
2020-04-13,54.0
2020-04-14,33.0
2020-04-15,16.0
2020-04-16,28.0
2020-04-17,46.0
2020-04-18,19.0
2020-04-19,13.0
2020-04-20,22.0
2020-04-21,6.0
2020-04-22,17.0
2020-04-23,34.0
2020-04-24,17.0
2020-04-25,19.0
2020-04-26,0.0
2020-04-27,21.0
2020-04-28,16.0
2020-04-29,16.0
2020-04-30,11.0
2020-05-01,24.0
2020-05-02,31.0
2020-05-03,19.0
2020-05-04,21.0
2020-05-05,36.0
2020-05-06,11.0
2020-05-07,6.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,30.0
2020-05-11,27.0
2020-05-12,16.0
2020-05-13,11.0
2020-05-14,39.0
2020-05-15,17.0
2020-05-16,12.0
2020-05-17,6.0
2020-05-18,22.0
2020-05-19,16.0
2020-05-20,29.0
2020-05-21,28.0
2020-05-22,13.0
2020-05-23,6.0
2020-05-24,6.0
2020-05-25,5.0
2020-05-26,11.0
2020-05-27,17.0
2020-05-28,28.0
2020-05-29,18.0
2020-05-30,14.0
2020-05-31,7.0
2020-06-01,11.0
2020-06-02,11.0
2020-06-03,5.0
2020-06-04,11.0
2020-06-05,17.0
2020-06-06,6.0
2020-06-07,0.0
2020-06-08,6.0
2020-06-09,0.0
2020-06-10,6.0
2020-06-11,19.0
2020-06-12,13.0
2020-06-13,22.0
2020-06-14,14.0
2020-06-15,18.0
2020-06-16,12.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,21.0
2020-06-21,0.0
2020-06-22,11.0
2020-06-23,0.0
2020-06-24,19.0
2020-06-25,6.0
2020-06-26,7.0
2020-06-27,14.0
2020-06-28,0.0
2020-06-29,17.0
2020-06-30,12.0
2020-07-01,12.0
2020-07-02,0.0
2020-07-03,6.0
2020-07-04,13.0
2020-07-05,0.0
