date,/m/0cycc
2020-02-01,25
2020-02-02,19
2020-02-03,9
2020-02-04,25
2020-02-05,23
2020-02-06,17
2020-02-07,19
2020-02-08,16
2020-02-09,8
2020-02-10,14
2020-02-11,22
2020-02-12,13
2020-02-13,20
2020-02-14,14
2020-02-15,17
2020-02-16,14
2020-02-17,8
2020-02-18,13
2020-02-19,11
2020-02-20,13
2020-02-21,12
2020-02-22,12
2020-02-23,25
2020-02-24,32
2020-02-25,34
2020-02-26,37
2020-02-27,33
2020-02-28,26
2020-02-29,38
2020-03-01,57
2020-03-02,55
2020-03-03,48
2020-03-04,39
2020-03-05,35
2020-03-06,48
2020-03-07,29
2020-03-08,40
2020-03-09,50
2020-03-10,53
2020-03-11,55
2020-03-12,66
2020-03-13,71
2020-03-14,54
2020-03-15,100
2020-03-16,47
2020-03-17,48
2020-03-18,46
2020-03-19,53
2020-03-20,60
2020-03-21,75
2020-03-22,52
2020-03-23,33
2020-03-24,39
2020-03-25,33
2020-03-26,37
2020-03-27,36
2020-03-28,40
2020-03-29,48
2020-03-30,16
2020-03-31,26
2020-04-01,33
2020-04-02,33
2020-04-03,21
2020-04-04,32
2020-04-05,15
2020-04-06,23
2020-04-07,21
2020-04-08,7
2020-04-09,29
2020-04-10,36
2020-04-11,29
2020-04-12,28
2020-04-13,25
2020-04-14,16
2020-04-15,17
2020-04-16,13
2020-04-17,16
2020-04-18,23
2020-04-19,17
2020-04-20,21
2020-04-21,7
2020-04-22,13
2020-04-23,12
2020-04-24,22
2020-04-25,11
2020-04-26,13
2020-04-27,15
2020-04-28,19
2020-04-29,14
2020-04-30,6
2020-05-01,16
2020-05-02,8
2020-05-03,16
2020-05-04,6
2020-05-05,14
2020-05-06,11
2020-05-07,9
2020-05-08,9
2020-05-09,11
2020-05-10,16
2020-05-11,25
2020-05-12,16
2020-05-13,8
2020-05-14,5
2020-05-15,6
2020-05-16,11
2020-05-17,13
2020-05-18,8
2020-05-19,3
2020-05-20,7
2020-05-21,3
2020-05-22,11
2020-05-23,9
2020-05-24,17
2020-05-25,3
2020-05-26,6
2020-05-27,8
2020-05-28,7
2020-05-29,7
2020-05-30,8
2020-05-31,13
