date,/m/01ppsd
2020-02-01,28
2020-02-02,45
2020-02-03,48
2020-02-04,31
2020-02-05,55
2020-02-06,37
2020-02-07,38
2020-02-08,53
2020-02-09,34
2020-02-10,47
2020-02-11,48
2020-02-12,44
2020-02-13,18
2020-02-14,33
2020-02-15,34
2020-02-16,35
2020-02-17,17
2020-02-18,65
2020-02-19,43
2020-02-20,58
2020-02-21,28
2020-02-22,53
2020-02-23,28
2020-02-24,30
2020-02-25,48
2020-02-26,49
2020-02-27,29
2020-02-28,32
2020-02-29,74
2020-03-01,26
2020-03-02,55
2020-03-03,79
2020-03-04,61
2020-03-05,26
2020-03-06,53
2020-03-07,19
2020-03-08,53
2020-03-09,46
2020-03-10,67
2020-03-11,54
2020-03-12,73
2020-03-13,71
2020-03-14,100
2020-03-15,73
2020-03-16,87
2020-03-17,69
2020-03-18,53
2020-03-19,56
2020-03-20,66
2020-03-21,51
2020-03-22,75
2020-03-23,51
2020-03-24,66
2020-03-25,40
2020-03-26,47
2020-03-27,73
2020-03-28,72
2020-03-29,61
2020-03-30,59
2020-03-31,65
2020-04-01,38
2020-04-02,69
2020-04-03,48
2020-04-04,66
2020-04-05,56
2020-04-06,31
2020-04-07,39
2020-04-08,51
2020-04-09,48
2020-04-10,24
2020-04-11,40
2020-04-12,48
2020-04-13,57
2020-04-14,29
2020-04-15,66
2020-04-16,56
2020-04-17,35
2020-04-18,74
2020-04-19,48
2020-04-20,26
2020-04-21,78
2020-04-22,43
2020-04-23,34
2020-04-24,57
2020-04-25,38
2020-04-26,68
2020-04-27,54
2020-04-28,29
2020-04-29,44
2020-04-30,53
2020-05-01,22
2020-05-02,57
2020-05-03,73
2020-05-04,38
2020-05-05,35
2020-05-06,35
2020-05-07,48
2020-05-08,56
2020-05-09,74
2020-05-10,56
2020-05-11,25
2020-05-12,22
2020-05-13,41
2020-05-14,27
2020-05-15,36
2020-05-16,35
2020-05-17,41
2020-05-18,35
2020-05-19,31
2020-05-20,36
2020-05-21,35
2020-05-22,41
2020-05-23,64
2020-05-24,36
2020-05-25,34
2020-05-26,35
2020-05-27,35
2020-05-28,50
2020-05-29,24
2020-05-30,40
2020-05-31,36
