date,/m/01c751,isPartial
2020-03-01,17,False
2020-03-02,31,False
2020-03-03,25,False
2020-03-04,0,False
2020-03-05,23,False
2020-03-06,24,False
2020-03-07,17,False
2020-03-08,24,False
2020-03-09,16,False
2020-03-10,30,False
2020-03-11,30,False
2020-03-12,23,False
2020-03-13,100,False
2020-03-14,57,False
2020-03-15,73,False
2020-03-16,41,False
2020-03-17,13,False
2020-03-18,28,False
2020-03-19,29,False
2020-03-20,66,False
2020-03-21,76,False
2020-03-22,68,False
2020-03-23,32,False
2020-03-24,63,False
2020-03-25,33,False
2020-03-26,61,False
2020-03-27,45,False
2020-03-28,29,False
2020-03-29,44,False
2020-03-30,32,False
2020-03-31,19,False
2020-04-01,13,False
2020-04-02,45,False
2020-04-03,0,False
2020-04-04,57,False
2020-04-05,16,False
2020-04-06,12,False
2020-04-07,26,False
2020-04-08,13,False
2020-04-09,14,False
2020-04-10,28,False
2020-04-11,15,False
2020-04-12,32,False
2020-04-13,14,False
2020-04-14,26,False
2020-04-15,14,False
2020-04-16,14,False
2020-04-17,41,False
2020-04-18,15,False
2020-04-19,30,False
2020-04-20,14,False
2020-04-21,21,False
2020-04-22,22,False
2020-04-23,0,False
2020-04-24,0,False
2020-04-25,29,False
2020-04-26,16,False
2020-04-27,13,False
2020-04-28,18,False
2020-04-29,25,False
2020-04-30,12,False
2020-05-01,27,False
2020-05-02,14,False
2020-05-03,14,False
2020-05-04,0,False
2020-05-05,22,False
2020-05-06,27,False
2020-05-07,14,False
2020-05-08,0,False
2020-05-09,14,False
2020-05-10,14,False
2020-05-11,13,False
2020-05-12,14,False
2020-05-13,28,False
2020-05-14,14,False
2020-05-15,22,False
2020-05-16,18,False
2020-05-17,0,False
2020-05-18,0,False
2020-05-19,0,False
2020-05-20,0,False
2020-05-21,0,False
2020-05-22,0,False
2020-05-23,0,False
2020-05-24,34,False
2020-05-25,0,False
2020-05-26,0,False
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,0,False
2020-06-03,13,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,28,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,16,False
2020-06-22,31,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,16,False
2020-06-26,0,False
2020-06-27,16,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,0,False
2020-07-01,0,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,16,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,18,False
2020-07-12,0,False
2020-07-13,0,False
2020-07-14,0,False
2020-07-15,0,False
2020-07-16,0,False
2020-07-17,0,False
2020-07-18,0,False
2020-07-19,0,False
2020-07-20,0,False
2020-07-21,0,False
2020-07-22,16,False
2020-07-23,0,False
2020-07-24,0,False
2020-07-25,0,False
2020-07-26,18,False
2020-07-27,0,False
2020-07-28,15,False
2020-07-29,16,False
2020-07-30,0,False
2020-07-31,0,False
2020-08-01,0,False
2020-08-02,0,False
2020-08-03,0,False
2020-08-04,0,False
2020-08-05,16,False
2020-08-06,16,False
2020-08-07,0,False
2020-08-08,17,False
2020-08-09,0,False
2020-08-10,15,False
2020-08-11,15,False
2020-08-12,14,False
2020-08-13,14,False
2020-08-14,0,False
2020-08-15,0,False
2020-08-16,16,False
2020-08-17,0,False
2020-08-18,15,False
2020-08-19,0,False
2020-08-20,16,False
2020-08-21,16,False
2020-08-22,0,False
2020-08-23,0,False
2020-08-24,0,False
2020-08-25,0,False
2020-08-26,0,False
2020-08-27,15,False
2020-08-28,0,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,0,False
2020-09-01,0,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,0,False
2020-09-05,0,False
2020-09-06,0,False
2020-09-07,0,False
2020-09-08,0,False
2020-09-09,0,False
2020-09-10,16,False
2020-09-11,0,False
2020-09-12,0,False
2020-09-13,0,False
2020-09-14,0,False
2020-09-15,0,False
2020-09-16,0,False
2020-09-17,0,False
2020-09-18,17,False
2020-09-19,0,False
2020-09-20,0,False
2020-09-21,0,False
2020-09-22,0,False
2020-09-23,0,False
2020-09-24,16,False
2020-09-25,18,False
2020-09-26,18,False
2020-09-27,0,False
2020-09-28,0,False
2020-09-29,0,False
2020-09-30,0,False
2020-10-01,0,False
2020-10-02,17,False
2020-10-03,18,False
2020-10-04,0,False
2020-10-05,0,False
2020-10-06,0,False
2020-10-07,0,False
2020-10-08,0,False
2020-10-09,18,False
2020-10-10,0,False
2020-10-11,0,False
2020-10-12,0,False
2020-10-13,0,False
2020-10-14,34,False
2020-10-15,18,False
2020-10-16,19,False
2020-10-17,19,False
