date,/m/0fd23
2020-02-01,25.0
2020-02-02,21.0
2020-02-03,36.0
2020-02-04,33.0
2020-02-05,30.0
2020-02-06,26.0
2020-02-07,28.0
2020-02-08,27.0
2020-02-09,31.0
2020-02-10,29.0
2020-02-11,30.0
2020-02-12,36.0
2020-02-13,30.0
2020-02-14,24.0
2020-02-15,43.0
2020-02-16,32.0
2020-02-17,25.0
2020-02-18,28.0
2020-02-19,38.0
2020-02-20,37.0
2020-02-21,42.0
2020-02-22,33.0
2020-02-23,41.0
2020-02-24,39.0
2020-02-25,30.0
2020-02-26,34.0
2020-02-27,31.0
2020-02-28,29.0
2020-02-29,34.0
2020-03-01,30.0
2020-03-02,25.0
2020-03-03,31.0
2020-03-04,30.0
2020-03-05,21.0
2020-03-06,23.0
2020-03-07,23.0
2020-03-08,29.0
2020-03-09,34.0
2020-03-10,25.0
2020-03-11,35.0
2020-03-12,28.0
2020-03-13,33.0
2020-03-14,36.0
2020-03-15,34.0
2020-03-16,32.0
2020-03-17,41.0
2020-03-18,39.0
2020-03-19,56.0
2020-03-20,44.0
2020-03-21,56.0
2020-03-22,54.0
2020-03-23,52.0
2020-03-24,45.0
2020-03-25,46.0
2020-03-26,46.0
2020-03-27,51.0
2020-03-28,69.0
2020-03-29,72.0
2020-03-30,47.0
2020-03-31,57.0
2020-04-01,26.0
2020-04-02,40.0
2020-04-03,43.0
2020-04-04,53.0
2020-04-05,74.0
2020-04-06,49.0
2020-04-07,61.0
2020-04-08,59.0
2020-04-09,54.0
2020-04-10,53.0
2020-04-11,80.0
2020-04-12,87.0
2020-04-13,65.0
2020-04-14,46.0
2020-04-15,58.0
2020-04-16,57.0
2020-04-17,56.0
2020-04-18,46.0
2020-04-19,48.0
2020-04-20,35.0
2020-04-21,39.0
2020-04-22,50.0
2020-04-23,49.0
2020-04-24,49.0
2020-04-25,53.0
2020-04-26,48.0
2020-04-27,39.0
2020-04-28,32.0
2020-04-29,35.0
2020-04-30,34.0
2020-05-01,34.0
2020-05-02,39.0
2020-05-03,40.0
2020-05-04,38.0
2020-05-05,40.0
2020-05-06,40.0
2020-05-07,46.0
2020-05-08,54.0
2020-05-09,56.0
2020-05-10,37.0
2020-05-11,35.0
2020-05-12,34.0
2020-05-13,38.0
2020-05-14,30.0
2020-05-15,39.0
2020-05-16,63.0
2020-05-17,83.0
2020-05-18,53.0
2020-05-19,65.0
2020-05-20,78.0
2020-05-21,73.0
2020-05-22,78.0
2020-05-23,59.0
2020-05-24,68.0
2020-05-25,58.0
2020-05-26,48.0
2020-05-27,59.0
2020-05-28,75.0
2020-05-29,68.0
2020-05-30,91.0
2020-05-31,100.0
2020-06-01,98.0
2020-06-02,79.0
2020-06-03,66.0
2020-06-04,39.0
2020-06-05,39.0
2020-06-06,33.0
2020-06-07,34.0
2020-06-08,43.0
2020-06-09,36.0
2020-06-10,33.0
2020-06-11,34.0
2020-06-12,36.0
2020-06-13,32.0
2020-06-14,34.0
2020-06-15,27.0
2020-06-16,34.0
2020-06-17,23.0
2020-06-18,31.0
2020-06-19,32.0
2020-06-20,31.0
2020-06-21,35.0
2020-06-22,37.0
2020-06-23,57.0
2020-06-24,39.0
2020-06-25,28.0
2020-06-26,39.0
2020-06-27,43.0
2020-06-28,33.0
2020-06-29,38.0
2020-06-30,31.0
2020-07-01,34.0
2020-07-02,30.0
2020-07-03,28.0
2020-07-04,37.0
2020-07-05,47.0
2020-07-06,30.0
2020-07-07,31.0
2020-07-08,34.0
2020-07-09,34.0
2020-07-10,56.0
2020-07-11,39.0
2020-07-12,50.0
2020-07-13,40.0
2020-07-14,40.0
2020-07-15,36.0
2020-07-16,36.0
2020-07-17,33.0
2020-07-18,29.0
2020-07-19,33.0
2020-07-20,39.0
2020-07-21,33.0
2020-07-22,34.0
2020-07-23,30.0
2020-07-24,38.0
2020-07-25,37.0
2020-07-26,38.0
2020-07-27,40.0
2020-07-28,43.0
2020-07-29,45.0
2020-07-30,32.0
2020-07-31,34.0
2020-08-01,33.0
2020-08-02,35.0
2020-08-03,36.0
2020-08-04,28.0
2020-08-05,29.0
2020-08-06,32.0
2020-08-07,35.0
2020-08-08,31.0
2020-08-09,38.0
2020-08-10,32.0
2020-08-11,33.0
2020-08-12,29.0
2020-08-13,33.0
