date,/m/03ttfc
2020-02-01,67
2020-02-02,72
2020-02-03,49
2020-02-04,59
2020-02-05,37
2020-02-06,51
2020-02-07,56
2020-02-08,49
2020-02-09,46
2020-02-10,35
2020-02-11,66
2020-02-12,55
2020-02-13,58
2020-02-14,33
2020-02-15,52
2020-02-16,47
2020-02-17,62
2020-02-18,58
2020-02-19,60
2020-02-20,58
2020-02-21,48
2020-02-22,49
2020-02-23,47
2020-02-24,49
2020-02-25,49
2020-02-26,56
2020-02-27,49
2020-02-28,66
2020-02-29,34
2020-03-01,69
2020-03-02,64
2020-03-03,43
2020-03-04,70
2020-03-05,57
2020-03-06,48
2020-03-07,45
2020-03-08,60
2020-03-09,61
2020-03-10,74
2020-03-11,66
2020-03-12,67
2020-03-13,60
2020-03-14,59
2020-03-15,87
2020-03-16,72
2020-03-17,87
2020-03-18,56
2020-03-19,81
2020-03-20,85
2020-03-21,77
2020-03-22,72
2020-03-23,71
2020-03-24,88
2020-03-25,75
2020-03-26,63
2020-03-27,100
2020-03-28,63
2020-03-29,80
2020-03-30,63
2020-03-31,52
2020-04-01,43
2020-04-02,78
2020-04-03,80
2020-04-04,60
2020-04-05,53
2020-04-06,51
2020-04-07,56
2020-04-08,58
2020-04-09,49
2020-04-10,62
2020-04-11,56
2020-04-12,59
2020-04-13,70
2020-04-14,54
2020-04-15,58
2020-04-16,59
2020-04-17,61
2020-04-18,57
2020-04-19,64
2020-04-20,55
2020-04-21,46
2020-04-22,54
2020-04-23,62
2020-04-24,36
2020-04-25,55
2020-04-26,51
2020-04-27,68
2020-04-28,59
2020-04-29,63
2020-04-30,69
2020-05-01,70
2020-05-02,65
2020-05-03,57
2020-05-04,64
2020-05-05,55
2020-05-06,45
2020-05-07,59
2020-05-08,63
2020-05-09,63
2020-05-10,80
2020-05-11,45
2020-05-12,57
2020-05-13,50
2020-05-14,49
2020-05-15,53
2020-05-16,40
2020-05-17,81
2020-05-18,53
2020-05-19,55
2020-05-20,45
2020-05-21,57
2020-05-22,57
2020-05-23,55
2020-05-24,58
2020-05-25,63
2020-05-26,43
2020-05-27,44
2020-05-28,52
2020-05-29,41
2020-05-30,45
2020-05-31,48
