date,/m/01ppsd
2020-02-01,24
2020-02-02,43
2020-02-03,46
2020-02-04,45
2020-02-05,53
2020-02-06,31
2020-02-07,42
2020-02-08,46
2020-02-09,47
2020-02-10,41
2020-02-11,42
2020-02-12,42
2020-02-13,36
2020-02-14,45
2020-02-15,49
2020-02-16,48
2020-02-17,29
2020-02-18,67
2020-02-19,48
2020-02-20,66
2020-02-21,24
2020-02-22,71
2020-02-23,23
2020-02-24,38
2020-02-25,51
2020-02-26,45
2020-02-27,40
2020-02-28,36
2020-02-29,84
2020-03-01,29
2020-03-02,56
2020-03-03,86
2020-03-04,60
2020-03-05,38
2020-03-06,62
2020-03-07,42
2020-03-08,65
2020-03-09,55
2020-03-10,71
2020-03-11,57
2020-03-12,72
2020-03-13,88
2020-03-14,100
2020-03-15,63
2020-03-16,92
2020-03-17,77
2020-03-18,60
2020-03-19,53
2020-03-20,79
2020-03-21,59
2020-03-22,81
2020-03-23,58
2020-03-24,75
2020-03-25,50
2020-03-26,63
2020-03-27,73
2020-03-28,75
2020-03-29,47
2020-03-30,73
2020-03-31,73
2020-04-01,47
2020-04-02,72
2020-04-03,57
2020-04-04,68
2020-04-05,60
2020-04-06,31
2020-04-07,40
2020-04-08,55
2020-04-09,53
2020-04-10,24
2020-04-11,52
2020-04-12,54
2020-04-13,56
2020-04-14,38
2020-04-15,68
2020-04-16,50
2020-04-17,32
2020-04-18,72
2020-04-19,50
2020-04-20,33
2020-04-21,85
2020-04-22,55
2020-04-23,36
2020-04-24,61
2020-04-25,44
2020-04-26,66
2020-04-27,57
2020-04-28,53
2020-04-29,51
2020-04-30,57
2020-05-01,30
2020-05-02,62
2020-05-03,83
2020-05-04,49
2020-05-05,40
2020-05-06,59
2020-05-07,55
2020-05-08,56
2020-05-09,61
2020-05-10,50
2020-05-11,41
2020-05-12,33
2020-05-13,47
2020-05-14,34
2020-05-15,39
2020-05-16,39
2020-05-17,50
2020-05-18,43
2020-05-19,32
2020-05-20,47
2020-05-21,36
2020-05-22,44
2020-05-23,56
2020-05-24,47
2020-05-25,35
2020-05-26,29
2020-05-27,51
2020-05-28,51
2020-05-29,24
2020-05-30,65
2020-05-31,46
