date,/m/02p0tk3
2020-02-01,31
2020-02-02,45
2020-02-03,51
2020-02-04,54
2020-02-05,39
2020-02-06,44
2020-02-07,31
2020-02-08,45
2020-02-09,18
2020-02-10,37
2020-02-11,63
2020-02-12,38
2020-02-13,39
2020-02-14,37
2020-02-15,26
2020-02-16,57
2020-02-17,37
2020-02-18,69
2020-02-19,50
2020-02-20,26
2020-02-21,27
2020-02-22,45
2020-02-23,49
2020-02-24,46
2020-02-25,40
2020-02-26,41
2020-02-27,54
2020-02-28,39
2020-02-29,49
2020-03-01,53
2020-03-02,45
2020-03-03,63
2020-03-04,65
2020-03-05,69
2020-03-06,51
2020-03-07,48
2020-03-08,41
2020-03-09,36
2020-03-10,63
2020-03-11,44
2020-03-12,64
2020-03-13,67
2020-03-14,78
2020-03-15,94
2020-03-16,65
2020-03-17,82
2020-03-18,82
2020-03-19,99
2020-03-20,64
2020-03-21,52
2020-03-22,98
2020-03-23,99
2020-03-24,70
2020-03-25,52
2020-03-26,37
2020-03-27,50
2020-03-28,46
2020-03-29,46
2020-03-30,74
2020-03-31,100
2020-04-01,82
2020-04-02,60
2020-04-03,75
2020-04-04,51
2020-04-05,66
2020-04-06,63
2020-04-07,50
2020-04-08,63
2020-04-09,40
2020-04-10,32
2020-04-11,60
2020-04-12,69
2020-04-13,85
2020-04-14,56
2020-04-15,58
2020-04-16,60
2020-04-17,34
2020-04-18,59
2020-04-19,49
2020-04-20,43
2020-04-21,69
2020-04-22,62
2020-04-23,49
2020-04-24,55
2020-04-25,52
2020-04-26,36
2020-04-27,25
2020-04-28,44
2020-04-29,47
2020-04-30,40
2020-05-01,48
2020-05-02,55
2020-05-03,49
2020-05-04,55
2020-05-05,37
2020-05-06,60
2020-05-07,40
2020-05-08,52
2020-05-09,53
2020-05-10,38
2020-05-11,41
2020-05-12,32
2020-05-13,43
2020-05-14,27
2020-05-15,46
2020-05-16,42
2020-05-17,39
2020-05-18,64
2020-05-19,51
2020-05-20,29
2020-05-21,76
2020-05-22,30
2020-05-23,52
2020-05-24,40
2020-05-25,67
2020-05-26,31
2020-05-27,53
2020-05-28,61
2020-05-29,64
2020-05-30,38
2020-05-31,42
