date,/m/0j5fv
2020-02-01,17
2020-02-02,47
2020-02-03,21
2020-02-04,16
2020-02-05,48
2020-02-06,33
2020-02-07,0
2020-02-08,34
2020-02-09,60
2020-02-10,30
2020-02-11,31
2020-02-12,31
2020-02-13,32
2020-02-14,25
2020-02-15,35
2020-02-16,47
2020-02-17,38
2020-02-18,46
2020-02-19,54
2020-02-20,40
2020-02-21,50
2020-02-22,51
2020-02-23,24
2020-02-24,45
2020-02-25,30
2020-02-26,22
2020-02-27,29
2020-02-28,48
2020-02-29,24
2020-03-01,39
2020-03-02,22
2020-03-03,46
2020-03-04,31
2020-03-05,31
2020-03-06,0
2020-03-07,17
2020-03-08,39
2020-03-09,89
2020-03-10,15
2020-03-11,52
2020-03-12,73
2020-03-13,47
2020-03-14,64
2020-03-15,64
2020-03-16,63
2020-03-17,100
2020-03-18,50
2020-03-19,57
2020-03-20,61
2020-03-21,46
2020-03-22,39
2020-03-23,38
2020-03-24,55
2020-03-25,43
2020-03-26,56
2020-03-27,46
2020-03-28,74
2020-03-29,64
2020-03-30,39
2020-03-31,19
2020-04-01,47
2020-04-02,26
2020-04-03,72
2020-04-04,62
2020-04-05,65
2020-04-06,53
2020-04-07,21
2020-04-08,35
2020-04-09,57
2020-04-10,57
2020-04-11,31
2020-04-12,54
2020-04-13,27
2020-04-14,26
2020-04-15,14
2020-04-16,14
2020-04-17,28
2020-04-18,41
2020-04-19,42
2020-04-20,33
2020-04-21,54
2020-04-22,55
2020-04-23,34
2020-04-24,34
2020-04-25,45
2020-04-26,32
2020-04-27,28
2020-04-28,25
2020-04-29,32
2020-04-30,44
2020-05-01,26
2020-05-02,61
2020-05-03,58
2020-05-04,37
2020-05-05,19
2020-05-06,47
2020-05-07,28
2020-05-08,21
2020-05-09,23
2020-05-10,28
2020-05-11,31
2020-05-12,54
2020-05-13,40
2020-05-14,40
2020-05-15,42
2020-05-16,23
2020-05-17,64
2020-05-18,34
2020-05-19,21
2020-05-20,28
2020-05-21,39
2020-05-22,13
2020-05-23,21
2020-05-24,36
2020-05-25,40
2020-05-26,55
2020-05-27,27
2020-05-28,27
2020-05-29,35
2020-05-30,47
2020-05-31,65
2020-06-01,29
2020-06-02,33
2020-06-03,12
2020-06-04,52
2020-06-05,18
2020-06-06,41
2020-06-07,28
2020-06-08,12
2020-06-09,24
2020-06-10,13
2020-06-11,20
2020-06-12,54
2020-06-13,23
2020-06-14,23
2020-06-15,13
2020-06-16,13
2020-06-17,51
2020-06-18,40
2020-06-19,42
2020-06-20,16
2020-06-21,63
2020-06-22,14
2020-06-23,29
2020-06-24,22
2020-06-25,37
2020-06-26,14
2020-06-27,47
2020-06-28,58
2020-06-29,33
2020-06-30,28
2020-07-01,33
2020-07-02,14
2020-07-03,30
2020-07-04,72
2020-07-05,45
2020-07-06,28
2020-07-07,36
2020-07-08,42
2020-07-09,38
2020-07-10,61
2020-07-11,27
2020-07-12,53
2020-07-13,23
2020-07-14,14
2020-07-15,37
2020-07-16,0
2020-07-17,16
2020-07-18,28
2020-07-19,27
2020-07-20,47
2020-07-21,35
2020-07-22,16
2020-07-23,16
2020-07-24,31
2020-07-25,33
2020-07-26,17
2020-07-27,29
2020-07-28,30
2020-07-29,46
2020-07-30,16
2020-07-31,32
2020-08-01,25
2020-08-02,32
2020-08-03,21
2020-08-04,29
2020-08-05,37
2020-08-06,45
2020-08-07,23
2020-08-08,24
2020-08-09,16
2020-08-10,14
2020-08-11,28
2020-08-12,34
2020-08-13,14
2020-08-14,29
2020-08-15,22
2020-08-16,30
2020-08-17,34
2020-08-18,21
2020-08-19,49
2020-08-20,29
2020-08-21,36
2020-08-22,56
2020-08-23,29
2020-08-24,34
2020-08-25,42
2020-08-26,50
2020-08-27,15
2020-08-28,44
2020-08-29,32
2020-08-30,45
2020-08-31,55
2020-09-01,36
2020-09-02,15
2020-09-03,15
2020-09-04,23
2020-09-05,31
2020-09-06,48
2020-09-07,37
2020-09-08,51
2020-09-09,36
2020-09-10,46
2020-09-11,39
2020-09-12,17
2020-09-13,16
2020-09-14,37
2020-09-15,52
2020-09-16,15
2020-09-17,60
2020-09-18,23
2020-09-19,24
2020-09-20,24
2020-09-21,36
2020-09-22,14
2020-09-23,28
2020-09-24,22
2020-09-25,23
2020-09-26,0
2020-09-27,31
2020-09-28,57
2020-09-29,23
