date,/m/07gr_
2020-02-01,57
2020-02-02,52
2020-02-03,50
2020-02-04,52
2020-02-05,39
2020-02-06,37
2020-02-07,50
2020-02-08,43
2020-02-09,41
2020-02-10,54
2020-02-11,31
2020-02-12,29
2020-02-13,54
2020-02-14,45
2020-02-15,51
2020-02-16,62
2020-02-17,42
2020-02-18,45
2020-02-19,41
2020-02-20,45
2020-02-21,39
2020-02-22,49
2020-02-23,57
2020-02-24,32
2020-02-25,43
2020-02-26,44
2020-02-27,48
2020-02-28,45
2020-02-29,57
2020-03-01,39
2020-03-02,42
2020-03-03,48
2020-03-04,46
2020-03-05,72
2020-03-06,41
2020-03-07,53
2020-03-08,57
2020-03-09,54
2020-03-10,62
2020-03-11,60
2020-03-12,74
2020-03-13,94
2020-03-14,82
2020-03-15,100
2020-03-16,83
2020-03-17,81
2020-03-18,62
2020-03-19,80
2020-03-20,64
2020-03-21,86
2020-03-22,79
2020-03-23,68
2020-03-24,58
2020-03-25,66
2020-03-26,50
2020-03-27,57
2020-03-28,54
2020-03-29,71
2020-03-30,62
2020-03-31,56
2020-04-01,42
2020-04-02,61
2020-04-03,52
2020-04-04,54
2020-04-05,56
2020-04-06,46
2020-04-07,52
2020-04-08,52
2020-04-09,40
2020-04-10,41
2020-04-11,46
2020-04-12,58
2020-04-13,56
2020-04-14,35
2020-04-15,51
2020-04-16,44
2020-04-17,38
2020-04-18,54
2020-04-19,45
2020-04-20,41
2020-04-21,42
2020-04-22,38
2020-04-23,41
2020-04-24,29
2020-04-25,40
2020-04-26,35
2020-04-27,37
2020-04-28,37
2020-04-29,51
2020-04-30,39
2020-05-01,40
2020-05-02,55
2020-05-03,37
2020-05-04,43
2020-05-05,35
2020-05-06,38
2020-05-07,32
2020-05-08,31
2020-05-09,45
2020-05-10,40
2020-05-11,48
2020-05-12,31
2020-05-13,38
2020-05-14,45
2020-05-15,24
2020-05-16,49
2020-05-17,51
2020-05-18,30
2020-05-19,30
2020-05-20,39
2020-05-21,72
2020-05-22,45
2020-05-23,51
2020-05-24,54
2020-05-25,22
2020-05-26,30
2020-05-27,37
2020-05-28,44
2020-05-29,35
2020-05-30,41
2020-05-31,56
