date,/m/0cnxs6x
2020-02-01,82
2020-02-02,58
2020-02-03,74
2020-02-04,100
2020-02-05,68
2020-02-06,78
2020-02-07,61
2020-02-08,99
2020-02-09,63
2020-02-10,56
2020-02-11,73
2020-02-12,45
2020-02-13,80
2020-02-14,61
2020-02-15,64
2020-02-16,74
2020-02-17,73
2020-02-18,63
2020-02-19,53
2020-02-20,76
2020-02-21,73
2020-02-22,61
2020-02-23,49
2020-02-24,54
2020-02-25,78
2020-02-26,58
2020-02-27,51
2020-02-28,58
2020-02-29,73
2020-03-01,67
2020-03-02,57
2020-03-03,65
2020-03-04,75
2020-03-05,57
2020-03-06,64
2020-03-07,63
2020-03-08,64
2020-03-09,69
2020-03-10,49
2020-03-11,64
2020-03-12,38
2020-03-13,36
2020-03-14,66
2020-03-15,65
2020-03-16,26
2020-03-17,43
2020-03-18,40
2020-03-19,53
2020-03-20,49
2020-03-21,60
2020-03-22,57
2020-03-23,47
2020-03-24,46
2020-03-25,52
2020-03-26,48
2020-03-27,43
2020-03-28,76
2020-03-29,55
2020-03-30,65
2020-03-31,66
2020-04-01,56
2020-04-02,61
2020-04-03,54
2020-04-04,51
2020-04-05,56
2020-04-06,44
2020-04-07,53
2020-04-08,71
2020-04-09,43
2020-04-10,53
2020-04-11,60
2020-04-12,63
2020-04-13,66
2020-04-14,68
2020-04-15,47
2020-04-16,58
2020-04-17,54
2020-04-18,53
2020-04-19,65
2020-04-20,85
2020-04-21,50
2020-04-22,66
2020-04-23,56
2020-04-24,43
2020-04-25,54
2020-04-26,65
2020-04-27,63
2020-04-28,67
2020-04-29,46
2020-04-30,65
2020-05-01,82
2020-05-02,92
2020-05-03,81
2020-05-04,47
2020-05-05,55
2020-05-06,66
2020-05-07,74
2020-05-08,60
2020-05-09,36
2020-05-10,53
2020-05-11,59
2020-05-12,56
2020-05-13,55
2020-05-14,77
2020-05-15,67
2020-05-16,62
2020-05-17,71
2020-05-18,62
2020-05-19,66
2020-05-20,69
2020-05-21,52
2020-05-22,60
2020-05-23,51
2020-05-24,65
2020-05-25,92
2020-05-26,53
2020-05-27,56
2020-05-28,65
2020-05-29,70
2020-05-30,74
2020-05-31,69
