date,/m/05sfr2,isPartial
2020-03-01,0,False
2020-03-02,34,False
2020-03-03,0,False
2020-03-04,0,False
2020-03-05,0,False
2020-03-06,0,False
2020-03-07,0,False
2020-03-08,0,False
2020-03-09,0,False
2020-03-10,0,False
2020-03-11,0,False
2020-03-12,0,False
2020-03-13,0,False
2020-03-14,0,False
2020-03-15,0,False
2020-03-16,0,False
2020-03-17,0,False
2020-03-18,0,False
2020-03-19,0,False
2020-03-20,0,False
2020-03-21,79,False
2020-03-22,76,False
2020-03-23,61,False
2020-03-24,50,False
2020-03-25,66,False
2020-03-26,100,False
2020-03-27,33,False
2020-03-28,38,False
2020-03-29,73,False
2020-03-30,32,False
2020-03-31,97,False
2020-04-01,0,False
2020-04-02,33,False
2020-04-03,0,False
2020-04-04,39,False
2020-04-05,38,False
2020-04-06,0,False
2020-04-07,0,False
2020-04-08,33,False
2020-04-09,0,False
2020-04-10,0,False
2020-04-11,0,False
2020-04-12,0,False
2020-04-13,35,False
2020-04-14,34,False
2020-04-15,0,False
2020-04-16,34,False
2020-04-17,0,False
2020-04-18,37,False
2020-04-19,0,False
2020-04-20,0,False
2020-04-21,30,False
2020-04-22,32,False
2020-04-23,0,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,31,False
2020-04-28,31,False
2020-04-29,33,False
2020-04-30,0,False
2020-05-01,0,False
2020-05-02,0,False
2020-05-03,0,False
2020-05-04,0,False
2020-05-05,30,False
2020-05-06,0,False
2020-05-07,0,False
2020-05-08,0,False
2020-05-09,0,False
2020-05-10,0,False
2020-05-11,0,False
2020-05-12,0,False
2020-05-13,0,False
2020-05-14,0,False
2020-05-15,34,False
2020-05-16,40,False
2020-05-17,0,False
2020-05-18,0,False
2020-05-19,0,False
2020-05-20,0,False
2020-05-21,0,False
2020-05-22,0,False
2020-05-23,0,False
2020-05-24,42,False
2020-05-25,0,False
2020-05-26,35,False
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,35,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,34,False
2020-06-02,0,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,38,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,41,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,0,False
2020-06-22,40,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,0,False
2020-07-01,0,False
2020-07-02,40,False
2020-07-03,43,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,0,False
2020-07-12,0,False
2020-07-13,0,False
2020-07-14,50,False
2020-07-15,41,False
2020-07-16,44,False
2020-07-17,0,False
2020-07-18,0,False
2020-07-19,0,False
2020-07-20,0,False
2020-07-21,0,False
2020-07-22,43,False
2020-07-23,0,False
2020-07-24,0,False
2020-07-25,0,False
2020-07-26,0,False
2020-07-27,0,False
2020-07-28,0,False
2020-07-29,0,False
2020-07-30,0,False
2020-07-31,0,False
2020-08-01,0,False
2020-08-02,0,False
2020-08-03,0,False
2020-08-04,44,False
2020-08-05,0,False
2020-08-06,0,False
2020-08-07,46,False
2020-08-08,0,False
2020-08-09,0,False
2020-08-10,43,False
2020-08-11,0,False
2020-08-12,0,False
2020-08-13,44,False
2020-08-14,0,False
2020-08-15,0,False
2020-08-16,0,False
2020-08-17,0,False
2020-08-18,0,False
2020-08-19,0,False
2020-08-20,0,False
2020-08-21,45,False
2020-08-22,0,False
2020-08-23,0,False
2020-08-24,0,False
2020-08-25,0,False
2020-08-26,0,False
2020-08-27,0,False
2020-08-28,42,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,0,False
2020-09-01,42,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,0,False
2020-09-05,0,False
2020-09-06,0,False
2020-09-07,0,False
2020-09-08,0,False
2020-09-09,0,False
2020-09-10,42,False
2020-09-11,0,False
2020-09-12,0,False
2020-09-13,47,False
2020-09-14,83,False
2020-09-15,42,False
2020-09-16,0,False
2020-09-17,43,False
2020-09-18,43,False
2020-09-19,0,False
2020-09-20,0,False
2020-09-21,0,False
2020-09-22,0,False
2020-09-23,41,False
2020-09-24,41,False
2020-09-25,0,False
2020-09-26,47,False
2020-09-27,45,False
2020-09-28,0,False
2020-09-29,0,False
2020-09-30,0,False
2020-10-01,0,False
2020-10-02,43,False
2020-10-03,0,False
2020-10-04,0,False
2020-10-05,0,False
2020-10-06,0,False
2020-10-07,0,False
2020-10-08,0,False
2020-10-09,0,False
2020-10-10,98,False
2020-10-11,46,False
2020-10-12,45,False
2020-10-13,44,False
2020-10-14,43,False
2020-10-15,0,False
2020-10-16,0,False
2020-10-17,0,False
