date,/m/02p0tk3
2020-02-01,18
2020-02-02,34
2020-02-03,38
2020-02-04,54
2020-02-05,35
2020-02-06,53
2020-02-07,18
2020-02-08,36
2020-02-09,20
2020-02-10,28
2020-02-11,42
2020-02-12,29
2020-02-13,43
2020-02-14,27
2020-02-15,18
2020-02-16,54
2020-02-17,29
2020-02-18,70
2020-02-19,49
2020-02-20,25
2020-02-21,27
2020-02-22,50
2020-02-23,26
2020-02-24,45
2020-02-25,37
2020-02-26,35
2020-02-27,55
2020-02-28,30
2020-02-29,48
2020-03-01,46
2020-03-02,40
2020-03-03,50
2020-03-04,61
2020-03-05,62
2020-03-06,50
2020-03-07,45
2020-03-08,38
2020-03-09,36
2020-03-10,63
2020-03-11,51
2020-03-12,62
2020-03-13,51
2020-03-14,64
2020-03-15,82
2020-03-16,56
2020-03-17,50
2020-03-18,62
2020-03-19,91
2020-03-20,69
2020-03-21,44
2020-03-22,100
2020-03-23,83
2020-03-24,67
2020-03-25,53
2020-03-26,19
2020-03-27,45
2020-03-28,44
2020-03-29,31
2020-03-30,62
2020-03-31,82
2020-04-01,90
2020-04-02,38
2020-04-03,80
2020-04-04,54
2020-04-05,66
2020-04-06,65
2020-04-07,37
2020-04-08,56
2020-04-09,34
2020-04-10,31
2020-04-11,50
2020-04-12,62
2020-04-13,68
2020-04-14,42
2020-04-15,52
2020-04-16,34
2020-04-17,45
2020-04-18,55
2020-04-19,41
2020-04-20,25
2020-04-21,55
2020-04-22,33
2020-04-23,33
2020-04-24,40
2020-04-25,44
2020-04-26,30
2020-04-27,25
2020-04-28,44
2020-04-29,45
2020-04-30,40
2020-05-01,39
2020-05-02,47
2020-05-03,46
2020-05-04,40
2020-05-05,43
2020-05-06,51
2020-05-07,34
2020-05-08,49
2020-05-09,50
2020-05-10,38
2020-05-11,37
2020-05-12,35
2020-05-13,39
2020-05-14,22
2020-05-15,30
2020-05-16,42
2020-05-17,43
2020-05-18,63
2020-05-19,52
2020-05-20,27
2020-05-21,63
2020-05-22,21
2020-05-23,34
2020-05-24,19
2020-05-25,57
2020-05-26,26
2020-05-27,48
2020-05-28,51
2020-05-29,53
2020-05-30,33
2020-05-31,47
