date,/m/0cycc
2020-02-01,14
2020-02-02,15
2020-02-03,27
2020-02-04,24
2020-02-05,31
2020-02-06,21
2020-02-07,20
2020-02-08,19
2020-02-09,13
2020-02-10,21
2020-02-11,23
2020-02-12,18
2020-02-13,21
2020-02-14,15
2020-02-15,14
2020-02-16,9
2020-02-17,17
2020-02-18,10
2020-02-19,25
2020-02-20,23
2020-02-21,13
2020-02-22,25
2020-02-23,22
2020-02-24,36
2020-02-25,49
2020-02-26,50
2020-02-27,43
2020-02-28,37
2020-02-29,33
2020-03-01,64
2020-03-02,53
2020-03-03,49
2020-03-04,43
2020-03-05,48
2020-03-06,47
2020-03-07,30
2020-03-08,39
2020-03-09,48
2020-03-10,55
2020-03-11,55
2020-03-12,70
2020-03-13,78
2020-03-14,66
2020-03-15,100
2020-03-16,66
2020-03-17,52
2020-03-18,49
2020-03-19,67
2020-03-20,69
2020-03-21,73
2020-03-22,52
2020-03-23,38
2020-03-24,26
2020-03-25,36
2020-03-26,39
2020-03-27,35
2020-03-28,38
2020-03-29,38
2020-03-30,39
2020-03-31,28
2020-04-01,25
2020-04-02,38
2020-04-03,41
2020-04-04,33
2020-04-05,25
2020-04-06,23
2020-04-07,23
2020-04-08,18
2020-04-09,24
2020-04-10,30
2020-04-11,38
2020-04-12,41
2020-04-13,42
2020-04-14,17
2020-04-15,14
2020-04-16,13
2020-04-17,15
2020-04-18,13
2020-04-19,19
2020-04-20,17
2020-04-21,15
2020-04-22,13
2020-04-23,14
2020-04-24,17
2020-04-25,23
2020-04-26,17
2020-04-27,15
2020-04-28,30
2020-04-29,11
2020-04-30,12
2020-05-01,19
2020-05-02,18
2020-05-03,13
2020-05-04,9
2020-05-05,13
2020-05-06,11
2020-05-07,9
2020-05-08,9
2020-05-09,18
2020-05-10,18
2020-05-11,21
2020-05-12,20
2020-05-13,10
2020-05-14,10
2020-05-15,7
2020-05-16,17
2020-05-17,8
2020-05-18,19
2020-05-19,8
2020-05-20,6
2020-05-21,5
2020-05-22,11
2020-05-23,8
2020-05-24,8
2020-05-25,10
2020-05-26,6
2020-05-27,9
2020-05-28,9
2020-05-29,11
2020-05-30,7
2020-05-31,8
2020-06-01,11
2020-06-02,7
2020-06-03,6
2020-06-04,9
2020-06-05,3
2020-06-06,10
2020-06-07,6
2020-06-08,5
2020-06-09,4
2020-06-10,4
2020-06-11,4
2020-06-12,7
2020-06-13,8
2020-06-14,3
2020-06-15,7
2020-06-16,7
2020-06-17,4
2020-06-18,5
2020-06-19,3
2020-06-20,4
2020-06-21,5
2020-06-22,6
2020-06-23,3
2020-06-24,5
2020-06-25,3
2020-06-26,3
2020-06-27,6
2020-06-28,3
2020-06-29,12
2020-06-30,4
2020-07-01,8
2020-07-02,6
2020-07-03,8
2020-07-04,7
2020-07-05,5
2020-07-06,5
2020-07-07,4
2020-07-08,6
2020-07-09,10
2020-07-10,3
2020-07-11,5
2020-07-12,9
2020-07-13,11
2020-07-14,5
2020-07-15,3
2020-07-16,8
2020-07-17,5
2020-07-18,8
2020-07-19,12
2020-07-20,9
2020-07-21,9
2020-07-22,3
2020-07-23,5
2020-07-24,8
2020-07-25,14
2020-07-26,4
2020-07-27,12
2020-07-28,10
2020-07-29,19
2020-07-30,5
2020-07-31,12
2020-08-01,11
2020-08-02,7
2020-08-03,4
2020-08-04,7
2020-08-05,7
2020-08-06,4
2020-08-07,3
2020-08-08,4
2020-08-09,9
2020-08-10,8
2020-08-11,14
2020-08-12,4
2020-08-13,8
2020-08-14,8
2020-08-15,3
2020-08-16,6
2020-08-17,10
2020-08-18,4
2020-08-19,5
2020-08-20,6
2020-08-21,8
2020-08-22,6
2020-08-23,6
2020-08-24,7
2020-08-25,6
2020-08-26,7
2020-08-27,6
2020-08-28,6
2020-08-29,8
2020-08-30,10
2020-08-31,7
2020-09-01,6
2020-09-02,8
2020-09-03,5
2020-09-04,10
2020-09-05,3
2020-09-06,5
2020-09-07,10
2020-09-08,5
2020-09-09,9
2020-09-10,9
2020-09-11,10
2020-09-12,8
2020-09-13,12
2020-09-14,9
2020-09-15,8
2020-09-16,4
2020-09-17,8
2020-09-18,12
2020-09-19,7
2020-09-20,10
2020-09-21,11
2020-09-22,15
2020-09-23,6
2020-09-24,6
2020-09-25,8
2020-09-26,7
2020-09-27,7
2020-09-28,13
2020-09-29,5
