date,/m/03ttfc
2020-02-01,51
2020-02-02,48
2020-02-03,50
2020-02-04,54
2020-02-05,49
2020-02-06,52
2020-02-07,35
2020-02-08,36
2020-02-09,40
2020-02-10,42
2020-02-11,44
2020-02-12,47
2020-02-13,55
2020-02-14,39
2020-02-15,42
2020-02-16,59
2020-02-17,58
2020-02-18,30
2020-02-19,49
2020-02-20,59
2020-02-21,39
2020-02-22,42
2020-02-23,58
2020-02-24,39
2020-02-25,49
2020-02-26,49
2020-02-27,50
2020-02-28,49
2020-02-29,46
2020-03-01,63
2020-03-02,60
2020-03-03,40
2020-03-04,74
2020-03-05,43
2020-03-06,44
2020-03-07,43
2020-03-08,46
2020-03-09,51
2020-03-10,41
2020-03-11,54
2020-03-12,54
2020-03-13,61
2020-03-14,67
2020-03-15,95
2020-03-16,58
2020-03-17,64
2020-03-18,56
2020-03-19,66
2020-03-20,75
2020-03-21,77
2020-03-22,77
2020-03-23,75
2020-03-24,64
2020-03-25,67
2020-03-26,54
2020-03-27,100
2020-03-28,66
2020-03-29,74
2020-03-30,57
2020-03-31,49
2020-04-01,55
2020-04-02,67
2020-04-03,53
2020-04-04,55
2020-04-05,55
2020-04-06,64
2020-04-07,48
2020-04-08,56
2020-04-09,51
2020-04-10,63
2020-04-11,62
2020-04-12,80
2020-04-13,74
2020-04-14,47
2020-04-15,45
2020-04-16,63
2020-04-17,69
2020-04-18,55
2020-04-19,57
2020-04-20,46
2020-04-21,62
2020-04-22,47
2020-04-23,47
2020-04-24,30
2020-04-25,49
2020-04-26,55
2020-04-27,53
2020-04-28,58
2020-04-29,51
2020-04-30,40
2020-05-01,60
2020-05-02,52
2020-05-03,43
2020-05-04,41
2020-05-05,48
2020-05-06,48
2020-05-07,40
2020-05-08,43
2020-05-09,53
2020-05-10,45
2020-05-11,47
2020-05-12,39
2020-05-13,37
2020-05-14,51
2020-05-15,48
2020-05-16,43
2020-05-17,66
2020-05-18,62
2020-05-19,45
2020-05-20,47
2020-05-21,65
2020-05-22,46
2020-05-23,39
2020-05-24,55
2020-05-25,57
2020-05-26,48
2020-05-27,34
2020-05-28,50
2020-05-29,36
2020-05-30,51
2020-05-31,58
2020-06-01,47
2020-06-02,49
2020-06-03,55
2020-06-04,44
2020-06-05,47
2020-06-06,53
2020-06-07,43
2020-06-08,42
2020-06-09,40
2020-06-10,43
2020-06-11,44
2020-06-12,34
2020-06-13,47
2020-06-14,42
2020-06-15,63
2020-06-16,56
2020-06-17,35
2020-06-18,42
2020-06-19,40
2020-06-20,42
2020-06-21,47
2020-06-22,37
2020-06-23,46
2020-06-24,51
2020-06-25,26
2020-06-26,41
2020-06-27,33
2020-06-28,50
2020-06-29,34
2020-06-30,34
2020-07-01,33
2020-07-02,52
2020-07-03,39
2020-07-04,37
2020-07-05,46
2020-07-06,44
2020-07-07,44
2020-07-08,51
2020-07-09,43
2020-07-10,42
2020-07-11,42
2020-07-12,59
2020-07-13,57
2020-07-14,32
2020-07-15,39
2020-07-16,56
2020-07-17,42
2020-07-18,38
2020-07-19,64
2020-07-20,40
2020-07-21,50
2020-07-22,37
2020-07-23,61
2020-07-24,47
2020-07-25,44
2020-07-26,58
2020-07-27,41
2020-07-28,33
2020-07-29,44
2020-07-30,39
2020-07-31,44
2020-08-01,30
2020-08-02,53
2020-08-03,51
2020-08-04,29
2020-08-05,49
2020-08-06,43
2020-08-07,54
2020-08-08,43
2020-08-09,47
2020-08-10,39
2020-08-11,36
2020-08-12,34
2020-08-13,39
2020-08-14,45
2020-08-15,42
2020-08-16,49
2020-08-17,33
2020-08-18,44
2020-08-19,49
2020-08-20,35
2020-08-21,38
2020-08-22,47
2020-08-23,49
2020-08-24,37
2020-08-25,44
2020-08-26,41
2020-08-27,41
2020-08-28,47
2020-08-29,42
2020-08-30,44
2020-08-31,42
2020-09-01,40
2020-09-02,57
2020-09-03,35
2020-09-04,37
2020-09-05,54
2020-09-06,44
2020-09-07,41
2020-09-08,31
2020-09-09,43
2020-09-10,40
2020-09-11,43
2020-09-12,43
2020-09-13,51
2020-09-14,42
2020-09-15,48
2020-09-16,49
2020-09-17,44
2020-09-18,45
2020-09-19,41
2020-09-20,53
2020-09-21,41
2020-09-22,46
2020-09-23,52
2020-09-24,43
2020-09-25,39
2020-09-26,51
2020-09-27,39
2020-09-28,57
2020-09-29,37
