date,/m/0m7pl_0,/m/0m7pl,batch_id
2020-02-01,3.0,3.0,1
2020-02-02,0.0,0.0,1
2020-02-03,5.0,5.0,1
2020-02-04,6.0,6.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,3.0,3.0,1
2020-02-09,3.0,3.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,6.0,6.0,1
2020-02-13,0.0,0.0,1
2020-02-14,0.0,0.0,1
2020-02-15,0.0,0.0,1
2020-02-16,6.0,6.0,1
2020-02-17,3.0,3.0,1
2020-02-18,0.0,0.0,1
2020-02-19,3.0,3.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,0.0,0.0,1
2020-02-23,0.0,0.0,1
2020-02-24,0.0,0.0,1
2020-02-25,5.0,5.0,1
2020-02-26,3.0,3.0,1
2020-02-27,9.0,9.0,1
2020-02-28,6.0,6.0,1
2020-02-29,0.0,0.0,1
2020-03-01,3.0,3.0,1
2020-03-02,0.0,0.0,1
2020-03-03,3.0,3.0,1
2020-03-04,0.0,0.0,1
2020-03-05,0.0,0.0,1
2020-03-06,9.0,9.0,1
2020-03-07,0.0,0.0,1
2020-03-08,6.0,6.0,1
2020-03-09,11.0,11.0,1
2020-03-10,3.0,3.0,1
2020-03-11,0.0,0.0,1
2020-03-12,3.0,3.0,1
2020-03-13,11.0,11.0,1
2020-03-14,15.0,15.0,1
2020-03-15,9.0,9.0,1
2020-03-16,26.0,26.0,1
2020-03-17,10.0,10.0,1
2020-03-18,38.0,38.0,1
2020-03-19,31.0,31.0,1
2020-03-20,36.0,36.0,1
2020-03-21,42.0,42.0,1
2020-03-22,98.0,98.0,1
2020-03-23,100.0,100.0,1
2020-03-24,64.0,64.0,1
2020-03-25,48.0,48.0,1
2020-03-26,34.0,34.0,1
2020-03-27,20.0,20.0,1
2020-03-28,53.0,53.0,1
2020-03-29,37.0,37.0,1
2020-03-30,20.0,20.0,1
2020-03-31,22.0,22.0,1
2020-04-01,27.0,27.0,1
2020-04-02,12.0,12.0,1
2020-04-03,13.0,13.0,1
2020-04-04,18.0,18.0,1
2020-04-05,18.0,18.0,1
2020-04-06,23.0,23.0,1
2020-04-07,11.0,11.0,1
2020-04-08,14.0,14.0,1
2020-04-09,17.0,17.0,1
2020-04-10,11.0,11.0,1
2020-04-11,17.0,17.0,1
2020-04-12,17.0,17.0,1
2020-04-13,13.0,13.0,1
2020-04-14,13.0,13.0,1
2020-04-15,7.0,7.0,1
2020-04-16,13.0,13.0,1
2020-04-17,18.0,18.0,1
2020-04-18,6.0,6.0,1
2020-04-19,17.0,17.0,1
2020-04-20,22.0,22.0,1
2020-04-21,12.0,12.0,1
2020-04-22,17.0,17.0,1
2020-04-23,5.0,5.0,1
2020-04-24,8.0,8.0,1
2020-04-25,9.0,9.0,1
2020-04-26,9.0,9.0,1
2020-04-27,20.0,20.0,1
2020-04-28,10.0,10.0,1
2020-04-29,5.0,5.0,1
2020-04-30,17.0,17.0,1
2020-05-01,3.0,3.0,1
2020-05-02,3.0,3.0,1
2020-05-03,3.0,3.0,1
2020-05-04,7.0,7.0,1
