date,/m/0fd23_0,/m/0fd23,batch_id
2020-02-01,8.0,8.0,1
2020-02-02,39.0,39.0,1
2020-02-03,26.0,26.0,1
2020-02-04,18.0,18.0,1
2020-02-05,26.0,26.0,1
2020-02-06,52.0,52.0,1
2020-02-07,23.0,23.0,1
2020-02-08,25.0,25.0,1
2020-02-09,15.0,15.0,1
2020-02-10,14.0,14.0,1
2020-02-11,32.0,32.0,1
2020-02-12,31.0,31.0,1
2020-02-13,21.0,21.0,1
2020-02-14,27.0,27.0,1
2020-02-15,45.0,45.0,1
2020-02-16,38.0,38.0,1
2020-02-17,24.0,24.0,1
2020-02-18,45.0,45.0,1
2020-02-19,25.0,25.0,1
2020-02-20,54.0,54.0,1
2020-02-21,46.0,46.0,1
2020-02-22,21.0,21.0,1
2020-02-23,15.0,15.0,1
2020-02-24,36.0,36.0,1
2020-02-25,21.0,21.0,1
2020-02-26,17.0,17.0,1
2020-02-27,21.0,21.0,1
2020-02-28,19.0,19.0,1
2020-02-29,12.0,12.0,1
2020-03-01,19.0,19.0,1
2020-03-02,44.0,44.0,1
2020-03-03,38.0,38.0,1
2020-03-04,31.0,31.0,1
2020-03-05,24.0,24.0,1
2020-03-06,32.0,32.0,1
2020-03-07,12.0,12.0,1
2020-03-08,30.0,30.0,1
2020-03-09,30.0,30.0,1
2020-03-10,30.0,30.0,1
2020-03-11,23.0,23.0,1
2020-03-12,13.0,13.0,1
2020-03-13,29.0,29.0,1
2020-03-14,32.0,32.0,1
2020-03-15,51.0,51.0,1
2020-03-16,23.0,23.0,1
2020-03-17,36.0,36.0,1
2020-03-18,28.0,28.0,1
2020-03-19,45.0,45.0,1
2020-03-20,29.0,29.0,1
2020-03-21,54.0,54.0,1
2020-03-22,15.0,15.0,1
2020-03-23,34.0,34.0,1
2020-03-24,69.0,69.0,1
2020-03-25,42.0,42.0,1
2020-03-26,31.0,31.0,1
2020-03-27,47.0,47.0,1
2020-03-28,49.0,49.0,1
2020-03-29,68.0,68.0,1
2020-03-30,31.0,31.0,1
2020-03-31,35.0,35.0,1
2020-04-01,39.0,39.0,1
2020-04-02,44.0,44.0,1
2020-04-03,36.0,36.0,1
2020-04-04,59.0,59.0,1
2020-04-05,57.0,57.0,1
2020-04-06,42.0,42.0,1
2020-04-07,71.0,71.0,1
2020-04-08,69.0,69.0,1
2020-04-09,100.0,100.0,1
2020-04-10,71.0,71.0,1
2020-04-11,75.0,75.0,1
2020-04-12,75.0,75.0,1
2020-04-13,61.0,61.0,1
2020-04-14,32.0,32.0,1
2020-04-15,47.0,47.0,1
2020-04-16,69.0,69.0,1
2020-04-17,51.0,51.0,1
2020-04-18,44.0,44.0,1
2020-04-19,39.0,39.0,1
2020-04-20,60.0,60.0,1
2020-04-21,67.0,67.0,1
2020-04-22,85.0,85.0,1
2020-04-23,61.0,61.0,1
2020-04-24,48.0,48.0,1
2020-04-25,56.0,56.0,1
2020-04-26,41.0,41.0,1
2020-04-27,42.0,42.0,1
2020-04-28,42.0,42.0,1
2020-04-29,21.0,21.0,1
2020-04-30,41.0,41.0,1
2020-05-01,65.0,65.0,1
2020-05-02,37.0,37.0,1
2020-05-03,36.0,36.0,1
2020-05-04,27.0,27.0,1
2020-05-05,24.0,24.0,1
2020-05-06,22.0,22.0,1
2020-05-07,23.0,23.0,1
2020-05-08,58.0,58.0,1
2020-05-09,39.0,39.0,1
2020-05-10,25.0,25.0,1
2020-05-11,39.0,39.0,1
2020-05-12,25.0,25.0,1
2020-05-13,28.0,28.0,1
2020-05-14,35.0,35.0,1
2020-05-15,27.0,27.0,1
2020-05-16,61.0,61.0,1
2020-05-17,27.0,27.0,1
2020-05-18,42.0,42.0,1
2020-05-19,52.0,52.0,1
2020-05-20,36.0,36.0,1
2020-05-21,64.0,64.0,1
2020-05-22,33.0,33.0,1
2020-05-23,46.0,46.0,1
2020-05-24,32.0,32.0,1
2020-05-25,29.0,29.0,1
2020-05-26,55.0,55.0,1
2020-05-27,45.0,45.0,1
2020-05-28,58.0,58.0,1
2020-05-29,56.0,56.0,1
2020-05-30,97.0,97.0,1
