date,/g/11j4xt9hdf_0,/g/11j4xt9hdf,batch_id
2020-02-01,47.0,47.0,1
2020-02-02,25.0,25.0,1
2020-02-03,35.0,35.0,1
2020-02-04,31.0,31.0,1
2020-02-05,16.0,16.0,1
2020-02-06,16.0,16.0,1
2020-02-07,8.0,8.0,1
2020-02-08,28.0,28.0,1
2020-02-09,26.0,26.0,1
2020-02-10,22.0,22.0,1
2020-02-11,0.0,0.0,1
2020-02-12,15.0,15.0,1
2020-02-13,24.0,24.0,1
2020-02-14,16.0,16.0,1
2020-02-15,9.0,9.0,1
2020-02-16,9.0,9.0,1
2020-02-17,8.0,8.0,1
2020-02-18,15.0,15.0,1
2020-02-19,23.0,23.0,1
2020-02-20,8.0,8.0,1
2020-02-21,32.0,32.0,1
2020-02-22,9.0,9.0,1
2020-02-23,16.0,16.0,1
2020-02-24,37.0,37.0,1
2020-02-25,22.0,22.0,1
2020-02-26,22.0,22.0,1
2020-02-27,15.0,15.0,1
2020-02-28,88.0,88.0,1
2020-02-29,35.0,35.0,1
2020-03-01,17.0,17.0,1
2020-03-02,52.0,52.0,1
2020-03-03,22.0,22.0,1
2020-03-04,31.0,31.0,1
2020-03-05,23.0,23.0,1
2020-03-06,23.0,23.0,1
2020-03-07,42.0,42.0,1
2020-03-08,17.0,17.0,1
2020-03-09,29.0,29.0,1
2020-03-10,71.0,71.0,1
2020-03-11,55.0,55.0,1
2020-03-12,70.0,70.0,1
2020-03-13,59.0,59.0,1
2020-03-14,75.0,75.0,1
2020-03-15,54.0,54.0,1
2020-03-16,74.0,74.0,1
2020-03-17,100.0,100.0,1
2020-03-18,97.0,97.0,1
2020-03-19,7.0,7.0,1
2020-03-20,36.0,36.0,1
2020-03-21,60.0,60.0,1
2020-03-22,60.0,60.0,1
2020-03-23,25.0,25.0,1
2020-03-24,21.0,21.0,1
2020-03-25,35.0,35.0,1
2020-03-26,14.0,14.0,1
2020-03-27,35.0,35.0,1
2020-03-28,76.0,76.0,1
2020-03-29,30.0,30.0,1
2020-03-30,26.0,26.0,1
2020-03-31,40.0,40.0,1
2020-04-01,28.0,28.0,1
2020-04-02,14.0,14.0,1
2020-04-03,14.0,14.0,1
2020-04-04,59.0,59.0,1
2020-04-05,0.0,0.0,1
2020-04-06,21.0,21.0,1
2020-04-07,15.0,15.0,1
2020-04-08,22.0,22.0,1
2020-04-09,23.0,23.0,1
2020-04-10,8.0,8.0,1
2020-04-11,18.0,18.0,1
2020-04-12,9.0,9.0,1
2020-04-13,15.0,15.0,1
2020-04-14,6.0,6.0,1
2020-04-15,21.0,21.0,1
2020-04-16,7.0,7.0,1
2020-04-17,0.0,0.0,1
2020-04-18,0.0,0.0,1
2020-04-19,23.0,23.0,1
2020-04-20,27.0,27.0,1
2020-04-21,21.0,21.0,1
