date,/m/05sfr2_0,/m/05sfr2,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,1.0,1.0,1
2020-02-04,2.0,2.0,1
2020-02-05,2.0,2.0,1
2020-02-06,0.0,0.0,1
2020-02-07,2.0,2.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,3.0,3.0,1
2020-02-13,8.0,8.0,1
2020-02-14,0.0,0.0,1
2020-02-15,0.0,0.0,1
2020-02-16,3.0,3.0,1
2020-02-17,0.0,0.0,1
2020-02-18,1.0,1.0,1
2020-02-19,2.0,2.0,1
2020-02-20,2.0,2.0,1
2020-02-21,0.0,0.0,1
2020-02-22,3.0,3.0,1
2020-02-23,5.0,5.0,1
2020-02-24,2.0,2.0,1
2020-02-25,1.0,1.0,1
2020-02-26,4.0,4.0,1
2020-02-27,1.0,1.0,1
2020-02-28,3.0,3.0,1
2020-02-29,2.0,2.0,1
2020-03-01,2.0,2.0,1
2020-03-02,0.0,0.0,1
2020-03-03,1.0,1.0,1
2020-03-04,0.0,0.0,1
2020-03-05,3.0,3.0,1
2020-03-06,0.0,0.0,1
2020-03-07,2.0,2.0,1
2020-03-08,0.0,0.0,1
2020-03-09,4.0,4.0,1
2020-03-10,0.0,0.0,1
2020-03-11,3.0,3.0,1
2020-03-12,3.0,3.0,1
2020-03-13,2.0,2.0,1
2020-03-14,0.0,0.0,1
2020-03-15,7.0,7.0,1
2020-03-16,4.0,4.0,1
2020-03-17,7.0,7.0,1
2020-03-18,13.0,13.0,1
2020-03-19,19.0,19.0,1
2020-03-20,43.0,43.0,1
2020-03-21,50.0,50.0,1
2020-03-22,100.0,100.0,1
2020-03-23,65.0,65.0,1
2020-03-24,39.0,39.0,1
2020-03-25,36.0,36.0,1
2020-03-26,27.0,27.0,1
2020-03-27,24.0,24.0,1
2020-03-28,28.0,28.0,1
2020-03-29,33.0,33.0,1
2020-03-30,26.0,26.0,1
2020-03-31,22.0,22.0,1
2020-04-01,20.0,20.0,1
2020-04-02,25.0,25.0,1
2020-04-03,20.0,20.0,1
2020-04-04,19.0,19.0,1
2020-04-05,21.0,21.0,1
2020-04-06,6.0,6.0,1
2020-04-07,12.0,12.0,1
2020-04-08,9.0,9.0,1
2020-04-09,11.0,11.0,1
2020-04-10,8.0,8.0,1
2020-04-11,8.0,8.0,1
2020-04-12,5.0,5.0,1
2020-04-13,7.0,7.0,1
2020-04-14,11.0,11.0,1
2020-04-15,8.0,8.0,1
2020-04-16,8.0,8.0,1
2020-04-17,7.0,7.0,1
2020-04-18,7.0,7.0,1
2020-04-19,4.0,4.0,1
2020-04-20,5.0,5.0,1
2020-04-21,5.0,5.0,1
2020-04-22,4.0,4.0,1
2020-04-23,7.0,7.0,1
2020-04-24,4.0,4.0,1
2020-04-25,3.0,3.0,1
