date,/m/0405g08_0,/m/0405g08,batch_id
2020-02-01,57.0,57.0,1
2020-02-02,54.0,54.0,1
2020-02-03,25.0,25.0,1
2020-02-04,55.0,55.0,1
2020-02-05,24.0,24.0,1
2020-02-06,57.0,57.0,1
2020-02-07,36.0,36.0,1
2020-02-08,55.0,55.0,1
2020-02-09,27.0,27.0,1
2020-02-10,36.0,36.0,1
2020-02-11,34.0,34.0,1
2020-02-12,36.0,36.0,1
2020-02-13,37.0,37.0,1
2020-02-14,13.0,13.0,1
2020-02-15,58.0,58.0,1
2020-02-16,38.0,38.0,1
2020-02-17,43.0,43.0,1
2020-02-18,50.0,50.0,1
2020-02-19,43.0,43.0,1
2020-02-20,32.0,32.0,1
2020-02-21,36.0,36.0,1
2020-02-22,56.0,56.0,1
2020-02-23,34.0,34.0,1
2020-02-24,46.0,46.0,1
2020-02-25,72.0,72.0,1
2020-02-26,46.0,46.0,1
2020-02-27,69.0,69.0,1
2020-02-28,43.0,43.0,1
2020-02-29,49.0,49.0,1
2020-03-01,82.0,82.0,1
2020-03-02,38.0,38.0,1
2020-03-03,34.0,34.0,1
2020-03-04,43.0,43.0,1
2020-03-05,55.0,55.0,1
2020-03-06,56.0,56.0,1
2020-03-07,56.0,56.0,1
2020-03-08,69.0,69.0,1
2020-03-09,57.0,57.0,1
2020-03-10,76.0,76.0,1
2020-03-11,54.0,54.0,1
2020-03-12,64.0,64.0,1
2020-03-13,68.0,68.0,1
2020-03-14,70.0,70.0,1
2020-03-15,100.0,100.0,1
2020-03-16,65.0,65.0,1
2020-03-17,73.0,73.0,1
2020-03-18,90.0,90.0,1
2020-03-19,75.0,75.0,1
2020-03-20,44.0,44.0,1
2020-03-21,88.0,88.0,1
2020-03-22,67.0,67.0,1
2020-03-23,60.0,60.0,1
2020-03-24,45.0,45.0,1
2020-03-25,48.0,48.0,1
2020-03-26,55.0,55.0,1
2020-03-27,49.0,49.0,1
2020-03-28,53.0,53.0,1
2020-03-29,78.0,78.0,1
2020-03-30,62.0,62.0,1
2020-03-31,69.0,69.0,1
2020-04-01,52.0,52.0,1
2020-04-02,66.0,66.0,1
2020-04-03,35.0,35.0,1
2020-04-04,54.0,54.0,1
2020-04-05,56.0,56.0,1
2020-04-06,32.0,32.0,1
2020-04-07,54.0,54.0,1
2020-04-08,49.0,49.0,1
2020-04-09,56.0,56.0,1
2020-04-10,22.0,22.0,1
2020-04-11,41.0,41.0,1
2020-04-12,49.0,49.0,1
2020-04-13,66.0,66.0,1
2020-04-14,37.0,37.0,1
2020-04-15,30.0,30.0,1
2020-04-16,44.0,44.0,1
2020-04-17,39.0,39.0,1
2020-04-18,64.0,64.0,1
2020-04-19,50.0,50.0,1
2020-04-20,38.0,38.0,1
2020-04-21,45.0,45.0,1
2020-04-22,38.0,38.0,1
2020-04-23,38.0,38.0,1
2020-04-24,46.0,46.0,1
2020-04-25,32.0,32.0,1
2020-04-26,44.0,44.0,1
2020-04-27,21.0,21.0,1
2020-04-28,38.0,38.0,1
2020-04-29,39.0,39.0,1
2020-04-30,36.0,36.0,1
2020-05-01,31.0,31.0,1
2020-05-02,20.0,20.0,1
2020-05-03,73.0,73.0,1
2020-05-04,66.0,66.0,1
2020-05-05,19.0,19.0,1
2020-05-06,41.0,41.0,1
2020-05-07,31.0,31.0,1
