date,/m/01cdt5_0,/m/01cdt5,batch_id
2020-02-01,41.0,41.0,1
2020-02-02,20.0,20.0,1
2020-02-03,51.0,51.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,37.0,37.0,1
2020-02-07,19.0,19.0,1
2020-02-08,62.0,62.0,1
2020-02-09,0.0,0.0,1
2020-02-10,35.0,35.0,1
2020-02-11,36.0,36.0,1
2020-02-12,0.0,0.0,1
2020-02-13,38.0,38.0,1
2020-02-14,0.0,0.0,1
2020-02-15,21.0,21.0,1
2020-02-16,0.0,0.0,1
2020-02-17,0.0,0.0,1
2020-02-18,18.0,18.0,1
2020-02-19,0.0,0.0,1
2020-02-20,57.0,57.0,1
2020-02-21,37.0,37.0,1
2020-02-22,40.0,40.0,1
2020-02-23,41.0,41.0,1
2020-02-24,36.0,36.0,1
2020-02-25,18.0,18.0,1
2020-02-26,54.0,54.0,1
2020-02-27,19.0,19.0,1
2020-02-28,19.0,19.0,1
2020-02-29,0.0,0.0,1
2020-03-01,0.0,0.0,1
2020-03-02,54.0,54.0,1
2020-03-03,54.0,54.0,1
2020-03-04,0.0,0.0,1
2020-03-05,18.0,18.0,1
2020-03-06,0.0,0.0,1
2020-03-07,82.0,82.0,1
2020-03-08,0.0,0.0,1
2020-03-09,17.0,17.0,1
2020-03-10,17.0,17.0,1
2020-03-11,18.0,18.0,1
2020-03-12,99.0,99.0,1
2020-03-13,52.0,52.0,1
2020-03-14,40.0,40.0,1
2020-03-15,95.0,95.0,1
2020-03-16,99.0,99.0,1
2020-03-17,83.0,83.0,1
2020-03-18,51.0,51.0,1
2020-03-19,52.0,52.0,1
2020-03-20,0.0,0.0,1
2020-03-21,100.0,100.0,1
2020-03-22,79.0,79.0,1
2020-03-23,79.0,79.0,1
2020-03-24,33.0,33.0,1
2020-03-25,33.0,33.0,1
2020-03-26,33.0,33.0,1
2020-03-27,16.0,16.0,1
2020-03-28,19.0,19.0,1
2020-03-29,76.0,76.0,1
2020-03-30,48.0,48.0,1
2020-03-31,31.0,31.0,1
2020-04-01,0.0,0.0,1
2020-04-02,49.0,49.0,1
2020-04-03,16.0,16.0,1
2020-04-04,76.0,76.0,1
2020-04-05,38.0,38.0,1
2020-04-06,16.0,16.0,1
2020-04-07,48.0,48.0,1
2020-04-08,0.0,0.0,1
2020-04-09,67.0,67.0,1
2020-04-10,38.0,38.0,1
2020-04-11,19.0,19.0,1
2020-04-12,0.0,0.0,1
2020-04-13,0.0,0.0,1
2020-04-14,47.0,47.0,1
2020-04-15,48.0,48.0,1
2020-04-16,48.0,48.0,1
2020-04-17,33.0,33.0,1
2020-04-18,38.0,38.0,1
2020-04-19,38.0,38.0,1
2020-04-20,0.0,0.0,1
2020-04-21,0.0,0.0,1
2020-04-22,16.0,16.0,1
2020-04-23,48.0,48.0,1
2020-04-24,0.0,0.0,1
2020-04-25,19.0,19.0,1
2020-04-26,37.0,37.0,1
2020-04-27,0.0,0.0,1
2020-04-28,32.0,32.0,1
2020-04-29,16.0,16.0,1
2020-04-30,16.0,16.0,1
2020-05-01,40.0,40.0,1
2020-05-02,19.0,19.0,1
2020-05-03,0.0,0.0,1
2020-05-04,93.0,93.0,1
2020-05-05,47.0,47.0,1
2020-05-06,0.0,0.0,1
2020-05-07,50.0,50.0,1
2020-05-08,17.0,17.0,1
2020-05-09,58.0,58.0,1
2020-05-10,19.0,19.0,1
2020-05-11,31.0,31.0,1
2020-05-12,0.0,0.0,1
2020-05-13,17.0,17.0,1
2020-05-14,34.0,34.0,1
2020-05-15,17.0,17.0,1
2020-05-16,37.0,37.0,1
2020-05-17,18.0,18.0,1
2020-05-18,16.0,16.0,1
2020-05-19,82.0,82.0,1
2020-05-20,34.0,34.0,1
2020-05-21,39.0,39.0,1
2020-05-22,0.0,0.0,1
2020-05-23,43.0,43.0,1
2020-05-24,59.0,59.0,1
2020-05-25,34.0,34.0,1
2020-05-26,0.0,0.0,1
2020-05-27,17.0,17.0,1
2020-05-28,17.0,17.0,1
2020-05-29,18.0,18.0,1
2020-05-30,0.0,0.0,1
2020-05-31,0.0,0.0,1
2020-06-01,18.0,18.0,1
2020-06-02,18.0,18.0,1
2020-06-03,35.0,35.0,1
2020-06-04,0.0,0.0,1
2020-06-05,34.0,34.0,1
2020-06-06,38.0,38.0,1
2020-06-07,0.0,0.0,1
2020-06-08,16.0,16.0,1
