date,/m/0m7pl_0,/m/0m7pl,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,0.0,0.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,0.0,0.0,1
2020-02-13,0.0,0.0,1
2020-02-14,4.0,4.0,1
2020-02-15,3.0,3.0,1
2020-02-16,0.0,0.0,1
2020-02-17,0.0,0.0,1
2020-02-18,0.0,0.0,1
2020-02-19,2.0,2.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,0.0,0.0,1
2020-02-23,2.0,2.0,1
2020-02-24,0.0,0.0,1
2020-02-25,0.0,0.0,1
2020-02-26,0.0,0.0,1
2020-02-27,2.0,2.0,1
2020-02-28,0.0,0.0,1
2020-02-29,0.0,0.0,1
2020-03-01,0.0,0.0,1
2020-03-02,6.0,6.0,1
2020-03-03,0.0,0.0,1
2020-03-04,0.0,0.0,1
2020-03-05,0.0,0.0,1
2020-03-06,2.0,2.0,1
2020-03-07,0.0,0.0,1
2020-03-08,0.0,0.0,1
2020-03-09,0.0,0.0,1
2020-03-10,2.0,2.0,1
2020-03-11,2.0,2.0,1
2020-03-12,2.0,2.0,1
2020-03-13,2.0,2.0,1
2020-03-14,5.0,5.0,1
2020-03-15,4.0,4.0,1
2020-03-16,2.0,2.0,1
2020-03-17,16.0,16.0,1
2020-03-18,13.0,13.0,1
2020-03-19,19.0,19.0,1
2020-03-20,61.0,61.0,1
2020-03-21,100.0,100.0,1
2020-03-22,67.0,67.0,1
2020-03-23,55.0,55.0,1
2020-03-24,25.0,25.0,1
2020-03-25,31.0,31.0,1
2020-03-26,21.0,21.0,1
2020-03-27,10.0,10.0,1
2020-03-28,21.0,21.0,1
2020-03-29,26.0,26.0,1
2020-03-30,14.0,14.0,1
2020-03-31,20.0,20.0,1
2020-04-01,8.0,8.0,1
2020-04-02,14.0,14.0,1
2020-04-03,15.0,15.0,1
2020-04-04,7.0,7.0,1
2020-04-05,15.0,15.0,1
2020-04-06,6.0,6.0,1
2020-04-07,12.0,12.0,1
2020-04-08,10.0,10.0,1
2020-04-09,6.0,6.0,1
2020-04-10,8.0,8.0,1
2020-04-11,2.0,2.0,1
2020-04-12,2.0,2.0,1
2020-04-13,4.0,4.0,1
2020-04-14,4.0,4.0,1
2020-04-15,6.0,6.0,1
2020-04-16,6.0,6.0,1
2020-04-17,2.0,2.0,1
2020-04-18,7.0,7.0,1
2020-04-19,2.0,2.0,1
2020-04-20,4.0,4.0,1
2020-04-21,2.0,2.0,1
2020-04-22,6.0,6.0,1
2020-04-23,0.0,0.0,1
2020-04-24,2.0,2.0,1
2020-04-25,5.0,5.0,1
