date,/g/11j2cc_qll_0,/g/11j2cc_qll,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,0.0,0.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,1.0,1.0,1
2020-02-12,1.0,1.0,1
2020-02-13,1.0,1.0,1
2020-02-14,0.0,0.0,1
2020-02-15,0.0,0.0,1
2020-02-16,2.0,2.0,1
2020-02-17,1.0,1.0,1
2020-02-18,1.0,1.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,0.0,0.0,1
2020-02-23,0.0,0.0,1
2020-02-24,1.0,1.0,1
2020-02-25,2.0,2.0,1
2020-02-26,2.0,2.0,1
2020-02-27,3.0,3.0,1
2020-02-28,2.0,2.0,1
2020-02-29,5.0,5.0,1
2020-03-01,6.0,6.0,1
2020-03-02,5.0,5.0,1
2020-03-03,3.0,3.0,1
2020-03-04,2.0,2.0,1
2020-03-05,2.0,2.0,1
2020-03-06,4.0,4.0,1
2020-03-07,8.0,8.0,1
2020-03-08,5.0,5.0,1
2020-03-09,9.0,9.0,1
2020-03-10,4.0,4.0,1
2020-03-11,13.0,13.0,1
2020-03-12,20.0,20.0,1
2020-03-13,32.0,32.0,1
2020-03-14,33.0,33.0,1
2020-03-15,42.0,42.0,1
2020-03-16,56.0,56.0,1
2020-03-17,60.0,60.0,1
2020-03-18,55.0,55.0,1
2020-03-19,34.0,34.0,1
2020-03-20,45.0,45.0,1
2020-03-21,53.0,53.0,1
2020-03-22,54.0,54.0,1
2020-03-23,48.0,48.0,1
2020-03-24,48.0,48.0,1
2020-03-25,69.0,69.0,1
2020-03-26,49.0,49.0,1
2020-03-27,52.0,52.0,1
2020-03-28,51.0,51.0,1
2020-03-29,45.0,45.0,1
2020-03-30,31.0,31.0,1
2020-03-31,40.0,40.0,1
2020-04-01,42.0,42.0,1
2020-04-02,46.0,46.0,1
2020-04-03,44.0,44.0,1
2020-04-04,36.0,36.0,1
2020-04-05,35.0,35.0,1
2020-04-06,47.0,47.0,1
2020-04-07,43.0,43.0,1
2020-04-08,34.0,34.0,1
2020-04-09,33.0,33.0,1
2020-04-10,32.0,32.0,1
2020-04-11,40.0,40.0,1
2020-04-12,35.0,35.0,1
2020-04-13,35.0,35.0,1
2020-04-14,38.0,38.0,1
2020-04-15,33.0,33.0,1
2020-04-16,37.0,37.0,1
2020-04-17,32.0,32.0,1
2020-04-18,36.0,36.0,1
2020-04-19,25.0,25.0,1
2020-04-20,37.0,37.0,1
2020-04-21,34.0,34.0,1
2020-04-22,29.0,29.0,1
2020-04-23,36.0,36.0,1
2020-04-24,38.0,38.0,1
2020-04-25,35.0,35.0,1
