date,/g/11j2cc_qll_0,/g/11j2cc_qll,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,0.0,0.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,1.0,1.0,1
2020-02-13,0.0,0.0,1
2020-02-14,0.0,0.0,1
2020-02-15,0.0,0.0,1
2020-02-16,0.0,0.0,1
2020-02-17,1.0,1.0,1
2020-02-18,0.0,0.0,1
2020-02-19,1.0,1.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,1.0,1.0,1
2020-02-23,3.0,3.0,1
2020-02-24,2.0,2.0,1
2020-02-25,2.0,2.0,1
2020-02-26,2.0,2.0,1
2020-02-27,0.0,0.0,1
2020-02-28,6.0,6.0,1
2020-02-29,6.0,6.0,1
2020-03-01,2.0,2.0,1
2020-03-02,7.0,7.0,1
2020-03-03,4.0,4.0,1
2020-03-04,3.0,3.0,1
2020-03-05,2.0,2.0,1
2020-03-06,4.0,4.0,1
2020-03-07,5.0,5.0,1
2020-03-08,8.0,8.0,1
2020-03-09,5.0,5.0,1
2020-03-10,10.0,10.0,1
2020-03-11,15.0,15.0,1
2020-03-12,17.0,17.0,1
2020-03-13,35.0,35.0,1
2020-03-14,39.0,39.0,1
2020-03-15,40.0,40.0,1
2020-03-16,41.0,41.0,1
2020-03-17,49.0,49.0,1
2020-03-18,55.0,55.0,1
2020-03-19,44.0,44.0,1
2020-03-20,48.0,48.0,1
2020-03-21,42.0,42.0,1
2020-03-22,31.0,31.0,1
2020-03-23,51.0,51.0,1
2020-03-24,51.0,51.0,1
2020-03-25,49.0,49.0,1
2020-03-26,56.0,56.0,1
2020-03-27,64.0,64.0,1
2020-03-28,62.0,62.0,1
2020-03-29,46.0,46.0,1
2020-03-30,52.0,52.0,1
2020-03-31,48.0,48.0,1
2020-04-01,37.0,37.0,1
2020-04-02,50.0,50.0,1
2020-04-03,41.0,41.0,1
2020-04-04,37.0,37.0,1
2020-04-05,51.0,51.0,1
2020-04-06,40.0,40.0,1
2020-04-07,43.0,43.0,1
2020-04-08,62.0,62.0,1
2020-04-09,37.0,37.0,1
2020-04-10,42.0,42.0,1
2020-04-11,35.0,35.0,1
2020-04-12,31.0,31.0,1
2020-04-13,37.0,37.0,1
2020-04-14,38.0,38.0,1
2020-04-15,39.0,39.0,1
2020-04-16,42.0,42.0,1
2020-04-17,39.0,39.0,1
2020-04-18,31.0,31.0,1
2020-04-19,40.0,40.0,1
2020-04-20,36.0,36.0,1
2020-04-21,35.0,35.0,1
2020-04-22,38.0,38.0,1
2020-04-23,31.0,31.0,1
2020-04-24,34.0,34.0,1
2020-04-25,31.0,31.0,1
