date,/m/01c751_0,/m/01c751,batch_id
2020-02-01,9.0,9.0,1
2020-02-02,8.0,8.0,1
2020-02-03,3.0,3.0,1
2020-02-04,4.0,4.0,1
2020-02-05,8.0,8.0,1
2020-02-06,7.0,7.0,1
2020-02-07,10.0,10.0,1
2020-02-08,10.0,10.0,1
2020-02-09,4.0,4.0,1
2020-02-10,10.0,10.0,1
2020-02-11,11.0,11.0,1
2020-02-12,11.0,11.0,1
2020-02-13,8.0,8.0,1
2020-02-14,6.0,6.0,1
2020-02-15,4.0,4.0,1
2020-02-16,3.0,3.0,1
2020-02-17,4.0,4.0,1
2020-02-18,4.0,4.0,1
2020-02-19,2.0,2.0,1
2020-02-20,3.0,3.0,1
2020-02-21,4.0,4.0,1
2020-02-22,5.0,5.0,1
2020-02-23,7.0,7.0,1
2020-02-24,12.0,12.0,1
2020-02-25,21.0,21.0,1
2020-02-26,27.0,27.0,1
2020-02-27,23.0,23.0,1
2020-02-28,28.0,28.0,1
2020-02-29,20.0,20.0,1
2020-03-01,22.0,22.0,1
2020-03-02,21.0,21.0,1
2020-03-03,23.0,23.0,1
2020-03-04,29.0,29.0,1
2020-03-05,22.0,22.0,1
2020-03-06,25.0,25.0,1
2020-03-07,17.0,17.0,1
2020-03-08,19.0,19.0,1
2020-03-09,28.0,28.0,1
2020-03-10,31.0,31.0,1
2020-03-11,45.0,45.0,1
2020-03-12,65.0,65.0,1
2020-03-13,78.0,78.0,1
2020-03-14,100.0,100.0,1
2020-03-15,90.0,90.0,1
2020-03-16,72.0,72.0,1
2020-03-17,100.0,100.0,1
2020-03-18,86.0,86.0,1
2020-03-19,73.0,73.0,1
2020-03-20,80.0,80.0,1
2020-03-21,73.0,73.0,1
2020-03-22,90.0,90.0,1
2020-03-23,66.0,66.0,1
2020-03-24,58.0,58.0,1
2020-03-25,50.0,50.0,1
2020-03-26,60.0,60.0,1
2020-03-27,59.0,59.0,1
2020-03-28,84.0,84.0,1
2020-03-29,77.0,77.0,1
2020-03-30,54.0,54.0,1
2020-03-31,54.0,54.0,1
2020-04-01,59.0,59.0,1
2020-04-02,63.0,63.0,1
2020-04-03,52.0,52.0,1
2020-04-04,42.0,42.0,1
2020-04-05,54.0,54.0,1
2020-04-06,38.0,38.0,1
2020-04-07,34.0,34.0,1
2020-04-08,39.0,39.0,1
2020-04-09,33.0,33.0,1
2020-04-10,37.0,37.0,1
2020-04-11,37.0,37.0,1
2020-04-12,40.0,40.0,1
2020-04-13,45.0,45.0,1
2020-04-14,21.0,21.0,1
2020-04-15,31.0,31.0,1
2020-04-16,29.0,29.0,1
2020-04-17,30.0,30.0,1
2020-04-18,40.0,40.0,1
2020-04-19,36.0,36.0,1
2020-04-20,29.0,29.0,1
2020-04-21,32.0,32.0,1
2020-04-22,27.0,27.0,1
2020-04-23,27.0,27.0,1
2020-04-24,19.0,19.0,1
2020-04-25,39.0,39.0,1
2020-04-26,37.0,37.0,1
2020-04-27,28.0,28.0,1
2020-04-28,34.0,34.0,1
2020-04-29,28.0,28.0,1
2020-04-30,29.0,29.0,1
2020-05-01,26.0,26.0,1
2020-05-02,19.0,19.0,1
2020-05-03,31.0,31.0,1
2020-05-04,31.0,31.0,1
2020-05-05,28.0,28.0,1
2020-05-06,25.0,25.0,1
2020-05-07,23.0,23.0,1
2020-05-08,23.0,23.0,1
2020-05-09,23.0,23.0,1
2020-05-10,37.0,37.0,1
2020-05-11,27.0,27.0,1
2020-05-12,21.0,21.0,1
2020-05-13,29.0,29.0,1
2020-05-14,27.0,27.0,1
2020-05-15,25.0,25.0,1
2020-05-16,18.0,18.0,1
2020-05-17,25.0,25.0,1
2020-05-18,18.0,18.0,1
2020-05-19,19.0,19.0,1
2020-05-20,9.0,9.0,1
2020-05-21,15.0,15.0,1
2020-05-22,14.0,14.0,1
2020-05-23,16.0,16.0,1
2020-05-24,14.0,14.0,1
2020-05-25,17.0,17.0,1
2020-05-26,12.0,12.0,1
2020-05-27,13.0,13.0,1
2020-05-28,11.0,11.0,1
2020-05-29,12.0,12.0,1
2020-05-30,10.0,10.0,1
2020-05-31,14.0,14.0,1
2020-06-01,10.0,10.0,1
2020-06-02,9.0,9.0,1
2020-06-03,11.0,11.0,1
2020-06-04,12.0,12.0,1
2020-06-05,12.0,12.0,1
2020-06-06,11.0,11.0,1
2020-06-07,14.0,14.0,1
2020-06-08,9.0,9.0,1
2020-06-09,11.0,11.0,1
2020-06-10,10.0,10.0,1
2020-06-11,13.0,13.0,1
2020-06-12,9.0,9.0,1
2020-06-13,10.0,10.0,1
2020-06-14,11.0,11.0,1
2020-06-15,5.0,5.0,1
2020-06-16,5.0,5.0,1
2020-06-17,6.0,6.0,1
2020-06-18,9.0,9.0,1
2020-06-19,5.0,5.0,1
2020-06-20,10.0,10.0,1
2020-06-21,11.0,11.0,1
2020-06-22,11.0,11.0,1
2020-06-23,7.0,7.0,1
2020-06-24,8.0,8.0,1
2020-06-25,7.0,7.0,1
2020-06-26,7.0,7.0,1
2020-06-27,8.0,8.0,1
2020-06-28,9.0,9.0,1
2020-06-29,14.0,14.0,1
2020-06-30,12.0,12.0,1
2020-07-01,8.0,8.0,1
2020-07-02,7.0,7.0,1
2020-07-03,9.0,9.0,1
2020-07-04,12.0,12.0,1
2020-07-05,9.0,9.0,1
2020-07-06,8.0,8.0,1
2020-07-07,8.0,8.0,1
2020-07-08,6.0,6.0,1
2020-07-09,5.0,5.0,1
2020-07-10,6.0,6.0,1
2020-07-11,8.0,8.0,1
2020-07-12,2.0,2.0,1
2020-07-13,5.0,5.0,1
2020-07-14,10.0,10.0,1
2020-07-15,6.0,6.0,1
2020-07-16,5.0,5.0,1
2020-07-17,10.0,10.0,1
2020-07-18,8.0,8.0,1
2020-07-19,7.0,7.0,1
2020-07-20,7.0,7.0,1
2020-07-21,7.0,7.0,1
2020-07-22,3.0,3.0,1
2020-07-23,7.0,7.0,1
2020-07-24,6.0,6.0,1
2020-07-25,7.0,7.0,1
2020-07-26,7.0,7.0,1
2020-07-27,4.0,4.0,1
2020-07-28,7.0,7.0,1
2020-07-29,4.0,4.0,1
2020-07-30,9.0,9.0,1
2020-07-31,12.0,12.0,1
2020-08-01,11.0,11.0,1
2020-08-02,10.0,10.0,1
2020-08-03,8.0,8.0,1
2020-08-04,13.0,13.0,1
2020-08-05,7.0,7.0,1
2020-08-06,4.0,4.0,1
2020-08-07,6.0,6.0,1
2020-08-08,6.0,6.0,1
2020-08-09,8.0,8.0,1
2020-08-10,5.0,5.0,1
2020-08-11,30.0,30.0,1
2020-08-12,11.0,11.0,1
2020-08-13,6.0,6.0,1
2020-08-14,4.0,4.0,1
2020-08-15,12.0,12.0,1
2020-08-16,12.0,12.0,1
2020-08-17,4.0,4.0,1
2020-08-18,8.0,8.0,1
2020-08-19,6.0,6.0,1
2020-08-20,5.0,5.0,1
2020-08-21,7.0,7.0,1
2020-08-22,20.0,20.0,1
2020-08-23,5.0,5.0,1
2020-08-24,7.0,7.0,1
2020-08-25,4.0,4.0,1
2020-08-26,3.0,3.0,1
2020-08-27,5.0,5.0,1
2020-08-28,6.0,6.0,1
2020-08-29,2.0,2.0,1
2020-08-30,8.0,8.0,1
2020-08-31,10.0,10.0,1
2020-09-01,5.0,5.0,1
2020-09-02,5.0,5.0,1
2020-09-03,5.0,5.0,1
2020-09-04,4.0,4.0,1
2020-09-05,2.0,2.0,1
2020-09-06,5.0,5.0,1
2020-09-07,8.0,8.0,1
2020-09-08,4.0,4.0,1
2020-09-09,8.0,8.0,1
2020-09-10,8.0,8.0,1
2020-09-11,13.0,13.0,1
2020-09-12,11.0,11.0,1
2020-09-13,12.0,12.0,1
2020-09-14,5.0,5.0,1
2020-09-15,3.0,3.0,1
2020-09-16,5.0,5.0,1
2020-09-17,12.0,12.0,1
2020-09-18,17.0,17.0,1
2020-09-19,12.0,12.0,1
2020-09-20,11.0,11.0,1
2020-09-21,12.0,12.0,1
2020-09-22,19.0,19.0,1
2020-09-23,8.0,8.0,1
2020-09-24,14.0,14.0,1
2020-09-25,15.0,15.0,1
2020-09-26,12.0,12.0,1
2020-09-27,12.0,12.0,1
2020-09-28,17.0,17.0,1
2020-09-29,24.0,24.0,1
2020-09-30,11.0,11.0,1
2020-10-01,8.0,8.0,1
2020-10-02,9.0,9.0,1
2020-10-03,8.0,8.0,1
2020-10-04,10.0,10.0,1
2020-10-05,7.0,7.0,1
2020-10-06,8.0,8.0,1
2020-10-07,6.0,6.0,1
2020-10-08,11.0,11.0,1
2020-10-09,8.0,8.0,1
2020-10-10,10.0,10.0,1
2020-10-11,7.0,7.0,1
2020-10-12,10.0,10.0,1
2020-10-13,12.0,12.0,1
2020-10-14,16.0,16.0,1
2020-10-15,13.0,13.0,1
2020-10-16,15.0,15.0,1
2020-10-17,8.0,8.0,1
2020-10-18,11.0,11.0,1
2020-10-19,15.0,15.0,1
2020-10-20,13.0,13.0,1
2020-10-21,13.0,13.0,1
2020-10-22,10.0,10.0,1
2020-10-23,9.0,9.0,1
2020-10-24,13.0,13.0,1
2020-10-25,10.0,10.0,1
2020-10-26,8.0,8.0,1
2020-10-27,11.0,11.0,1
2020-09-28,43.0,43.0,2
2020-09-29,81.0,81.0,2
2020-09-30,37.0,37.0,2
2020-10-01,34.0,34.0,2
2020-10-02,26.0,26.0,2
2020-10-03,16.0,16.0,2
2020-10-04,35.0,35.0,2
2020-10-05,27.0,27.0,2
2020-10-06,24.0,24.0,2
2020-10-07,26.0,26.0,2
2020-10-08,27.0,27.0,2
2020-10-09,30.0,30.0,2
2020-10-10,20.0,20.0,2
2020-10-11,43.0,43.0,2
2020-10-12,54.0,54.0,2
2020-10-13,47.0,47.0,2
2020-10-14,46.0,46.0,2
2020-10-15,48.0,48.0,2
2020-10-16,34.0,34.0,2
2020-10-17,36.0,36.0,2
2020-10-18,42.0,42.0,2
2020-10-19,43.0,43.0,2
2020-10-20,27.0,27.0,2
2020-10-21,30.0,30.0,2
2020-10-22,41.0,41.0,2
2020-10-23,24.0,24.0,2
2020-10-24,29.0,29.0,2
2020-10-25,39.0,39.0,2
2020-10-26,23.0,23.0,2
2020-10-27,39.0,39.0,2
2020-10-28,40.0,40.0,2
2020-10-29,44.0,44.0,2
2020-10-30,46.0,46.0,2
2020-10-31,79.0,79.0,2
2020-11-01,67.0,67.0,2
2020-11-02,48.0,48.0,2
2020-11-03,37.0,37.0,2
