date,/m/0hn9s_0,/m/0hn9s,batch_id
2020-02-01,13.0,13.0,1
2020-02-02,12.0,12.0,1
2020-02-03,13.0,13.0,1
2020-02-04,12.0,12.0,1
2020-02-05,10.0,10.0,1
2020-02-06,11.0,11.0,1
2020-02-07,12.0,12.0,1
2020-02-08,9.0,9.0,1
2020-02-09,6.0,6.0,1
2020-02-10,8.0,8.0,1
2020-02-11,7.0,7.0,1
2020-02-12,9.0,9.0,1
2020-02-13,7.0,7.0,1
2020-02-14,7.0,7.0,1
2020-02-15,7.0,7.0,1
2020-02-16,6.0,6.0,1
2020-02-17,7.0,7.0,1
2020-02-18,5.0,5.0,1
2020-02-19,7.0,7.0,1
2020-02-20,6.0,6.0,1
2020-02-21,6.0,6.0,1
2020-02-22,9.0,9.0,1
2020-02-23,23.0,23.0,1
2020-02-24,18.0,18.0,1
2020-02-25,25.0,25.0,1
2020-02-26,21.0,21.0,1
2020-02-27,26.0,26.0,1
2020-02-28,31.0,31.0,1
2020-02-29,36.0,36.0,1
2020-03-01,35.0,35.0,1
2020-03-02,46.0,46.0,1
2020-03-03,44.0,44.0,1
2020-03-04,37.0,37.0,1
2020-03-05,53.0,53.0,1
2020-03-06,44.0,44.0,1
2020-03-07,30.0,30.0,1
2020-03-08,35.0,35.0,1
2020-03-09,35.0,35.0,1
2020-03-10,35.0,35.0,1
2020-03-11,55.0,55.0,1
2020-03-12,67.0,67.0,1
2020-03-13,85.0,85.0,1
2020-03-14,88.0,88.0,1
2020-03-15,100.0,100.0,1
2020-03-16,73.0,73.0,1
2020-03-17,57.0,57.0,1
2020-03-18,60.0,60.0,1
2020-03-19,54.0,54.0,1
2020-03-20,55.0,55.0,1
2020-03-21,68.0,68.0,1
2020-03-22,63.0,63.0,1
2020-03-23,45.0,45.0,1
2020-03-24,44.0,44.0,1
2020-03-25,47.0,47.0,1
2020-03-26,48.0,48.0,1
2020-03-27,49.0,49.0,1
2020-03-28,51.0,51.0,1
2020-03-29,45.0,45.0,1
2020-03-30,44.0,44.0,1
2020-03-31,36.0,36.0,1
2020-04-01,36.0,36.0,1
2020-04-02,31.0,31.0,1
2020-04-03,28.0,28.0,1
2020-04-04,30.0,30.0,1
2020-04-05,31.0,31.0,1
2020-04-06,22.0,22.0,1
2020-04-07,26.0,26.0,1
2020-04-08,19.0,19.0,1
2020-04-09,21.0,21.0,1
2020-04-10,19.0,19.0,1
2020-04-11,22.0,22.0,1
2020-04-12,21.0,21.0,1
2020-04-13,22.0,22.0,1
2020-04-14,18.0,18.0,1
2020-04-15,23.0,23.0,1
2020-04-16,16.0,16.0,1
2020-04-17,12.0,12.0,1
2020-04-18,13.0,13.0,1
2020-04-19,17.0,17.0,1
2020-04-20,13.0,13.0,1
2020-04-21,14.0,14.0,1
2020-04-22,12.0,12.0,1
2020-04-23,11.0,11.0,1
2020-04-24,10.0,10.0,1
2020-04-25,11.0,11.0,1
2020-04-26,8.0,8.0,1
2020-04-27,10.0,10.0,1
2020-04-28,14.0,14.0,1
2020-04-29,12.0,12.0,1
2020-04-30,14.0,14.0,1
2020-05-01,13.0,13.0,1
2020-05-02,18.0,18.0,1
2020-05-03,17.0,17.0,1
2020-05-04,11.0,11.0,1
2020-05-05,12.0,12.0,1
2020-05-06,11.0,11.0,1
2020-05-07,13.0,13.0,1
2020-05-08,8.0,8.0,1
2020-05-09,12.0,12.0,1
2020-05-10,14.0,14.0,1
2020-05-11,12.0,12.0,1
2020-05-12,9.0,9.0,1
2020-05-13,17.0,17.0,1
2020-05-14,14.0,14.0,1
2020-05-15,10.0,10.0,1
2020-05-16,11.0,11.0,1
2020-05-17,12.0,12.0,1
2020-05-18,7.0,7.0,1
2020-05-19,9.0,9.0,1
2020-05-20,9.0,9.0,1
2020-05-21,8.0,8.0,1
2020-05-22,9.0,9.0,1
2020-05-23,5.0,5.0,1
2020-05-24,11.0,11.0,1
2020-05-25,8.0,8.0,1
2020-05-26,8.0,8.0,1
2020-05-27,7.0,7.0,1
2020-05-28,6.0,6.0,1
2020-05-29,5.0,5.0,1
2020-05-30,4.0,4.0,1
2020-05-31,7.0,7.0,1
2020-06-01,7.0,7.0,1
2020-06-02,5.0,5.0,1
