date,/m/0lbt3_0,/m/0lbt3,batch_id
2020-02-01,17.0,17.0,1
2020-02-02,10.0,10.0,1
2020-02-03,12.0,12.0,1
2020-02-04,13.0,13.0,1
2020-02-05,17.0,17.0,1
2020-02-06,4.0,4.0,1
2020-02-07,28.0,28.0,1
2020-02-08,4.0,4.0,1
2020-02-09,8.0,8.0,1
2020-02-10,14.0,14.0,1
2020-02-11,24.0,24.0,1
2020-02-12,15.0,15.0,1
2020-02-13,17.0,17.0,1
2020-02-14,18.0,18.0,1
2020-02-15,28.0,28.0,1
2020-02-16,12.0,12.0,1
2020-02-17,5.0,5.0,1
2020-02-18,9.0,9.0,1
2020-02-19,9.0,9.0,1
2020-02-20,23.0,23.0,1
2020-02-21,10.0,10.0,1
2020-02-22,9.0,9.0,1
2020-02-23,12.0,12.0,1
2020-02-24,18.0,18.0,1
2020-02-25,15.0,15.0,1
2020-02-26,15.0,15.0,1
2020-02-27,20.0,20.0,1
2020-02-28,14.0,14.0,1
2020-02-29,15.0,15.0,1
2020-03-01,26.0,26.0,1
2020-03-02,12.0,12.0,1
2020-03-03,25.0,25.0,1
2020-03-04,5.0,5.0,1
2020-03-05,20.0,20.0,1
2020-03-06,8.0,8.0,1
2020-03-07,13.0,13.0,1
2020-03-08,4.0,4.0,1
2020-03-09,5.0,5.0,1
2020-03-10,14.0,14.0,1
2020-03-11,19.0,19.0,1
2020-03-12,22.0,22.0,1
2020-03-13,8.0,8.0,1
2020-03-14,61.0,61.0,1
2020-03-15,57.0,57.0,1
2020-03-16,100.0,100.0,1
2020-03-17,100.0,100.0,1
2020-03-18,49.0,49.0,1
2020-03-19,27.0,27.0,1
2020-03-20,39.0,39.0,1
2020-03-21,59.0,59.0,1
2020-03-22,24.0,24.0,1
2020-03-23,31.0,31.0,1
2020-03-24,28.0,28.0,1
2020-03-25,24.0,24.0,1
2020-03-26,23.0,23.0,1
2020-03-27,23.0,23.0,1
2020-03-28,22.0,22.0,1
2020-03-29,19.0,19.0,1
2020-03-30,18.0,18.0,1
2020-03-31,17.0,17.0,1
2020-04-01,17.0,17.0,1
2020-04-02,22.0,22.0,1
2020-04-03,19.0,19.0,1
2020-04-04,14.0,14.0,1
2020-04-05,15.0,15.0,1
2020-04-06,5.0,5.0,1
2020-04-07,12.0,12.0,1
2020-04-08,18.0,18.0,1
2020-04-09,2.0,2.0,1
2020-04-10,7.0,7.0,1
2020-04-11,4.0,4.0,1
2020-04-12,6.0,6.0,1
2020-04-13,23.0,23.0,1
2020-04-14,13.0,13.0,1
2020-04-15,19.0,19.0,1
2020-04-16,11.0,11.0,1
2020-04-17,21.0,21.0,1
2020-04-18,16.0,16.0,1
2020-04-19,11.0,11.0,1
2020-04-20,15.0,15.0,1
2020-04-21,7.0,7.0,1
2020-04-22,19.0,19.0,1
2020-04-23,8.0,8.0,1
2020-04-24,5.0,5.0,1
2020-04-25,12.0,12.0,1
2020-04-26,8.0,8.0,1
2020-04-27,7.0,7.0,1
2020-04-28,8.0,8.0,1
2020-04-29,5.0,5.0,1
2020-04-30,14.0,14.0,1
2020-05-01,10.0,10.0,1
2020-05-02,9.0,9.0,1
2020-05-03,13.0,13.0,1
2020-05-04,16.0,16.0,1
2020-05-05,11.0,11.0,1
2020-05-06,13.0,13.0,1
2020-05-07,10.0,10.0,1
2020-05-08,4.0,4.0,1
2020-05-09,14.0,14.0,1
2020-05-10,9.0,9.0,1
2020-05-11,5.0,5.0,1
2020-05-12,11.0,11.0,1
2020-05-13,12.0,12.0,1
2020-05-14,10.0,10.0,1
2020-05-15,9.0,9.0,1
2020-05-16,12.0,12.0,1
2020-05-17,8.0,8.0,1
2020-05-18,7.0,7.0,1
2020-05-19,10.0,10.0,1
2020-05-20,5.0,5.0,1
2020-05-21,8.0,8.0,1
2020-05-22,17.0,17.0,1
2020-05-23,11.0,11.0,1
2020-05-24,13.0,13.0,1
2020-05-25,3.0,3.0,1
2020-05-26,7.0,7.0,1
2020-05-27,10.0,10.0,1
2020-05-28,12.0,12.0,1
2020-05-29,9.0,9.0,1
2020-05-30,4.0,4.0,1
2020-05-31,20.0,20.0,1
2020-06-01,6.0,6.0,1
2020-06-02,3.0,3.0,1
2020-06-03,9.0,9.0,1
2020-06-04,7.0,7.0,1
2020-06-05,15.0,15.0,1
2020-06-06,16.0,16.0,1
2020-06-07,7.0,7.0,1
2020-06-08,13.0,13.0,1
2020-06-09,6.0,6.0,1
2020-06-10,8.0,8.0,1
2020-06-11,11.0,11.0,1
2020-06-12,15.0,15.0,1
2020-06-13,20.0,20.0,1
2020-06-14,10.0,10.0,1
2020-06-15,6.0,6.0,1
2020-06-16,5.0,5.0,1
2020-06-17,2.0,2.0,1
2020-06-18,5.0,5.0,1
2020-06-19,16.0,16.0,1
2020-06-20,4.0,4.0,1
2020-06-21,11.0,11.0,1
2020-06-22,12.0,12.0,1
2020-06-23,11.0,11.0,1
2020-06-24,9.0,9.0,1
2020-06-25,16.0,16.0,1
2020-06-26,7.0,7.0,1
2020-06-27,10.0,10.0,1
2020-06-28,17.0,17.0,1
2020-06-29,13.0,13.0,1
2020-06-30,3.0,3.0,1
2020-07-01,15.0,15.0,1
2020-07-02,9.0,9.0,1
2020-07-03,4.0,4.0,1
2020-07-04,6.0,6.0,1
2020-07-05,14.0,14.0,1
2020-07-06,12.0,12.0,1
2020-07-07,13.0,13.0,1
2020-07-08,12.0,12.0,1
2020-07-09,6.0,6.0,1
2020-07-10,29.0,29.0,1
2020-07-11,18.0,18.0,1
2020-07-12,18.0,18.0,1
2020-07-13,21.0,21.0,1
2020-07-14,18.0,18.0,1
2020-07-15,17.0,17.0,1
2020-07-16,7.0,7.0,1
2020-07-17,14.0,14.0,1
2020-07-18,10.0,10.0,1
2020-07-19,9.0,9.0,1
2020-07-20,12.0,12.0,1
2020-07-21,11.0,11.0,1
2020-07-22,12.0,12.0,1
2020-07-23,10.0,10.0,1
2020-07-24,14.0,14.0,1
2020-07-25,15.0,15.0,1
2020-07-26,11.0,11.0,1
2020-07-27,11.0,11.0,1
2020-07-28,6.0,6.0,1
2020-07-29,10.0,10.0,1
2020-07-30,12.0,12.0,1
2020-07-31,6.0,6.0,1
2020-08-01,8.0,8.0,1
2020-08-02,10.0,10.0,1
2020-08-03,5.0,5.0,1
2020-08-04,4.0,4.0,1
2020-08-05,13.0,13.0,1
2020-08-06,8.0,8.0,1
2020-08-07,8.0,8.0,1
2020-08-08,15.0,15.0,1
2020-08-09,4.0,4.0,1
2020-08-10,14.0,14.0,1
2020-08-11,18.0,18.0,1
2020-08-12,11.0,11.0,1
2020-08-13,7.0,7.0,1
2020-08-14,13.0,13.0,1
2020-08-15,9.0,9.0,1
2020-08-16,6.0,6.0,1
2020-08-17,0.0,0.0,1
2020-08-18,16.0,16.0,1
2020-08-19,11.0,11.0,1
