date,/m/0hn9s_0,/m/0hn9s,batch_id
2020-02-01,23.0,23.0,1
2020-02-02,11.0,11.0,1
2020-02-03,34.0,34.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,12.0,12.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,0.0,0.0,1
2020-02-13,0.0,0.0,1
2020-02-14,0.0,0.0,1
2020-02-15,12.0,12.0,1
2020-02-16,0.0,0.0,1
2020-02-17,0.0,0.0,1
2020-02-18,10.0,10.0,1
2020-02-19,10.0,10.0,1
2020-02-20,10.0,10.0,1
2020-02-21,0.0,0.0,1
2020-02-22,0.0,0.0,1
2020-02-23,10.0,10.0,1
2020-02-24,0.0,0.0,1
2020-02-25,10.0,10.0,1
2020-02-26,9.0,9.0,1
2020-02-27,10.0,10.0,1
2020-02-28,10.0,10.0,1
2020-02-29,0.0,0.0,1
2020-03-01,9.0,9.0,1
2020-03-02,0.0,0.0,1
2020-03-03,0.0,0.0,1
2020-03-04,10.0,10.0,1
2020-03-05,0.0,0.0,1
2020-03-06,30.0,30.0,1
2020-03-07,11.0,11.0,1
2020-03-08,21.0,21.0,1
2020-03-09,9.0,9.0,1
2020-03-10,19.0,19.0,1
2020-03-11,100.0,100.0,1
2020-03-12,75.0,75.0,1
2020-03-13,48.0,48.0,1
2020-03-14,43.0,43.0,1
2020-03-15,40.0,40.0,1
2020-03-16,72.0,72.0,1
2020-03-17,56.0,56.0,1
2020-03-18,10.0,10.0,1
2020-03-19,77.0,77.0,1
2020-03-20,28.0,28.0,1
2020-03-21,9.0,9.0,1
2020-03-22,18.0,18.0,1
2020-03-23,16.0,16.0,1
2020-03-24,9.0,9.0,1
2020-03-25,35.0,35.0,1
2020-03-26,27.0,27.0,1
2020-03-27,27.0,27.0,1
2020-03-28,22.0,22.0,1
2020-03-29,39.0,39.0,1
2020-03-30,41.0,41.0,1
2020-03-31,25.0,25.0,1
2020-04-01,17.0,17.0,1
2020-04-02,9.0,9.0,1
2020-04-03,47.0,47.0,1
2020-04-04,69.0,69.0,1
2020-04-05,21.0,21.0,1
2020-04-06,26.0,26.0,1
2020-04-07,10.0,10.0,1
2020-04-08,38.0,38.0,1
2020-04-09,21.0,21.0,1
2020-04-10,0.0,0.0,1
2020-04-11,57.0,57.0,1
2020-04-12,0.0,0.0,1
2020-04-13,0.0,0.0,1
2020-04-14,0.0,0.0,1
2020-04-15,18.0,18.0,1
2020-04-16,9.0,9.0,1
2020-04-17,10.0,10.0,1
2020-04-18,12.0,12.0,1
2020-04-19,9.0,9.0,1
2020-04-20,0.0,0.0,1
2020-04-21,0.0,0.0,1
2020-04-22,19.0,19.0,1
2020-04-23,0.0,0.0,1
2020-04-24,30.0,30.0,1
2020-04-25,0.0,0.0,1
2020-04-26,10.0,10.0,1
2020-04-27,9.0,9.0,1
2020-04-28,0.0,0.0,1
