date,/m/01cdt5_0,/m/01cdt5,batch_id
2020-02-01,26.0,26.0,1
2020-02-02,52.0,52.0,1
2020-02-03,31.0,31.0,1
2020-02-04,25.0,25.0,1
2020-02-05,30.0,30.0,1
2020-02-06,26.0,26.0,1
2020-02-07,27.0,27.0,1
2020-02-08,24.0,24.0,1
2020-02-09,19.0,19.0,1
2020-02-10,43.0,43.0,1
2020-02-11,22.0,22.0,1
2020-02-12,21.0,21.0,1
2020-02-13,27.0,27.0,1
2020-02-14,20.0,20.0,1
2020-02-15,40.0,40.0,1
2020-02-16,9.0,9.0,1
2020-02-17,25.0,25.0,1
2020-02-18,21.0,21.0,1
2020-02-19,28.0,28.0,1
2020-02-20,26.0,26.0,1
2020-02-21,20.0,20.0,1
2020-02-22,20.0,20.0,1
2020-02-23,25.0,25.0,1
2020-02-24,29.0,29.0,1
2020-02-25,47.0,47.0,1
2020-02-26,30.0,30.0,1
2020-02-27,33.0,33.0,1
2020-02-28,24.0,24.0,1
2020-02-29,28.0,28.0,1
2020-03-01,47.0,47.0,1
2020-03-02,33.0,33.0,1
2020-03-03,33.0,33.0,1
2020-03-04,31.0,31.0,1
2020-03-05,21.0,21.0,1
2020-03-06,34.0,34.0,1
2020-03-07,44.0,44.0,1
2020-03-08,40.0,40.0,1
2020-03-09,54.0,54.0,1
2020-03-10,36.0,36.0,1
2020-03-11,42.0,42.0,1
2020-03-12,53.0,53.0,1
2020-03-13,67.0,67.0,1
2020-03-14,85.0,85.0,1
2020-03-15,78.0,78.0,1
2020-03-16,52.0,52.0,1
2020-03-17,60.0,60.0,1
2020-03-18,68.0,68.0,1
2020-03-19,81.0,81.0,1
2020-03-20,78.0,78.0,1
2020-03-21,100.0,100.0,1
2020-03-22,65.0,65.0,1
2020-03-23,77.0,77.0,1
2020-03-24,74.0,74.0,1
2020-03-25,66.0,66.0,1
2020-03-26,50.0,50.0,1
2020-03-27,68.0,68.0,1
2020-03-28,58.0,58.0,1
2020-03-29,78.0,78.0,1
2020-03-30,60.0,60.0,1
2020-03-31,60.0,60.0,1
