date,/m/0cjf0_0,/m/0cjf0,batch_id
2020-02-01,15.0,15.0,1
2020-02-02,18.0,18.0,1
2020-02-03,18.0,18.0,1
2020-02-04,13.0,13.0,1
2020-02-05,13.0,13.0,1
2020-02-06,14.0,14.0,1
2020-02-07,16.0,16.0,1
2020-02-08,15.0,15.0,1
2020-02-09,11.0,11.0,1
2020-02-10,15.0,15.0,1
2020-02-11,12.0,12.0,1
2020-02-12,17.0,17.0,1
2020-02-13,14.0,14.0,1
2020-02-14,13.0,13.0,1
2020-02-15,14.0,14.0,1
2020-02-16,12.0,12.0,1
2020-02-17,10.0,10.0,1
2020-02-18,14.0,14.0,1
2020-02-19,17.0,17.0,1
2020-02-20,15.0,15.0,1
2020-02-21,13.0,13.0,1
2020-02-22,10.0,10.0,1
2020-02-23,12.0,12.0,1
2020-02-24,11.0,11.0,1
2020-02-25,17.0,17.0,1
2020-02-26,18.0,18.0,1
2020-02-27,20.0,20.0,1
2020-02-28,18.0,18.0,1
2020-02-29,16.0,16.0,1
2020-03-01,16.0,16.0,1
2020-03-02,22.0,22.0,1
2020-03-03,19.0,19.0,1
2020-03-04,18.0,18.0,1
2020-03-05,21.0,21.0,1
2020-03-06,20.0,20.0,1
2020-03-07,22.0,22.0,1
2020-03-08,24.0,24.0,1
2020-03-09,29.0,29.0,1
2020-03-10,40.0,40.0,1
2020-03-11,44.0,44.0,1
2020-03-12,60.0,60.0,1
2020-03-13,77.0,77.0,1
2020-03-14,74.0,74.0,1
2020-03-15,76.0,76.0,1
2020-03-16,100.0,100.0,1
2020-03-17,98.0,98.0,1
2020-03-18,84.0,84.0,1
2020-03-19,64.0,64.0,1
2020-03-20,64.0,64.0,1
2020-03-21,59.0,59.0,1
2020-03-22,62.0,62.0,1
2020-03-23,52.0,52.0,1
2020-03-24,51.0,51.0,1
2020-03-25,56.0,56.0,1
2020-03-26,51.0,51.0,1
2020-03-27,54.0,54.0,1
2020-03-28,51.0,51.0,1
2020-03-29,43.0,43.0,1
2020-03-30,38.0,38.0,1
2020-03-31,34.0,34.0,1
2020-04-01,30.0,30.0,1
2020-04-02,35.0,35.0,1
2020-04-03,31.0,31.0,1
2020-04-04,37.0,37.0,1
2020-04-05,37.0,37.0,1
2020-04-06,37.0,37.0,1
2020-04-07,27.0,27.0,1
2020-04-08,29.0,29.0,1
2020-04-09,21.0,21.0,1
2020-04-10,24.0,24.0,1
2020-04-11,19.0,19.0,1
2020-04-12,19.0,19.0,1
2020-04-13,20.0,20.0,1
2020-04-14,23.0,23.0,1
2020-04-15,23.0,23.0,1
2020-04-16,18.0,18.0,1
2020-04-17,15.0,15.0,1
2020-04-18,17.0,17.0,1
2020-04-19,15.0,15.0,1
2020-04-20,16.0,16.0,1
