date,/m/0hn9s_0,/m/0hn9s,batch_id
2020-02-01,11.0,11.0,1
2020-02-02,15.0,15.0,1
2020-02-03,10.0,10.0,1
2020-02-04,17.0,17.0,1
2020-02-05,4.0,4.0,1
2020-02-06,0.0,0.0,1
2020-02-07,7.0,7.0,1
2020-02-08,7.0,7.0,1
2020-02-09,11.0,11.0,1
2020-02-10,14.0,14.0,1
2020-02-11,4.0,4.0,1
2020-02-12,8.0,8.0,1
2020-02-13,8.0,8.0,1
2020-02-14,11.0,11.0,1
2020-02-15,7.0,7.0,1
2020-02-16,6.0,6.0,1
2020-02-17,8.0,8.0,1
2020-02-18,2.0,2.0,1
2020-02-19,4.0,4.0,1
2020-02-20,4.0,4.0,1
2020-02-21,2.0,2.0,1
2020-02-22,7.0,7.0,1
2020-02-23,19.0,19.0,1
2020-02-24,25.0,25.0,1
2020-02-25,32.0,32.0,1
2020-02-26,13.0,13.0,1
2020-02-27,15.0,15.0,1
2020-02-28,21.0,21.0,1
2020-02-29,40.0,40.0,1
2020-03-01,38.0,38.0,1
2020-03-02,18.0,18.0,1
2020-03-03,38.0,38.0,1
2020-03-04,38.0,38.0,1
2020-03-05,46.0,46.0,1
2020-03-06,40.0,40.0,1
2020-03-07,18.0,18.0,1
2020-03-08,40.0,40.0,1
2020-03-09,23.0,23.0,1
2020-03-10,28.0,28.0,1
2020-03-11,32.0,32.0,1
2020-03-12,57.0,57.0,1
2020-03-13,79.0,79.0,1
2020-03-14,78.0,78.0,1
2020-03-15,100.0,100.0,1
2020-03-16,66.0,66.0,1
2020-03-17,35.0,35.0,1
2020-03-18,58.0,58.0,1
2020-03-19,38.0,38.0,1
2020-03-20,50.0,50.0,1
2020-03-21,52.0,52.0,1
2020-03-22,61.0,61.0,1
2020-03-23,45.0,45.0,1
2020-03-24,43.0,43.0,1
2020-03-25,58.0,58.0,1
2020-03-26,40.0,40.0,1
2020-03-27,33.0,33.0,1
2020-03-28,39.0,39.0,1
2020-03-29,52.0,52.0,1
2020-03-30,33.0,33.0,1
2020-03-31,31.0,31.0,1
2020-04-01,27.0,27.0,1
2020-04-02,30.0,30.0,1
2020-04-03,29.0,29.0,1
2020-04-04,24.0,24.0,1
2020-04-05,18.0,18.0,1
2020-04-06,29.0,29.0,1
2020-04-07,22.0,22.0,1
2020-04-08,17.0,17.0,1
2020-04-09,17.0,17.0,1
2020-04-10,15.0,15.0,1
2020-04-11,17.0,17.0,1
2020-04-12,23.0,23.0,1
2020-04-13,14.0,14.0,1
2020-04-14,16.0,16.0,1
2020-04-15,19.0,19.0,1
2020-04-16,21.0,21.0,1
2020-04-17,11.0,11.0,1
2020-04-18,13.0,13.0,1
2020-04-19,6.0,6.0,1
2020-04-20,13.0,13.0,1
2020-04-21,8.0,8.0,1
2020-04-22,8.0,8.0,1
2020-04-23,19.0,19.0,1
2020-04-24,6.0,6.0,1
2020-04-25,4.0,4.0,1
2020-04-26,8.0,8.0,1
2020-04-27,9.0,9.0,1
2020-04-28,13.0,13.0,1
2020-04-29,13.0,13.0,1
2020-04-30,7.0,7.0,1
2020-05-01,17.0,17.0,1
2020-05-02,15.0,15.0,1
2020-05-03,23.0,23.0,1
2020-05-04,6.0,6.0,1
2020-05-05,19.0,19.0,1
2020-05-06,7.0,7.0,1
2020-05-07,15.0,15.0,1
2020-05-08,10.0,10.0,1
2020-05-09,8.0,8.0,1
2020-05-10,2.0,2.0,1
2020-05-11,15.0,15.0,1
2020-05-12,13.0,13.0,1
2020-05-13,15.0,15.0,1
