date,/m/01c751_0,/m/01c751,batch_id
2020-02-01,13.0,13.0,1
2020-02-02,7.0,7.0,1
2020-02-03,10.0,10.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,12.0,12.0,1
2020-02-07,12.0,12.0,1
2020-02-08,6.0,6.0,1
2020-02-09,0.0,0.0,1
2020-02-10,16.0,16.0,1
2020-02-11,5.0,5.0,1
2020-02-12,5.0,5.0,1
2020-02-13,6.0,6.0,1
2020-02-14,0.0,0.0,1
2020-02-15,0.0,0.0,1
2020-02-16,0.0,0.0,1
2020-02-17,0.0,0.0,1
2020-02-18,0.0,0.0,1
2020-02-19,6.0,6.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,0.0,0.0,1
2020-02-23,13.0,13.0,1
2020-02-24,6.0,6.0,1
2020-02-25,24.0,24.0,1
2020-02-26,61.0,61.0,1
2020-02-27,10.0,10.0,1
2020-02-28,17.0,17.0,1
2020-02-29,13.0,13.0,1
2020-03-01,6.0,6.0,1
2020-03-02,15.0,15.0,1
2020-03-03,5.0,5.0,1
2020-03-04,21.0,21.0,1
2020-03-05,10.0,10.0,1
2020-03-06,11.0,11.0,1
2020-03-07,6.0,6.0,1
2020-03-08,6.0,6.0,1
2020-03-09,15.0,15.0,1
2020-03-10,21.0,21.0,1
2020-03-11,60.0,60.0,1
2020-03-12,94.0,94.0,1
2020-03-13,72.0,72.0,1
2020-03-14,92.0,92.0,1
2020-03-15,98.0,98.0,1
2020-03-16,75.0,75.0,1
2020-03-17,40.0,40.0,1
2020-03-18,80.0,80.0,1
2020-03-19,40.0,40.0,1
2020-03-20,19.0,19.0,1
2020-03-21,67.0,67.0,1
2020-03-22,79.0,79.0,1
2020-03-23,37.0,37.0,1
2020-03-24,100.0,100.0,1
2020-03-25,50.0,50.0,1
2020-03-26,25.0,25.0,1
2020-03-27,20.0,20.0,1
2020-03-28,61.0,61.0,1
2020-03-29,99.0,99.0,1
2020-03-30,57.0,57.0,1
2020-03-31,9.0,9.0,1
2020-04-01,53.0,53.0,1
2020-04-02,35.0,35.0,1
2020-04-03,26.0,26.0,1
2020-04-04,36.0,36.0,1
2020-04-05,61.0,61.0,1
2020-04-06,52.0,52.0,1
2020-04-07,30.0,30.0,1
2020-04-08,25.0,25.0,1
2020-04-09,25.0,25.0,1
2020-04-10,17.0,17.0,1
2020-04-11,24.0,24.0,1
2020-04-12,36.0,36.0,1
