date,/m/0fd23_0,/m/0fd23,batch_id
2020-02-01,26.0,26.0,1
2020-02-02,0.0,0.0,1
2020-02-03,36.0,36.0,1
2020-02-04,47.0,47.0,1
2020-02-05,24.0,24.0,1
2020-02-06,16.0,16.0,1
2020-02-07,25.0,25.0,1
2020-02-08,35.0,35.0,1
2020-02-09,59.0,59.0,1
2020-02-10,39.0,39.0,1
2020-02-11,38.0,38.0,1
2020-02-12,23.0,23.0,1
2020-02-13,8.0,8.0,1
2020-02-14,41.0,41.0,1
2020-02-15,18.0,18.0,1
2020-02-16,17.0,17.0,1
2020-02-17,23.0,23.0,1
2020-02-18,31.0,31.0,1
2020-02-19,77.0,77.0,1
2020-02-20,56.0,56.0,1
2020-02-21,66.0,66.0,1
2020-02-22,45.0,45.0,1
2020-02-23,71.0,71.0,1
2020-02-24,23.0,23.0,1
2020-02-25,75.0,75.0,1
2020-02-26,51.0,51.0,1
2020-02-27,51.0,51.0,1
2020-02-28,40.0,40.0,1
2020-02-29,55.0,55.0,1
2020-03-01,8.0,8.0,1
2020-03-02,35.0,35.0,1
2020-03-03,53.0,53.0,1
2020-03-04,29.0,29.0,1
2020-03-05,15.0,15.0,1
2020-03-06,31.0,31.0,1
2020-03-07,42.0,42.0,1
2020-03-08,32.0,32.0,1
2020-03-09,22.0,22.0,1
2020-03-10,38.0,38.0,1
2020-03-11,52.0,52.0,1
2020-03-12,51.0,51.0,1
2020-03-13,63.0,63.0,1
2020-03-14,25.0,25.0,1
2020-03-15,22.0,22.0,1
2020-03-16,13.0,13.0,1
2020-03-17,39.0,39.0,1
2020-03-18,48.0,48.0,1
2020-03-19,28.0,28.0,1
2020-03-20,41.0,41.0,1
2020-03-21,39.0,39.0,1
2020-03-22,60.0,60.0,1
2020-03-23,53.0,53.0,1
2020-03-24,57.0,57.0,1
2020-03-25,58.0,58.0,1
2020-03-26,47.0,47.0,1
2020-03-27,25.0,25.0,1
2020-03-28,37.0,37.0,1
2020-03-29,45.0,45.0,1
2020-03-30,32.0,32.0,1
2020-03-31,50.0,50.0,1
2020-04-01,32.0,32.0,1
2020-04-02,58.0,58.0,1
2020-04-03,20.0,20.0,1
2020-04-04,69.0,69.0,1
2020-04-05,38.0,38.0,1
2020-04-06,100.0,100.0,1
2020-04-07,13.0,13.0,1
2020-04-08,66.0,66.0,1
2020-04-09,59.0,59.0,1
2020-04-10,54.0,54.0,1
2020-04-11,82.0,82.0,1
2020-04-12,54.0,54.0,1
2020-04-13,41.0,41.0,1
2020-04-14,54.0,54.0,1
2020-04-15,61.0,61.0,1
2020-04-16,61.0,61.0,1
2020-04-17,61.0,61.0,1
2020-04-18,15.0,15.0,1
2020-04-19,27.0,27.0,1
2020-04-20,43.0,43.0,1
