date,/g/11j4xt9hdf_0,/g/11j4xt9hdf,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,23.0,23.0,1
2020-02-03,19.0,19.0,1
2020-02-04,21.0,21.0,1
2020-02-05,14.0,14.0,1
2020-02-06,14.0,14.0,1
2020-02-07,30.0,30.0,1
2020-02-08,16.0,16.0,1
2020-02-09,0.0,0.0,1
2020-02-10,7.0,7.0,1
2020-02-11,20.0,20.0,1
2020-02-12,7.0,7.0,1
2020-02-13,27.0,27.0,1
2020-02-14,7.0,7.0,1
2020-02-15,8.0,8.0,1
2020-02-16,15.0,15.0,1
2020-02-17,7.0,7.0,1
2020-02-18,13.0,13.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,37.0,37.0,1
2020-02-22,16.0,16.0,1
2020-02-23,0.0,0.0,1
2020-02-24,14.0,14.0,1
2020-02-25,48.0,48.0,1
2020-02-26,47.0,47.0,1
2020-02-27,33.0,33.0,1
2020-02-28,36.0,36.0,1
2020-02-29,15.0,15.0,1
2020-03-01,44.0,44.0,1
2020-03-02,39.0,39.0,1
2020-03-03,20.0,20.0,1
2020-03-04,54.0,54.0,1
2020-03-05,27.0,27.0,1
2020-03-06,55.0,55.0,1
2020-03-07,48.0,48.0,1
2020-03-08,15.0,15.0,1
2020-03-09,32.0,32.0,1
2020-03-10,33.0,33.0,1
2020-03-11,32.0,32.0,1
2020-03-12,100.0,100.0,1
2020-03-13,91.0,91.0,1
2020-03-14,77.0,77.0,1
2020-03-15,68.0,68.0,1
2020-03-16,51.0,51.0,1
2020-03-17,51.0,51.0,1
2020-03-18,75.0,75.0,1
2020-03-19,66.0,66.0,1
2020-03-20,69.0,69.0,1
2020-03-21,59.0,59.0,1
2020-03-22,30.0,30.0,1
2020-03-23,54.0,54.0,1
2020-03-24,60.0,60.0,1
2020-03-25,54.0,54.0,1
2020-03-26,26.0,26.0,1
2020-03-27,67.0,67.0,1
2020-03-28,29.0,29.0,1
2020-03-29,35.0,35.0,1
2020-03-30,36.0,36.0,1
2020-03-31,31.0,31.0,1
2020-04-01,44.0,44.0,1
2020-04-02,18.0,18.0,1
2020-04-03,31.0,31.0,1
2020-04-04,61.0,61.0,1
2020-04-05,47.0,47.0,1
2020-04-06,13.0,13.0,1
2020-04-07,13.0,13.0,1
2020-04-08,27.0,27.0,1
2020-04-09,20.0,20.0,1
2020-04-10,20.0,20.0,1
2020-04-11,23.0,23.0,1
2020-04-12,22.0,22.0,1
2020-04-13,20.0,20.0,1
2020-04-14,37.0,37.0,1
2020-04-15,64.0,64.0,1
2020-04-16,26.0,26.0,1
2020-04-17,26.0,26.0,1
2020-04-18,13.0,13.0,1
2020-04-19,34.0,34.0,1
2020-04-20,18.0,18.0,1
2020-04-21,0.0,0.0,1
2020-04-22,0.0,0.0,1
2020-04-23,25.0,25.0,1
2020-04-24,44.0,44.0,1
2020-04-25,29.0,29.0,1
2020-04-26,36.0,36.0,1
2020-04-27,12.0,12.0,1
2020-04-28,6.0,6.0,1
2020-04-29,6.0,6.0,1
2020-04-30,11.0,11.0,1
2020-05-01,13.0,13.0,1
2020-05-02,7.0,7.0,1
2020-05-03,14.0,14.0,1
2020-05-04,12.0,12.0,1
2020-05-05,23.0,23.0,1
2020-05-06,19.0,19.0,1
2020-05-07,13.0,13.0,1
2020-05-08,7.0,7.0,1
2020-05-09,30.0,30.0,1
2020-05-10,27.0,27.0,1
2020-05-11,35.0,35.0,1
2020-05-12,6.0,6.0,1
2020-05-13,18.0,18.0,1
2020-05-14,12.0,12.0,1
2020-05-15,39.0,39.0,1
2020-05-16,15.0,15.0,1
2020-05-17,15.0,15.0,1
2020-05-18,0.0,0.0,1
2020-05-19,0.0,0.0,1
2020-05-20,32.0,32.0,1
2020-05-21,22.0,22.0,1
2020-05-22,13.0,13.0,1
2020-05-23,14.0,14.0,1
2020-05-24,20.0,20.0,1
2020-05-25,12.0,12.0,1
2020-05-26,6.0,6.0,1
2020-05-27,0.0,0.0,1
2020-05-28,19.0,19.0,1
2020-05-29,0.0,0.0,1
2020-05-30,15.0,15.0,1
2020-05-31,15.0,15.0,1
2020-06-01,27.0,27.0,1
2020-06-02,24.0,24.0,1
2020-06-03,11.0,11.0,1
2020-06-04,11.0,11.0,1
2020-06-05,11.0,11.0,1
2020-06-06,0.0,0.0,1
2020-06-07,0.0,0.0,1
2020-06-08,5.0,5.0,1
2020-06-09,6.0,6.0,1
2020-06-10,6.0,6.0,1
2020-06-11,0.0,0.0,1
2020-06-12,6.0,6.0,1
2020-06-13,7.0,7.0,1
2020-06-14,14.0,14.0,1
2020-06-15,18.0,18.0,1
2020-06-16,11.0,11.0,1
2020-06-17,12.0,12.0,1
2020-06-18,12.0,12.0,1
2020-06-19,13.0,13.0,1
2020-06-20,15.0,15.0,1
2020-06-21,0.0,0.0,1
2020-06-22,12.0,12.0,1
2020-06-23,7.0,7.0,1
2020-06-24,7.0,7.0,1
2020-06-25,0.0,0.0,1
2020-06-26,0.0,0.0,1
2020-06-27,7.0,7.0,1
2020-06-28,7.0,7.0,1
2020-06-29,0.0,0.0,1
2020-06-30,19.0,19.0,1
2020-07-01,6.0,6.0,1
2020-07-02,13.0,13.0,1
2020-07-03,0.0,0.0,1
2020-07-04,0.0,0.0,1
2020-07-05,7.0,7.0,1
2020-07-06,6.0,6.0,1
2020-07-07,13.0,13.0,1
2020-07-08,13.0,13.0,1
2020-07-09,27.0,27.0,1
2020-07-10,7.0,7.0,1
2020-07-11,0.0,0.0,1
2020-07-12,0.0,0.0,1
2020-07-13,7.0,7.0,1
2020-07-14,7.0,7.0,1
2020-07-15,0.0,0.0,1
2020-07-16,7.0,7.0,1
2020-07-17,0.0,0.0,1
2020-07-18,9.0,9.0,1
2020-07-19,8.0,8.0,1
2020-07-20,15.0,15.0,1
2020-07-21,0.0,0.0,1
2020-07-22,7.0,7.0,1
2020-07-23,30.0,30.0,1
2020-07-24,7.0,7.0,1
2020-07-25,8.0,8.0,1
2020-07-26,0.0,0.0,1
2020-07-27,20.0,20.0,1
2020-07-28,28.0,28.0,1
2020-07-29,15.0,15.0,1
2020-07-30,7.0,7.0,1
2020-07-31,0.0,0.0,1
2020-08-01,23.0,23.0,1
2020-08-02,8.0,8.0,1
2020-08-03,13.0,13.0,1
2020-08-04,0.0,0.0,1
2020-08-05,7.0,7.0,1
2020-08-06,7.0,7.0,1
2020-08-07,7.0,7.0,1
2020-08-08,8.0,8.0,1
2020-08-09,8.0,8.0,1
2020-08-10,7.0,7.0,1
2020-08-11,7.0,7.0,1
2020-08-12,7.0,7.0,1
2020-08-13,13.0,13.0,1
2020-08-14,0.0,0.0,1
2020-08-15,0.0,0.0,1
2020-08-16,7.0,7.0,1
2020-08-17,6.0,6.0,1
2020-08-18,7.0,7.0,1
2020-08-19,13.0,13.0,1
2020-08-20,14.0,14.0,1
2020-08-21,7.0,7.0,1
