date,/g/11j8_9sv06_0,/g/11j8_9sv06,batch_id
2020-02-01,34.0,34.0,1
2020-02-02,32.0,32.0,1
2020-02-03,30.0,30.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,0.0,0.0,1
2020-02-13,33.0,33.0,1
2020-02-14,0.0,0.0,1
2020-02-15,35.0,35.0,1
2020-02-16,34.0,34.0,1
2020-02-17,0.0,0.0,1
2020-02-18,0.0,0.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,0.0,0.0,1
2020-02-23,0.0,0.0,1
2020-02-24,0.0,0.0,1
2020-02-25,67.0,67.0,1
2020-02-26,33.0,33.0,1
2020-02-27,95.0,95.0,1
2020-02-28,33.0,33.0,1
2020-02-29,65.0,65.0,1
2020-03-01,0.0,0.0,1
2020-03-02,60.0,60.0,1
2020-03-03,0.0,0.0,1
2020-03-04,0.0,0.0,1
2020-03-05,0.0,0.0,1
2020-03-06,0.0,0.0,1
2020-03-07,0.0,0.0,1
2020-03-08,0.0,0.0,1
2020-03-09,0.0,0.0,1
2020-03-10,0.0,0.0,1
2020-03-11,0.0,0.0,1
2020-03-12,0.0,0.0,1
2020-03-13,0.0,0.0,1
2020-03-14,33.0,33.0,1
2020-03-15,30.0,30.0,1
2020-03-16,54.0,54.0,1
2020-03-17,0.0,0.0,1
2020-03-18,56.0,56.0,1
2020-03-19,87.0,87.0,1
2020-03-20,0.0,0.0,1
2020-03-21,0.0,0.0,1
2020-03-22,63.0,63.0,1
2020-03-23,25.0,25.0,1
2020-03-24,27.0,27.0,1
2020-03-25,0.0,0.0,1
2020-03-26,27.0,27.0,1
2020-03-27,26.0,26.0,1
2020-03-28,30.0,30.0,1
2020-03-29,29.0,29.0,1
2020-03-30,0.0,0.0,1
2020-03-31,26.0,26.0,1
2020-04-01,0.0,0.0,1
2020-04-02,25.0,25.0,1
2020-04-03,27.0,27.0,1
2020-04-04,0.0,0.0,1
2020-04-05,0.0,0.0,1
2020-04-06,0.0,0.0,1
2020-04-07,0.0,0.0,1
2020-04-08,0.0,0.0,1
2020-04-09,0.0,0.0,1
2020-04-10,0.0,0.0,1
2020-04-11,31.0,31.0,1
2020-04-12,61.0,61.0,1
2020-04-13,0.0,0.0,1
2020-04-14,27.0,27.0,1
2020-04-15,0.0,0.0,1
2020-04-16,0.0,0.0,1
2020-04-17,0.0,0.0,1
2020-04-18,0.0,0.0,1
2020-04-19,0.0,0.0,1
2020-04-20,0.0,0.0,1
2020-04-21,28.0,28.0,1
2020-04-22,0.0,0.0,1
2020-04-23,27.0,27.0,1
2020-04-24,0.0,0.0,1
2020-04-25,0.0,0.0,1
2020-04-26,0.0,0.0,1
2020-04-27,27.0,27.0,1
2020-04-28,0.0,0.0,1
2020-04-29,0.0,0.0,1
2020-04-30,48.0,48.0,1
2020-05-01,26.0,26.0,1
2020-05-02,28.0,28.0,1
2020-05-03,0.0,0.0,1
2020-05-04,0.0,0.0,1
2020-05-05,0.0,0.0,1
2020-05-06,26.0,26.0,1
