date,/g/11j4xt9hdf_0,/g/11j4xt9hdf,batch_id
2020-02-01,35.0,35.0,1
2020-02-02,30.0,30.0,1
2020-02-03,35.0,35.0,1
2020-02-04,25.0,25.0,1
2020-02-05,23.0,23.0,1
2020-02-06,16.0,16.0,1
2020-02-07,11.0,11.0,1
2020-02-08,23.0,23.0,1
2020-02-09,18.0,18.0,1
2020-02-10,19.0,19.0,1
2020-02-11,24.0,24.0,1
2020-02-12,22.0,22.0,1
2020-02-13,30.0,30.0,1
2020-02-14,10.0,10.0,1
2020-02-15,12.0,12.0,1
2020-02-16,16.0,16.0,1
2020-02-17,10.0,10.0,1
2020-02-18,12.0,12.0,1
2020-02-19,5.0,5.0,1
2020-02-20,3.0,3.0,1
2020-02-21,11.0,11.0,1
2020-02-22,11.0,11.0,1
2020-02-23,25.0,25.0,1
2020-02-24,2.0,2.0,1
2020-02-25,35.0,35.0,1
2020-02-26,32.0,32.0,1
2020-02-27,29.0,29.0,1
2020-02-28,38.0,38.0,1
2020-02-29,33.0,33.0,1
2020-03-01,36.0,36.0,1
2020-03-02,26.0,26.0,1
2020-03-03,36.0,36.0,1
2020-03-04,10.0,10.0,1
2020-03-05,22.0,22.0,1
2020-03-06,50.0,50.0,1
2020-03-07,32.0,32.0,1
2020-03-08,26.0,26.0,1
2020-03-09,51.0,51.0,1
2020-03-10,34.0,34.0,1
2020-03-11,63.0,63.0,1
2020-03-12,66.0,66.0,1
2020-03-13,91.0,91.0,1
2020-03-14,73.0,73.0,1
2020-03-15,60.0,60.0,1
2020-03-16,79.0,79.0,1
2020-03-17,63.0,63.0,1
2020-03-18,62.0,62.0,1
2020-03-19,45.0,45.0,1
2020-03-20,58.0,58.0,1
2020-03-21,55.0,55.0,1
2020-03-22,54.0,54.0,1
2020-03-23,83.0,83.0,1
2020-03-24,63.0,63.0,1
2020-03-25,53.0,53.0,1
2020-03-26,21.0,21.0,1
2020-03-27,28.0,28.0,1
2020-03-28,44.0,44.0,1
2020-03-29,30.0,30.0,1
2020-03-30,31.0,31.0,1
2020-03-31,38.0,38.0,1
2020-04-01,34.0,34.0,1
2020-04-02,27.0,27.0,1
2020-04-03,25.0,25.0,1
2020-04-04,19.0,19.0,1
2020-04-05,20.0,20.0,1
2020-04-06,25.0,25.0,1
2020-04-07,12.0,12.0,1
2020-04-08,33.0,33.0,1
2020-04-09,19.0,19.0,1
