date,/m/0m7pl_0,/m/0m7pl,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,0.0,0.0,1
2020-02-04,0.0,0.0,1
2020-02-05,3.0,3.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,1.0,1.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,0.0,0.0,1
2020-02-13,1.0,1.0,1
2020-02-14,2.0,2.0,1
2020-02-15,0.0,0.0,1
2020-02-16,2.0,2.0,1
2020-02-17,2.0,2.0,1
2020-02-18,1.0,1.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,0.0,0.0,1
2020-02-23,0.0,0.0,1
2020-02-24,2.0,2.0,1
2020-02-25,0.0,0.0,1
2020-02-26,0.0,0.0,1
2020-02-27,1.0,1.0,1
2020-02-28,2.0,2.0,1
2020-02-29,0.0,0.0,1
2020-03-01,1.0,1.0,1
2020-03-02,1.0,1.0,1
2020-03-03,0.0,0.0,1
2020-03-04,1.0,1.0,1
2020-03-05,1.0,1.0,1
2020-03-06,0.0,0.0,1
2020-03-07,0.0,0.0,1
2020-03-08,2.0,2.0,1
2020-03-09,1.0,1.0,1
2020-03-10,2.0,2.0,1
2020-03-11,1.0,1.0,1
2020-03-12,3.0,3.0,1
2020-03-13,3.0,3.0,1
2020-03-14,2.0,2.0,1
2020-03-15,3.0,3.0,1
2020-03-16,4.0,4.0,1
2020-03-17,5.0,5.0,1
2020-03-18,5.0,5.0,1
2020-03-19,4.0,4.0,1
2020-03-20,8.0,8.0,1
2020-03-21,47.0,47.0,1
2020-03-22,39.0,39.0,1
2020-03-23,38.0,38.0,1
2020-03-24,36.0,36.0,1
2020-03-25,25.0,25.0,1
2020-03-26,26.0,26.0,1
2020-03-27,32.0,32.0,1
2020-03-28,27.0,27.0,1
2020-03-29,37.0,37.0,1
2020-03-30,32.0,32.0,1
2020-03-31,25.0,25.0,1
2020-04-01,18.0,18.0,1
2020-04-02,12.0,12.0,1
2020-04-03,15.0,15.0,1
2020-04-04,16.0,16.0,1
2020-04-05,9.0,9.0,1
2020-04-06,17.0,17.0,1
2020-04-07,6.0,6.0,1
2020-04-08,15.0,15.0,1
2020-04-09,7.0,7.0,1
2020-04-10,9.0,9.0,1
2020-04-11,8.0,8.0,1
2020-04-12,9.0,9.0,1
2020-04-13,6.0,6.0,1
2020-04-14,3.0,3.0,1
2020-04-15,8.0,8.0,1
2020-04-16,6.0,6.0,1
2020-04-17,8.0,8.0,1
2020-04-18,4.0,4.0,1
2020-04-19,3.0,3.0,1
2020-04-20,4.0,4.0,1
2020-04-21,4.0,4.0,1
2020-04-22,8.0,8.0,1
2020-04-23,6.0,6.0,1
2020-04-24,6.0,6.0,1
2020-04-25,6.0,6.0,1
