date,/m/0b76bty_0,/m/0b76bty,batch_id
2020-02-01,9.0,9.0,1
2020-02-02,18.0,18.0,1
2020-02-03,0.0,0.0,1
2020-02-04,7.0,7.0,1
2020-02-05,31.0,31.0,1
2020-02-06,23.0,23.0,1
2020-02-07,0.0,0.0,1
2020-02-08,9.0,9.0,1
2020-02-09,35.0,35.0,1
2020-02-10,15.0,15.0,1
2020-02-11,22.0,22.0,1
2020-02-12,7.0,7.0,1
2020-02-13,22.0,22.0,1
2020-02-14,8.0,8.0,1
2020-02-15,27.0,27.0,1
2020-02-16,33.0,33.0,1
2020-02-17,15.0,15.0,1
2020-02-18,14.0,14.0,1
2020-02-19,29.0,29.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,37.0,37.0,1
2020-02-23,36.0,36.0,1
2020-02-24,30.0,30.0,1
2020-02-25,8.0,8.0,1
2020-02-26,14.0,14.0,1
2020-02-27,34.0,34.0,1
2020-02-28,7.0,7.0,1
2020-02-29,17.0,17.0,1
2020-03-01,23.0,23.0,1
2020-03-02,20.0,20.0,1
2020-03-03,20.0,20.0,1
2020-03-04,14.0,14.0,1
2020-03-05,28.0,28.0,1
2020-03-06,37.0,37.0,1
2020-03-07,17.0,17.0,1
2020-03-08,32.0,32.0,1
2020-03-09,14.0,14.0,1
2020-03-10,21.0,21.0,1
2020-03-11,13.0,13.0,1
2020-03-12,55.0,55.0,1
2020-03-13,51.0,51.0,1
2020-03-14,70.0,70.0,1
2020-03-15,57.0,57.0,1
2020-03-16,60.0,60.0,1
2020-03-17,74.0,74.0,1
2020-03-18,34.0,34.0,1
2020-03-19,87.0,87.0,1
2020-03-20,32.0,32.0,1
2020-03-21,16.0,16.0,1
2020-03-22,49.0,49.0,1
2020-03-23,55.0,55.0,1
2020-03-24,100.0,100.0,1
2020-03-25,60.0,60.0,1
2020-03-26,13.0,13.0,1
2020-03-27,20.0,20.0,1
2020-03-28,33.0,33.0,1
2020-03-29,31.0,31.0,1
2020-03-30,13.0,13.0,1
2020-03-31,6.0,6.0,1
2020-04-01,19.0,19.0,1
2020-04-02,27.0,27.0,1
2020-04-03,14.0,14.0,1
2020-04-04,24.0,24.0,1
2020-04-05,22.0,22.0,1
2020-04-06,19.0,19.0,1
2020-04-07,7.0,7.0,1
2020-04-08,13.0,13.0,1
2020-04-09,20.0,20.0,1
2020-04-10,23.0,23.0,1
2020-04-11,24.0,24.0,1
2020-04-12,24.0,24.0,1
2020-04-13,13.0,13.0,1
2020-04-14,6.0,6.0,1
2020-04-15,12.0,12.0,1
2020-04-16,12.0,12.0,1
2020-04-17,6.0,6.0,1
2020-04-18,16.0,16.0,1
2020-04-19,22.0,22.0,1
2020-04-20,34.0,34.0,1
2020-04-21,0.0,0.0,1
2020-04-22,18.0,18.0,1
2020-04-23,6.0,6.0,1
2020-04-24,13.0,13.0,1
2020-04-25,15.0,15.0,1
2020-04-26,15.0,15.0,1
2020-04-27,12.0,12.0,1
2020-04-28,12.0,12.0,1
2020-04-29,0.0,0.0,1
2020-04-30,12.0,12.0,1
2020-05-01,29.0,29.0,1
2020-05-02,0.0,0.0,1
2020-05-03,24.0,24.0,1
2020-05-04,12.0,12.0,1
2020-05-05,11.0,11.0,1
2020-05-06,6.0,6.0,1
2020-05-07,6.0,6.0,1
2020-05-08,26.0,26.0,1
2020-05-09,23.0,23.0,1
2020-05-10,8.0,8.0,1
2020-05-11,0.0,0.0,1
2020-05-12,18.0,18.0,1
2020-05-13,6.0,6.0,1
2020-05-14,0.0,0.0,1
2020-05-15,6.0,6.0,1
2020-05-16,43.0,43.0,1
2020-05-17,17.0,17.0,1
2020-05-18,6.0,6.0,1
2020-05-19,6.0,6.0,1
2020-05-20,0.0,0.0,1
2020-05-21,6.0,6.0,1
