date,/m/01c751_0,/m/01c751,batch_id
2020-02-01,13.0,13.0,1
2020-02-02,8.0,8.0,1
2020-02-03,11.0,11.0,1
2020-02-04,6.0,6.0,1
2020-02-05,7.0,7.0,1
2020-02-06,5.0,5.0,1
2020-02-07,8.0,8.0,1
2020-02-08,5.0,5.0,1
2020-02-09,5.0,5.0,1
2020-02-10,2.0,2.0,1
2020-02-11,4.0,4.0,1
2020-02-12,2.0,2.0,1
2020-02-13,10.0,10.0,1
2020-02-14,4.0,4.0,1
2020-02-15,4.0,4.0,1
2020-02-16,4.0,4.0,1
2020-02-17,3.0,3.0,1
2020-02-18,3.0,3.0,1
2020-02-19,2.0,2.0,1
2020-02-20,1.0,1.0,1
2020-02-21,3.0,3.0,1
2020-02-22,4.0,4.0,1
2020-02-23,10.0,10.0,1
2020-02-24,16.0,16.0,1
2020-02-25,17.0,17.0,1
2020-02-26,23.0,23.0,1
2020-02-27,26.0,26.0,1
2020-02-28,35.0,35.0,1
2020-02-29,42.0,42.0,1
2020-03-01,32.0,32.0,1
2020-03-02,23.0,23.0,1
2020-03-03,17.0,17.0,1
2020-03-04,12.0,12.0,1
2020-03-05,18.0,18.0,1
2020-03-06,30.0,30.0,1
2020-03-07,21.0,21.0,1
2020-03-08,20.0,20.0,1
2020-03-09,19.0,19.0,1
2020-03-10,33.0,33.0,1
2020-03-11,41.0,41.0,1
2020-03-12,77.0,77.0,1
2020-03-13,83.0,83.0,1
2020-03-14,100.0,100.0,1
2020-03-15,84.0,84.0,1
2020-03-16,87.0,87.0,1
2020-03-17,98.0,98.0,1
2020-03-18,81.0,81.0,1
2020-03-19,69.0,69.0,1
2020-03-20,71.0,71.0,1
2020-03-21,77.0,77.0,1
2020-03-22,90.0,90.0,1
2020-03-23,49.0,49.0,1
2020-03-24,49.0,49.0,1
2020-03-25,59.0,59.0,1
2020-03-26,65.0,65.0,1
2020-03-27,63.0,63.0,1
2020-03-28,64.0,64.0,1
2020-03-29,78.0,78.0,1
2020-03-30,37.0,37.0,1
2020-03-31,43.0,43.0,1
2020-04-01,49.0,49.0,1
2020-04-02,46.0,46.0,1
2020-04-03,51.0,51.0,1
2020-04-04,52.0,52.0,1
2020-04-05,53.0,53.0,1
2020-04-06,35.0,35.0,1
2020-04-07,31.0,31.0,1
2020-04-08,22.0,22.0,1
2020-04-09,26.0,26.0,1
2020-04-10,40.0,40.0,1
2020-04-11,28.0,28.0,1
2020-04-12,40.0,40.0,1
2020-04-13,30.0,30.0,1
2020-04-14,17.0,17.0,1
2020-04-15,21.0,21.0,1
2020-04-16,15.0,15.0,1
2020-04-17,21.0,21.0,1
2020-04-18,20.0,20.0,1
2020-04-19,26.0,26.0,1
2020-04-20,23.0,23.0,1
2020-04-21,17.0,17.0,1
2020-04-22,28.0,28.0,1
2020-04-23,18.0,18.0,1
2020-04-24,21.0,21.0,1
2020-04-25,21.0,21.0,1
2020-04-26,27.0,27.0,1
2020-04-27,18.0,18.0,1
2020-04-28,18.0,18.0,1
2020-04-29,19.0,19.0,1
2020-04-30,13.0,13.0,1
2020-05-01,19.0,19.0,1
2020-05-02,17.0,17.0,1
2020-05-03,16.0,16.0,1
2020-05-04,13.0,13.0,1
2020-05-05,13.0,13.0,1
2020-05-06,9.0,9.0,1
2020-05-07,12.0,12.0,1
2020-05-08,12.0,12.0,1
2020-05-09,17.0,17.0,1
2020-05-10,15.0,15.0,1
2020-05-11,17.0,17.0,1
2020-05-12,12.0,12.0,1
2020-05-13,13.0,13.0,1
2020-05-14,11.0,11.0,1
2020-05-15,10.0,10.0,1
2020-05-16,9.0,9.0,1
2020-05-17,7.0,7.0,1
2020-05-18,7.0,7.0,1
2020-05-19,6.0,6.0,1
2020-05-20,13.0,13.0,1
2020-05-21,8.0,8.0,1
2020-05-22,9.0,9.0,1
2020-05-23,10.0,10.0,1
2020-05-24,8.0,8.0,1
2020-05-25,11.0,11.0,1
2020-05-26,5.0,5.0,1
2020-05-27,9.0,9.0,1
2020-05-28,7.0,7.0,1
2020-05-29,9.0,9.0,1
2020-05-30,11.0,11.0,1
2020-05-31,4.0,4.0,1
2020-06-01,7.0,7.0,1
2020-06-02,6.0,6.0,1
2020-06-03,8.0,8.0,1
2020-06-04,4.0,4.0,1
2020-06-05,3.0,3.0,1
2020-06-06,3.0,3.0,1
2020-06-07,5.0,5.0,1
2020-06-08,3.0,3.0,1
2020-06-09,7.0,7.0,1
2020-06-10,7.0,7.0,1
2020-06-11,5.0,5.0,1
2020-06-12,3.0,3.0,1
2020-06-13,6.0,6.0,1
2020-06-14,8.0,8.0,1
2020-06-15,6.0,6.0,1
2020-06-16,5.0,5.0,1
2020-06-17,6.0,6.0,1
2020-06-18,5.0,5.0,1
2020-06-19,6.0,6.0,1
2020-06-20,5.0,5.0,1
2020-06-21,4.0,4.0,1
2020-06-22,6.0,6.0,1
2020-06-23,4.0,4.0,1
2020-06-24,5.0,5.0,1
2020-06-25,6.0,6.0,1
2020-06-26,5.0,5.0,1
2020-06-27,10.0,10.0,1
2020-06-28,11.0,11.0,1
2020-06-29,7.0,7.0,1
2020-06-30,5.0,5.0,1
2020-07-01,6.0,6.0,1
2020-07-02,5.0,5.0,1
2020-07-03,5.0,5.0,1
2020-07-04,6.0,6.0,1
2020-07-05,10.0,10.0,1
2020-07-06,4.0,4.0,1
2020-07-07,3.0,3.0,1
2020-07-08,3.0,3.0,1
2020-07-09,3.0,3.0,1
