date,/m/05w_j_0,/m/05w_j,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,5.0,5.0,1
2020-02-04,6.0,6.0,1
2020-02-05,0.0,0.0,1
2020-02-06,6.0,6.0,1
2020-02-07,0.0,0.0,1
2020-02-08,7.0,7.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,6.0,6.0,1
2020-02-13,0.0,0.0,1
2020-02-14,0.0,0.0,1
2020-02-15,0.0,0.0,1
2020-02-16,0.0,0.0,1
2020-02-17,6.0,6.0,1
2020-02-18,0.0,0.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,6.0,6.0,1
2020-02-22,7.0,7.0,1
2020-02-23,0.0,0.0,1
2020-02-24,5.0,5.0,1
2020-02-25,6.0,6.0,1
2020-02-26,6.0,6.0,1
2020-02-27,5.0,5.0,1
2020-02-28,0.0,0.0,1
2020-02-29,0.0,0.0,1
2020-03-01,7.0,7.0,1
2020-03-02,6.0,6.0,1
2020-03-03,11.0,11.0,1
2020-03-04,0.0,0.0,1
2020-03-05,6.0,6.0,1
2020-03-06,0.0,0.0,1
2020-03-07,0.0,0.0,1
2020-03-08,6.0,6.0,1
2020-03-09,5.0,5.0,1
2020-03-10,0.0,0.0,1
2020-03-11,0.0,0.0,1
2020-03-12,6.0,6.0,1
2020-03-13,0.0,0.0,1
2020-03-14,14.0,14.0,1
2020-03-15,0.0,0.0,1
2020-03-16,11.0,11.0,1
2020-03-17,12.0,12.0,1
2020-03-18,18.0,18.0,1
2020-03-19,0.0,0.0,1
2020-03-20,12.0,12.0,1
2020-03-21,14.0,14.0,1
2020-03-22,24.0,24.0,1
2020-03-23,19.0,19.0,1
2020-03-24,37.0,37.0,1
2020-03-25,21.0,21.0,1
2020-03-26,43.0,43.0,1
2020-03-27,27.0,27.0,1
2020-03-28,26.0,26.0,1
2020-03-29,0.0,0.0,1
2020-03-30,11.0,11.0,1
2020-03-31,21.0,21.0,1
2020-04-01,21.0,21.0,1
2020-04-02,33.0,33.0,1
2020-04-03,18.0,18.0,1
2020-04-04,7.0,7.0,1
2020-04-05,12.0,12.0,1
2020-04-06,22.0,22.0,1
2020-04-07,6.0,6.0,1
2020-04-08,18.0,18.0,1
2020-04-09,12.0,12.0,1
2020-04-10,18.0,18.0,1
2020-04-11,41.0,41.0,1
2020-04-12,6.0,6.0,1
2020-04-13,23.0,23.0,1
2020-04-14,11.0,11.0,1
2020-04-15,12.0,12.0,1
2020-04-16,24.0,24.0,1
2020-04-17,0.0,0.0,1
2020-04-18,7.0,7.0,1
2020-04-19,0.0,0.0,1
2020-04-20,18.0,18.0,1
2020-04-21,16.0,16.0,1
2020-04-22,11.0,11.0,1
2020-04-23,21.0,21.0,1
2020-04-24,17.0,17.0,1
2020-04-25,6.0,6.0,1
