date,/m/05sfr2_0,/m/05sfr2,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,12.0,12.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,13.0,13.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,0.0,0.0,1
2020-02-13,0.0,0.0,1
2020-02-14,0.0,0.0,1
2020-02-15,0.0,0.0,1
2020-02-16,0.0,0.0,1
2020-02-17,0.0,0.0,1
2020-02-18,0.0,0.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,0.0,0.0,1
2020-02-23,0.0,0.0,1
2020-02-24,0.0,0.0,1
2020-02-25,0.0,0.0,1
2020-02-26,0.0,0.0,1
2020-02-27,0.0,0.0,1
2020-02-28,0.0,0.0,1
2020-02-29,0.0,0.0,1
2020-03-01,0.0,0.0,1
2020-03-02,0.0,0.0,1
2020-03-03,0.0,0.0,1
2020-03-04,0.0,0.0,1
2020-03-05,0.0,0.0,1
2020-03-06,12.0,12.0,1
2020-03-07,0.0,0.0,1
2020-03-08,26.0,26.0,1
2020-03-09,34.0,34.0,1
2020-03-10,46.0,46.0,1
2020-03-11,11.0,11.0,1
2020-03-12,0.0,0.0,1
2020-03-13,0.0,0.0,1
2020-03-14,26.0,26.0,1
2020-03-15,67.0,67.0,1
2020-03-16,35.0,35.0,1
2020-03-17,58.0,58.0,1
2020-03-18,24.0,24.0,1
2020-03-19,83.0,83.0,1
2020-03-20,80.0,80.0,1
2020-03-21,88.0,88.0,1
2020-03-22,96.0,96.0,1
2020-03-23,31.0,31.0,1
2020-03-24,100.0,100.0,1
2020-03-25,78.0,78.0,1
2020-03-26,34.0,34.0,1
2020-03-27,75.0,75.0,1
2020-03-28,38.0,38.0,1
2020-03-29,65.0,65.0,1
2020-03-30,11.0,11.0,1
2020-03-31,0.0,0.0,1
2020-04-01,32.0,32.0,1
2020-04-02,0.0,0.0,1
2020-04-03,23.0,23.0,1
2020-04-04,13.0,13.0,1
2020-04-05,40.0,40.0,1
2020-04-06,22.0,22.0,1
2020-04-07,11.0,11.0,1
2020-04-08,23.0,23.0,1
2020-04-09,24.0,24.0,1
2020-04-10,12.0,12.0,1
2020-04-11,0.0,0.0,1
2020-04-12,30.0,30.0,1
2020-04-13,0.0,0.0,1
2020-04-14,22.0,22.0,1
2020-04-15,45.0,45.0,1
2020-04-16,0.0,0.0,1
2020-04-17,47.0,47.0,1
2020-04-18,13.0,13.0,1
2020-04-19,13.0,13.0,1
2020-04-20,21.0,21.0,1
2020-04-21,0.0,0.0,1
2020-04-22,0.0,0.0,1
2020-04-23,11.0,11.0,1
2020-04-24,0.0,0.0,1
2020-04-25,0.0,0.0,1
