date,/m/0cjf0_0,/m/0cjf0,batch_id
2020-02-01,57.0,57.0,1
2020-02-02,21.0,21.0,1
2020-02-03,38.0,38.0,1
2020-02-04,22.0,22.0,1
2020-02-05,33.0,33.0,1
2020-02-06,23.0,23.0,1
2020-02-07,24.0,24.0,1
2020-02-08,11.0,11.0,1
2020-02-09,42.0,42.0,1
2020-02-10,31.0,31.0,1
2020-02-11,33.0,33.0,1
2020-02-12,0.0,0.0,1
2020-02-13,55.0,55.0,1
2020-02-14,11.0,11.0,1
2020-02-15,24.0,24.0,1
2020-02-16,68.0,68.0,1
2020-02-17,22.0,22.0,1
2020-02-18,0.0,0.0,1
2020-02-19,45.0,45.0,1
2020-02-20,11.0,11.0,1
2020-02-21,35.0,35.0,1
2020-02-22,12.0,12.0,1
2020-02-23,11.0,11.0,1
2020-02-24,11.0,11.0,1
2020-02-25,20.0,20.0,1
2020-02-26,20.0,20.0,1
2020-02-27,0.0,0.0,1
2020-02-28,0.0,0.0,1
2020-02-29,11.0,11.0,1
2020-03-01,62.0,62.0,1
2020-03-02,42.0,42.0,1
2020-03-03,11.0,11.0,1
2020-03-04,21.0,21.0,1
2020-03-05,0.0,0.0,1
2020-03-06,11.0,11.0,1
2020-03-07,45.0,45.0,1
2020-03-08,41.0,41.0,1
2020-03-09,71.0,71.0,1
2020-03-10,52.0,52.0,1
2020-03-11,41.0,41.0,1
2020-03-12,41.0,41.0,1
2020-03-13,100.0,100.0,1
2020-03-14,99.0,99.0,1
2020-03-15,49.0,49.0,1
2020-03-16,73.0,73.0,1
2020-03-17,87.0,87.0,1
2020-03-18,36.0,36.0,1
2020-03-19,38.0,38.0,1
2020-03-20,84.0,84.0,1
2020-03-21,99.0,99.0,1
2020-03-22,60.0,60.0,1
2020-03-23,33.0,33.0,1
2020-03-24,17.0,17.0,1
2020-03-25,34.0,34.0,1
2020-03-26,53.0,53.0,1
2020-03-27,51.0,51.0,1
2020-03-28,70.0,70.0,1
2020-03-29,66.0,66.0,1
2020-03-30,51.0,51.0,1
2020-03-31,59.0,59.0,1
2020-04-01,17.0,17.0,1
2020-04-02,26.0,26.0,1
2020-04-03,43.0,43.0,1
2020-04-04,41.0,41.0,1
2020-04-05,10.0,10.0,1
2020-04-06,8.0,8.0,1
2020-04-07,9.0,9.0,1
2020-04-08,36.0,36.0,1
2020-04-09,18.0,18.0,1
2020-04-10,46.0,46.0,1
2020-04-11,10.0,10.0,1
2020-04-12,30.0,30.0,1
2020-04-13,37.0,37.0,1
2020-04-14,9.0,9.0,1
2020-04-15,18.0,18.0,1
2020-04-16,9.0,9.0,1
2020-04-17,18.0,18.0,1
2020-04-18,39.0,39.0,1
2020-04-19,19.0,19.0,1
2020-04-20,36.0,36.0,1
2020-04-21,18.0,18.0,1
2020-04-22,19.0,19.0,1
2020-04-23,0.0,0.0,1
2020-04-24,9.0,9.0,1
2020-04-25,10.0,10.0,1
2020-04-26,0.0,0.0,1
2020-04-27,0.0,0.0,1
2020-04-28,24.0,24.0,1
2020-04-29,33.0,33.0,1
2020-04-30,8.0,8.0,1
2020-05-01,17.0,17.0,1
2020-05-02,9.0,9.0,1
2020-05-03,19.0,19.0,1
2020-05-04,8.0,8.0,1
2020-05-05,23.0,23.0,1
2020-05-06,16.0,16.0,1
2020-05-07,17.0,17.0,1
2020-05-08,29.0,29.0,1
2020-05-09,18.0,18.0,1
2020-05-10,18.0,18.0,1
2020-05-11,24.0,24.0,1
2020-05-12,27.0,27.0,1
2020-05-13,9.0,9.0,1
2020-05-14,0.0,0.0,1
2020-05-15,19.0,19.0,1
2020-05-16,0.0,0.0,1
2020-05-17,22.0,22.0,1
2020-05-18,0.0,0.0,1
2020-05-19,19.0,19.0,1
2020-05-20,10.0,10.0,1
2020-05-21,0.0,0.0,1
2020-05-22,19.0,19.0,1
2020-05-23,9.0,9.0,1
2020-05-24,20.0,20.0,1
2020-05-25,18.0,18.0,1
2020-05-26,9.0,9.0,1
2020-05-27,10.0,10.0,1
2020-05-28,28.0,28.0,1
2020-05-29,0.0,0.0,1
2020-05-30,0.0,0.0,1
2020-05-31,0.0,0.0,1
2020-06-01,0.0,0.0,1
2020-06-02,18.0,18.0,1
2020-06-03,17.0,17.0,1
2020-06-04,17.0,17.0,1
2020-06-05,0.0,0.0,1
2020-06-06,30.0,30.0,1
2020-06-07,0.0,0.0,1
2020-06-08,0.0,0.0,1
2020-06-09,9.0,9.0,1
2020-06-10,9.0,9.0,1
2020-06-11,9.0,9.0,1
2020-06-12,19.0,19.0,1
2020-06-13,10.0,10.0,1
2020-06-14,10.0,10.0,1
2020-06-15,10.0,10.0,1
2020-06-16,19.0,19.0,1
2020-06-17,18.0,18.0,1
2020-06-18,10.0,10.0,1
2020-06-19,10.0,10.0,1
2020-06-20,0.0,0.0,1
2020-06-21,0.0,0.0,1
2020-06-22,21.0,21.0,1
2020-06-23,0.0,0.0,1
2020-06-24,21.0,21.0,1
2020-06-25,0.0,0.0,1
2020-06-26,21.0,21.0,1
2020-06-27,34.0,34.0,1
2020-06-28,19.0,19.0,1
2020-06-29,10.0,10.0,1
2020-06-30,0.0,0.0,1
2020-07-01,10.0,10.0,1
