date,/m/02f84__0,/m/02f84_,batch_id
2020-02-01,61.0,61.0,1
2020-02-02,30.0,30.0,1
2020-02-03,75.0,75.0,1
2020-02-04,76.0,76.0,1
2020-02-05,49.0,49.0,1
2020-02-06,80.0,80.0,1
2020-02-07,41.0,41.0,1
2020-02-08,34.0,34.0,1
2020-02-09,57.0,57.0,1
2020-02-10,43.0,43.0,1
2020-02-11,37.0,37.0,1
2020-02-12,100.0,100.0,1
2020-02-13,92.0,92.0,1
2020-02-14,71.0,71.0,1
2020-02-15,69.0,69.0,1
2020-02-16,41.0,41.0,1
2020-02-17,81.0,81.0,1
2020-02-18,48.0,48.0,1
2020-02-19,63.0,63.0,1
2020-02-20,35.0,35.0,1
2020-02-21,62.0,62.0,1
2020-02-22,52.0,52.0,1
2020-02-23,56.0,56.0,1
2020-02-24,53.0,53.0,1
2020-02-25,52.0,52.0,1
2020-02-26,80.0,80.0,1
2020-02-27,57.0,57.0,1
2020-02-28,69.0,69.0,1
2020-02-29,80.0,80.0,1
2020-03-01,76.0,76.0,1
2020-03-02,75.0,75.0,1
2020-03-03,75.0,75.0,1
2020-03-04,66.0,66.0,1
2020-03-05,66.0,66.0,1
2020-03-06,24.0,24.0,1
2020-03-07,21.0,21.0,1
2020-03-08,36.0,36.0,1
2020-03-09,40.0,40.0,1
2020-03-10,83.0,83.0,1
2020-03-11,45.0,45.0,1
2020-03-12,66.0,66.0,1
2020-03-13,61.0,61.0,1
2020-03-14,58.0,58.0,1
2020-03-15,53.0,53.0,1
2020-03-16,68.0,68.0,1
2020-03-17,73.0,73.0,1
2020-03-18,45.0,45.0,1
2020-03-19,86.0,86.0,1
2020-03-20,17.0,17.0,1
2020-03-21,73.0,73.0,1
2020-03-22,33.0,33.0,1
2020-03-23,33.0,33.0,1
2020-03-24,39.0,39.0,1
2020-03-25,18.0,18.0,1
2020-03-26,40.0,40.0,1
2020-03-27,18.0,18.0,1
2020-03-28,10.0,10.0,1
2020-03-29,5.0,5.0,1
2020-03-30,13.0,13.0,1
2020-03-31,26.0,26.0,1
2020-04-01,18.0,18.0,1
2020-04-02,35.0,35.0,1
2020-04-03,18.0,18.0,1
2020-04-04,16.0,16.0,1
2020-04-05,5.0,5.0,1
2020-04-06,5.0,5.0,1
2020-04-07,9.0,9.0,1
2020-04-08,19.0,19.0,1
2020-04-09,34.0,34.0,1
2020-04-10,5.0,5.0,1
2020-04-11,6.0,6.0,1
2020-04-12,16.0,16.0,1
2020-04-13,10.0,10.0,1
2020-04-14,17.0,17.0,1
2020-04-15,9.0,9.0,1
2020-04-16,0.0,0.0,1
2020-04-17,14.0,14.0,1
2020-04-18,5.0,5.0,1
2020-04-19,15.0,15.0,1
2020-04-20,13.0,13.0,1
2020-04-21,17.0,17.0,1
2020-04-22,4.0,4.0,1
2020-04-23,9.0,9.0,1
2020-04-24,9.0,9.0,1
2020-04-25,5.0,5.0,1
2020-04-26,5.0,5.0,1
2020-04-27,9.0,9.0,1
2020-04-28,8.0,8.0,1
2020-04-29,4.0,4.0,1
2020-04-30,13.0,13.0,1
2020-05-01,0.0,0.0,1
2020-05-02,0.0,0.0,1
2020-05-03,0.0,0.0,1
2020-05-04,8.0,8.0,1
2020-05-05,4.0,4.0,1
2020-05-06,17.0,17.0,1
2020-05-07,0.0,0.0,1
2020-05-08,9.0,9.0,1
2020-05-09,0.0,0.0,1
2020-05-10,10.0,10.0,1
2020-05-11,4.0,4.0,1
2020-05-12,4.0,4.0,1
2020-05-13,0.0,0.0,1
2020-05-14,0.0,0.0,1
2020-05-15,19.0,19.0,1
2020-05-16,16.0,16.0,1
2020-05-17,5.0,5.0,1
2020-05-18,9.0,9.0,1
2020-05-19,9.0,9.0,1
2020-05-20,5.0,5.0,1
